noga,industry,unit,year,value,scenario,variant
B-F,Industrie,Mrd. CHF-2017,2000,115.86249492400682,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2001,119.75514016439116,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2002,122.61353068883673,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2003,122.57376975987205,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2004,123.98986644281608,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2005,127.94412548018474,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2006,133.6717326585964,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2007,137.9985413859056,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2008,141.69635026354524,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2009,130.0352133083181,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2010,138.48718427477783,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2011,146.91815627028564,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2012,146.02837314344592,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2013,147.30008708227786,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2014,149.2656573096217,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2015,149.54120280781083,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2016,153.82411473656254,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2017,160.08400144703936,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2018,167.14319066138881,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2019,172.83844742256255,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2020,176.8669789313893,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2021,180.4940620309441,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2022,183.77886386450572,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2023,186.79441646904704,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2024,189.64538914226316,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2025,192.3235408811793,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2026,194.83929156572674,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2027,197.2146112149267,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2028,199.47761625695975,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2029,201.67407711240446,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2030,203.8616940027814,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2031,206.04847269444414,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2032,208.24330257280107,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2033,210.4300054031064,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2034,212.57327933461397,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2035,214.688097940827,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2036,216.78980770828971,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2037,218.8283446393304,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2038,220.83214130381117,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2039,222.80572803225084,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2040,224.76231482363573,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2041,226.7086825741074,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2042,228.64163549878478,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2043,230.55597236287443,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2044,232.44415665770737,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2045,234.30325584898745,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2046,236.14375935414282,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2047,237.97211416004973,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2048,239.79477571208875,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2049,241.6031716182471,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2050,243.40614769359465,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2051,245.1997976225013,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2052,246.99021051209195,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2053,248.77593814368063,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2054,250.5757398677935,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2055,252.39765441280926,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2056,254.25746362621533,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2057,256.17749303326934,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2058,258.17404900613235,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2059,260.2472671238611,ZERO-Basis,KKW50
B-F,Industrie,Mrd. CHF-2017,2060,262.40014134909524,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2000,11.445436477003462,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2001,11.762756710767524,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2002,12.376832453934018,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2003,12.086726921698881,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2004,12.027284692971936,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2005,12.228156728588438,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2006,12.469681715779865,ZERO-Basis,KKW50
C10-C12,"Nahrung, Tabak",Mrd. CHF-2017,2007,12.579391870017023,ZERO-Basis,KKW50
