noga,industry,unit,year,value,scenario,variant
B-F,Industrie,Tsd. VZÄ,2000,929.7875347088211,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2001,943.7667239511218,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2002,929.8263248030373,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2003,911.4575562609316,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2004,902.7798297461762,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2005,909.404246614448,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2006,930.0039706735492,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2007,962.6414725756672,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2008,984.9259877395424,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2009,963.71256061839,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2010,960.8932208257363,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2011,968.2029566711554,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2012,974.1562076521586,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2013,971.5031847175995,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2014,976.0928141757463,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2015,972.6205155383959,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2016,958.6996718274306,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2017,957.8388002198224,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2018,973.481933972341,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2019,981.8155314286576,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2020,984.9072723268597,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2021,986.9892859758475,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2022,988.1154356618542,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2023,988.5817761605022,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2024,988.8249691488202,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2025,988.6675715207854,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2026,988.0634560346093,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2027,987.0494534439155,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2028,985.7093386708663,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2029,984.2349890797223,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2030,982.9185107945373,ZERO-Basis,KKW50
B-F,Industrie,Tsd. VZÄ,2031,981.7510270826425,ZERO-Basis,KKW50
