noga,industry,unit,year,value,scenario,variant
,Haushalte,Mio. m²,2000,378.76240000000007,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2001,382.46510000000006,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2002,386.1677,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2003,390.179,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2004,394.6292,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2005,398.97180000000003,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2006,403.74210000000005,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2007,408.74190000000004,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2008,413.78540000000004,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2009,418.4703,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2010,423.8287,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2011,429.887,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2012,435.7305,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2013,442.4696,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2014,448.9343,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2015,455.5739,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2016,461.9785,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2017,468.2344,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2018,473.3612,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2019,479.17780000000005,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2020,484.9234,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2021,490.60130000000004,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2022,496.2022,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2023,501.724,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2024,507.1629,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2025,512.5055,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2026,517.7506000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2027,522.8966,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2028,527.9632,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2029,532.9642,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2030,537.855,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2031,542.6010000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2032,547.1568,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2033,551.4748999999999,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2034,555.5066,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2035,559.2414,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2036,562.6774,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2037,565.7915,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2038,568.6355000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2039,571.2714,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2040,573.7543000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2041,576.1341,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2042,578.4083,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2043,580.5930000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2044,582.6753,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2045,584.695,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2046,586.6811000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2047,588.6328,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2048,590.5358,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2049,592.3637,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050,594.1431,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.1,595.8751,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.2,597.5588000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.3,599.1916,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.4,600.779,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.5,602.3176,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.6,603.8176000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.7,605.2715000000001,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.8,606.6796,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.9,608.0561,ZERO-Basis,KKW50
,Haushalte,Mio. m²,2050.10,608.909,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2000,71.71822469752995,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2001,71.05109972534525,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2002,68.99696996870036,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2003,70.91738093518681,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2004,70.52505278812075,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2005,67.95638126020607,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2006,69.48935288742433,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2007,70.57596047126036,ZERO-Basis,KKW50
B-F,Industrie,Mio. m²,2008,70.48389023888484,ZERO-Basis,KKW50
