fuel,unit,year,value,scenario,variant
Erdöl,USD-2017/bbl,2000,38.78251312736598,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2010,87.54564291782742,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2017,52.05,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2018,66.48931878135829,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2019,69.98931878135829,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2020,72.51153468163244,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2021,73.71153468163244,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2022,74.01153468163244,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2023,74.21153468163244,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2024,74.21153468163244,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2025,74.2,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2026,73.76,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2027,73.32000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2028,72.88000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2029,72.44000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2030,72.0,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2031,71.4,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2032,70.80000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2033,70.20000000000002,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2034,69.60000000000002,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2035,69.0,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2036,68.08,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2037,67.16,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2038,66.24,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2039,65.32,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2040,64.4,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2041,62.43000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2042,60.46000000000001,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2043,58.49,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2044,56.52,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2045,54.550000000000004,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2046,52.580000000000005,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2047,50.61,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2048,48.64,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2049,46.67,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2050,44.7,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2051,42.730000000000004,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2052,40.760000000000005,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2053,38.790000000000006,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2054,36.82,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2055,34.85,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2056,32.88,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2057,30.910000000000004,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2058,28.940000000000005,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2059,26.97,ZERO-Basis,KKW50
Erdöl,USD-2017/bbl,2060,25.0,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2000,13.316212749193229,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2010,28.49646614586152,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2017,19.892440299890712,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2018,23.66950940352399,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2019,23.651500902789582,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2020,24.039548517024595,ZERO-Basis,KKW50
Erdgas,USD-2017/MWh,2021,24.721444186987092,ZERO-Basis,KKW50
