transport_mode,unit,year,value,scenario,variant
Temperatur (mittlere Tagestemperatur),Grad Celsius,2000,10.35737216488303,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2001,9.740915742559917,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2002,10.275833542455626,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2003,10.297560432630563,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2004,9.601214396003929,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2005,9.32387301870228,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2006,9.962860354711864,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2007,10.212619391291405,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2008,9.742677311267153,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2009,10.007677842477024,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2010,9.010637538536237,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2011,10.537062903358946,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2012,9.856469763494701,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2013,9.305444581004437,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2014,10.710242848657623,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2015,10.603904897914264,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2016,10.079480235843382,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2017,10.271071970292265,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2018,11.16617519995727,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2019,10.1262537206743,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2020,10.1258140349358,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2021,10.1571575716745,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2022,10.1873268913682,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2023,10.2163278515725,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2024,10.2441663098428,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2025,10.2708481237349,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2026,10.2963791508043,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2027,10.3207652486065,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2028,10.3440122746971,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2029,10.3661260866317,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2030,10.3871125419658,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2031,10.4065612706339,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2032,10.4241801387177,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2033,10.440152357994,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2034,10.4546611402395,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2035,10.4678896972311,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2036,10.4800212407455,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2037,10.4912389825595,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2038,10.50172613445,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2039,10.5116659081935,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2040,10.521241515567,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2041,10.5296496802645,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2042,10.5361988383463,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2043,10.5412397701387,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2044,10.5451232559678,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2045,10.54820007616,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2046,10.5508210110413,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2047,10.553336840938,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2048,10.5560983461764,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2049,10.5594563070826,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2050,10.5637615039828,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2051,10.5681756575611,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2052,10.5717269185012,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2053,10.5745657121295,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2054,10.5768424637722,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2055,10.5787075987556,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2056,10.5803115424058,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2057,10.5818047200493,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2058,10.5833375570122,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2059,10.5850604786207,ZERO-Basis,KKW50
Temperatur (mittlere Tagestemperatur),Grad Celsius,2060,10.5871239102012,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2000,3081.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2001,3256.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2002,3135.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2003,3357.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2004,3339.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2005,3518.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2006,3246.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2007,3101.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2008,3347.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2009,3182.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2010,3586.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2011,2938.181248124812,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2012,3281.083538353835,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2013,3471.4431643164307,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2014,2782.0919491949194,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2015,3074.975547554756,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2016,3281.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2017,3233.316161616161,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2018,2891.0,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2019,3191.43763603779,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2020,3190.75961960101,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2021,3180.76638821085,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2022,3171.08326431157,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2023,3161.71289074002,ZERO-Basis,KKW50
Heizgradtage,Anzahl,2024,3152.65791033307,ZERO-Basis,KKW50
