variable,unit,year,value,scenario,variant
Personenverkehr,Mrd. Pkm,2000,95.16979044026034,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2001,96.45332507443155,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2002,98.05245301760779,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2003,99.52847985767232,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2004,100.99828876950716,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2005,102.01587175630326,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2006,103.40722383349105,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2007,105.32926684514842,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2008,107.65856488753249,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2009,111.1474707796451,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2010,114.02416749385254,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2011,115.24227621423256,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2012,116.5607679168482,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2013,118.03846920800382,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2014,119.88806718323659,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2015,121.63273778703446,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2016,124.21429782906067,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2017,126.09847332878537,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2018,127.13759594808556,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2019,128.1702148626266,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2020,129.19556724709213,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2021,130.35162685661115,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2022,131.5011662509287,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2023,132.6431524445016,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2024,133.77580732512453,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2025,134.89697650076755,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2026,135.929740445904,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2027,136.9488522116091,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2028,137.95301972915718,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2029,138.9418012394361,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2030,139.91477619573007,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2031,140.83657867668046,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2032,141.7201205330326,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2033,142.55464357687757,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2034,143.31675655252903,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2035,144.01658674502968,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2036,144.61729030785395,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2037,145.1457310762639,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2038,145.62312022017483,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2039,146.06150145018066,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2040,146.4718667835577,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2041,146.8576815011932,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2042,147.23047795250153,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2043,147.59190135911047,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2044,147.9412514372979,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2045,148.27987082794004,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2046,148.57007179346823,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2047,148.85097683042386,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2048,149.12211572871018,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2049,149.383211540418,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2050,149.634358014962,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2051,149.76213114998097,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2052,149.88033378430362,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2053,149.98976425548946,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2054,150.08893641399237,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2055,150.179254495646,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2056,150.26064345398322,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2057,150.3330528273822,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2058,150.39786566571695,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2059,150.45457694545235,ZERO-Basis,KKW50
Personenverkehr,Mrd. Pkm,2060,150.50494747540986,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2000,79.14189029852075,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2001,79.57420507304982,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2002,80.39711287436762,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2003,81.05701980271039,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2004,81.8048087836528,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2005,82.0139717409359,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2006,82.94082375270744,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2007,83.93156681441661,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2008,86.06346493021773,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2009,88.67567059929769,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2010,90.8605676237776,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2011,91.67147631436586,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2012,93.08616789600296,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2013,94.33916917138812,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2014,95.56216707337734,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2015,96.8466378139089,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2016,98.92319787346366,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2017,100.77807333409028,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2018,101.29939284140356,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2019,101.81331358800058,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2020,102.3190893250606,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2021,103.06110981431723,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2022,103.79659520003398,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2023,104.52454478117801,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2024,105.24323481142993,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2025,105.9505775801545,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2026,106.645643290558,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2027,107.3272666836712,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2028,107.99419845365753,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2029,108.64601459456348,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2030,109.28231199566245,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2031,109.94490961863274,ZERO-Basis,KKW50
Motorisierter Individualverkehr (MIV),Mrd. Pkm,2032,110.57027614225929,ZERO-Basis,KKW50
