crf_id,crf,year,value,scenario,variant,unit
1,Energie,1990,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1991,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1992,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1993,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1994,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1995,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1996,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1997,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1998,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,1999,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2000,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2001,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2002,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2003,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2004,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2005,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2006,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2007,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2008,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2009,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2010,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2011,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2012,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2013,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2014,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2015,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2016,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2017,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2018,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2019,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2020,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2021,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2022,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2023,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2024,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2025,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2026,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2027,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2028,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2029,0.0,ZERO-Basis,KKW50,Mt CO2equiv
1,Energie,2030,0.0,ZERO-Basis,KKW50,Mt CO2equiv
