noga,sector,year,value,scenario,variant,unit
B-F,Industrie,1990,11.305996689802198,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1991,11.309597096442161,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1992,10.619552760549457,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1993,10.199630739079172,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1994,10.200211141404596,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1995,10.379039143063267,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1996,10.068887477336926,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1997,9.832594632037507,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1998,10.025239164969625,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,1999,9.866569737929504,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2000,10.18925565377346,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2001,10.530964664135224,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2002,10.163285330766568,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2003,10.324493934801366,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2004,10.717658329021353,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2005,10.903018664428819,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2006,11.105114728523427,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2007,10.906507882001044,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2008,10.902945336042544,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2009,10.297505639626674,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2010,10.687318212743538,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2011,10.251133957103956,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2012,10.280797774773568,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2013,10.349934608238517,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2014,10.040297010728775,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2015,9.792183824564804,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2016,9.732816313469325,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2017,9.840881753356555,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2018,9.528692026031031,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2019,9.335379255915377,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2020,9.409371889220496,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2021,9.191903046889873,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2022,9.029092947851685,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2023,8.894900114591481,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2024,8.771747469508526,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2025,7.985230838904878,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2026,7.714262707540265,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2027,7.542824936129626,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2028,7.33328161634284,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2029,7.155108004004942,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2030,6.974019850103355,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2031,6.783862107774233,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2032,6.591020275302625,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2033,6.411377259964153,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2034,6.209564076995618,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2035,5.977786134711453,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2036,5.773337490635257,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2037,5.567593906740281,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2038,5.370884104263436,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2039,4.8823926374517885,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2040,4.678654013327039,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2041,4.486296113627484,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2042,3.872838458838975,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2043,3.6664399994150063,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2044,2.854782499376412,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2045,2.120999262589032,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2046,1.899042372112862,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2047,1.7765892796412457,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2048,1.4470821000578777,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2049,0.6974203650902486,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2050,0.613395903255286,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2051,0.7132542966201327,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2052,0.6847691952014847,ZERO-Basis,KKW50,Mt CO2equiv
B-F,Industrie,2053,0.6509752291518313,ZERO-Basis,KKW50,Mt CO2equiv
