fuel,year,value,scenario,variant,unit
Holzenergie,2000,28.00730769230769,ZERO-Basis,KKW50,PJ
Holzenergie,2001,29.740000000000016,ZERO-Basis,KKW50,PJ
Holzenergie,2002,28.580000000000002,ZERO-Basis,KKW50,PJ
Holzenergie,2003,30.61,ZERO-Basis,KKW50,PJ
Holzenergie,2004,30.456530612244897,ZERO-Basis,KKW50,PJ
Holzenergie,2005,31.710000000000004,ZERO-Basis,KKW50,PJ
Holzenergie,2006,32.39566666666666,ZERO-Basis,KKW50,PJ
Holzenergie,2007,31.82999999999999,ZERO-Basis,KKW50,PJ
Holzenergie,2008,36.13284023668639,ZERO-Basis,KKW50,PJ
Holzenergie,2009,37.3662162162162,ZERO-Basis,KKW50,PJ
Holzenergie,2010,40.361243523316055,ZERO-Basis,KKW50,PJ
Holzenergie,2011,35.78572519083969,ZERO-Basis,KKW50,PJ
Holzenergie,2012,39.916232686980635,ZERO-Basis,KKW50,PJ
Holzenergie,2013,43.84919597989947,ZERO-Basis,KKW50,PJ
Holzenergie,2014,37.38980049875315,ZERO-Basis,KKW50,PJ
Holzenergie,2015,38.765517241379314,ZERO-Basis,KKW50,PJ
Holzenergie,2016,41.905229885057466,ZERO-Basis,KKW50,PJ
Holzenergie,2017,42.77227941176467,ZERO-Basis,KKW50,PJ
Holzenergie,2018,47.082215,ZERO-Basis,KKW50,PJ
Holzenergie,2019,47.49671499999997,ZERO-Basis,KKW50,PJ
Holzenergie,2020,47.517349853007616,ZERO-Basis,KKW50,PJ
Holzenergie,2021,48.02956335949938,ZERO-Basis,KKW50,PJ
Holzenergie,2022,48.20704280829722,ZERO-Basis,KKW50,PJ
Holzenergie,2023,48.26660132020378,ZERO-Basis,KKW50,PJ
Holzenergie,2024,48.562960491112335,ZERO-Basis,KKW50,PJ
Holzenergie,2025,48.12984438854106,ZERO-Basis,KKW50,PJ
Holzenergie,2026,47.83920560576364,ZERO-Basis,KKW50,PJ
Holzenergie,2027,47.590813017497794,ZERO-Basis,KKW50,PJ
Holzenergie,2028,46.53235590795443,ZERO-Basis,KKW50,PJ
Holzenergie,2029,45.704746786002396,ZERO-Basis,KKW50,PJ
Holzenergie,2030,45.495220769113864,ZERO-Basis,KKW50,PJ
Holzenergie,2031,45.56369013021085,ZERO-Basis,KKW50,PJ
Holzenergie,2032,45.11185735459804,ZERO-Basis,KKW50,PJ
Holzenergie,2033,44.52014290949644,ZERO-Basis,KKW50,PJ
Holzenergie,2034,44.000454960754276,ZERO-Basis,KKW50,PJ
Holzenergie,2035,43.58466803327601,ZERO-Basis,KKW50,PJ
Holzenergie,2036,43.36506946515054,ZERO-Basis,KKW50,PJ
Holzenergie,2037,42.91308753945132,ZERO-Basis,KKW50,PJ
Holzenergie,2038,42.51113757483452,ZERO-Basis,KKW50,PJ
Holzenergie,2039,42.01273654246087,ZERO-Basis,KKW50,PJ
Holzenergie,2040,41.77546510280078,ZERO-Basis,KKW50,PJ
Holzenergie,2041,41.60175513648714,ZERO-Basis,KKW50,PJ
Holzenergie,2042,41.353888226331065,ZERO-Basis,KKW50,PJ
Holzenergie,2043,41.138761474720376,ZERO-Basis,KKW50,PJ
Holzenergie,2044,41.163268638233944,ZERO-Basis,KKW50,PJ
Holzenergie,2045,41.07014167821281,ZERO-Basis,KKW50,PJ
Holzenergie,2046,40.49949977755059,ZERO-Basis,KKW50,PJ
Holzenergie,2047,39.990773716989544,ZERO-Basis,KKW50,PJ
Holzenergie,2048,39.44484523639623,ZERO-Basis,KKW50,PJ
Holzenergie,2049,38.94817015650516,ZERO-Basis,KKW50,PJ
Holzenergie,2050,38.68929618865654,ZERO-Basis,KKW50,PJ
Holzenergie,2051,38.68219279038935,ZERO-Basis,KKW50,PJ
Holzenergie,2052,38.72468270484171,ZERO-Basis,KKW50,PJ
Holzenergie,2053,38.750335115080496,ZERO-Basis,KKW50,PJ
Holzenergie,2054,38.83232960362898,ZERO-Basis,KKW50,PJ
Holzenergie,2055,39.002077889462605,ZERO-Basis,KKW50,PJ
Holzenergie,2056,39.00477945852337,ZERO-Basis,KKW50,PJ
Holzenergie,2057,39.04817997544059,ZERO-Basis,KKW50,PJ
Holzenergie,2058,39.10834877493123,ZERO-Basis,KKW50,PJ
Holzenergie,2059,39.294448616975835,ZERO-Basis,KKW50,PJ
Holzenergie,2060,39.43423889021598,ZERO-Basis,KKW50,PJ
Kohle,2000,5.769999999999999,ZERO-Basis,KKW50,PJ
Kohle,2001,6.030000000000001,ZERO-Basis,KKW50,PJ
Kohle,2002,5.559999999999999,ZERO-Basis,KKW50,PJ
Kohle,2003,5.71,ZERO-Basis,KKW50,PJ
