sector,year,value,scenario,variant,unit
Endenergieverbrauch,2000,847.1600000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2001,869.9699999999996,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2002,842.570000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2003,862.7400000000002,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2004,865.78,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2005,878.2699999999995,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2006,875.7600000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2007,852.5000000000005,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2008,886.25,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2009,866.0999999999999,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2010,903.8700000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2011,843.2099999999996,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2012,874.4900000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2013,896.34,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2014,826.7199999999997,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2015,839.3600000000001,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2016,854.8000000000002,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2017,850.5800000000005,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2018,831.42,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2019,834.2089999670503,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2020,834.5426514014703,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2021,827.6170321326149,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2022,820.1767380569937,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2023,812.6561915410164,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2024,805.332263162952,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2025,797.4673389683952,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2026,789.8724913123315,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2027,781.712804225139,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2028,772.9287114224475,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2029,763.9360255863347,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2030,754.5843162887357,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2031,745.1797688141355,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2032,735.3870541944113,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2033,725.7667527109704,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2034,715.9019098915106,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2035,706.0317278481559,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2036,695.92295463911,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2037,685.7270693295794,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2038,675.5277456346927,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2039,666.0330566925776,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2040,656.3745711123773,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2041,647.371723803958,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2042,638.9223808590442,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2043,630.754264884852,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2044,623.1899689210846,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2045,615.9637524106524,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2046,608.9203299855858,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2047,601.9868629578002,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2048,595.589927838702,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2049,589.6131306228099,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2050,583.708909701213,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2051,577.9893497955871,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2052,572.6503032450187,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2053,567.6056166364467,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2054,562.7643658496565,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2055,558.0706701298933,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2056,553.5201996572298,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2057,549.002931126258,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2058,544.7448589879111,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2059,540.6657243320534,ZERO-Basis,KKW50,PJ
Endenergieverbrauch,2060,536.4655909234947,ZERO-Basis,KKW50,PJ
Energieumwandlung,2000,204.8155290299128,ZERO-Basis,KKW50,PJ
Energieumwandlung,2001,207.65715245479907,ZERO-Basis,KKW50,PJ
Energieumwandlung,2002,212.34745543514566,ZERO-Basis,KKW50,PJ
Energieumwandlung,2003,213.46800244347963,ZERO-Basis,KKW50,PJ
Energieumwandlung,2004,209.47361627438,ZERO-Basis,KKW50,PJ
Energieumwandlung,2005,187.01502295259928,ZERO-Basis,KKW50,PJ
Energieumwandlung,2006,220.27795060863548,ZERO-Basis,KKW50,PJ
Energieumwandlung,2007,221.18633209989895,ZERO-Basis,KKW50,PJ
Energieumwandlung,2008,218.2416213370085,ZERO-Basis,KKW50,PJ
Energieumwandlung,2009,219.27781632340134,ZERO-Basis,KKW50,PJ
Energieumwandlung,2010,211.76180333994114,ZERO-Basis,KKW50,PJ
Energieumwandlung,2011,215.24903571082677,ZERO-Basis,KKW50,PJ
Energieumwandlung,2012,207.8104816358449,ZERO-Basis,KKW50,PJ
Energieumwandlung,2013,209.09472994798455,ZERO-Basis,KKW50,PJ
Energieumwandlung,2014,220.75387804425475,ZERO-Basis,KKW50,PJ
Energieumwandlung,2015,188.2166928722841,ZERO-Basis,KKW50,PJ
Energieumwandlung,2016,175.67669879384454,ZERO-Basis,KKW50,PJ
Energieumwandlung,2017,170.10381251178308,ZERO-Basis,KKW50,PJ
Energieumwandlung,2018,213.0626757191888,ZERO-Basis,KKW50,PJ
Energieumwandlung,2019,214.6327571268573,ZERO-Basis,KKW50,PJ
Energieumwandlung,2020,197.29280436566222,ZERO-Basis,KKW50,PJ
Energieumwandlung,2021,195.7869179454135,ZERO-Basis,KKW50,PJ
Energieumwandlung,2022,158.203834680797,ZERO-Basis,KKW50,PJ
Energieumwandlung,2023,156.9851302415505,ZERO-Basis,KKW50,PJ
Energieumwandlung,2024,157.43888639207773,ZERO-Basis,KKW50,PJ
Energieumwandlung,2025,157.5002727957537,ZERO-Basis,KKW50,PJ
Energieumwandlung,2026,157.7068590826833,ZERO-Basis,KKW50,PJ
Energieumwandlung,2027,156.30038952202466,ZERO-Basis,KKW50,PJ
Energieumwandlung,2028,154.61950396952284,ZERO-Basis,KKW50,PJ
Energieumwandlung,2029,102.20305364001143,ZERO-Basis,KKW50,PJ
Energieumwandlung,2030,101.90716601578458,ZERO-Basis,KKW50,PJ
Energieumwandlung,2031,101.8643639537197,ZERO-Basis,KKW50,PJ
Energieumwandlung,2032,101.76254244574187,ZERO-Basis,KKW50,PJ
Energieumwandlung,2033,102.79525915008662,ZERO-Basis,KKW50,PJ
Energieumwandlung,2034,43.06423972330509,ZERO-Basis,KKW50,PJ
Energieumwandlung,2035,42.86541104489788,ZERO-Basis,KKW50,PJ
Energieumwandlung,2036,44.09472932278129,ZERO-Basis,KKW50,PJ
Energieumwandlung,2037,48.28493192281866,ZERO-Basis,KKW50,PJ
Energieumwandlung,2038,50.854990712135816,ZERO-Basis,KKW50,PJ
Energieumwandlung,2039,52.65011971999854,ZERO-Basis,KKW50,PJ
Energieumwandlung,2040,55.91348249771943,ZERO-Basis,KKW50,PJ
Energieumwandlung,2041,56.686584012902244,ZERO-Basis,KKW50,PJ
Energieumwandlung,2042,61.44134048546215,ZERO-Basis,KKW50,PJ
Energieumwandlung,2043,62.419068758346725,ZERO-Basis,KKW50,PJ
Energieumwandlung,2044,66.14707933124708,ZERO-Basis,KKW50,PJ
Energieumwandlung,2045,69.849521850303,ZERO-Basis,KKW50,PJ
Energieumwandlung,2046,71.60721814466956,ZERO-Basis,KKW50,PJ
Energieumwandlung,2047,74.5182670757053,ZERO-Basis,KKW50,PJ
Energieumwandlung,2048,75.81605808585738,ZERO-Basis,KKW50,PJ
Energieumwandlung,2049,78.34321158431953,ZERO-Basis,KKW50,PJ
Energieumwandlung,2050,83.65032419509083,ZERO-Basis,KKW50,PJ
Energieumwandlung,2051,83.31028507230576,ZERO-Basis,KKW50,PJ
Energieumwandlung,2052,83.95834021249425,ZERO-Basis,KKW50,PJ
Energieumwandlung,2053,83.9296606599853,ZERO-Basis,KKW50,PJ
Energieumwandlung,2054,83.39568577698947,ZERO-Basis,KKW50,PJ
Energieumwandlung,2055,84.35799798898472,ZERO-Basis,KKW50,PJ
Energieumwandlung,2056,84.11955390872379,ZERO-Basis,KKW50,PJ
Energieumwandlung,2057,84.05739382279802,ZERO-Basis,KKW50,PJ
Energieumwandlung,2058,83.85792728876089,ZERO-Basis,KKW50,PJ
Energieumwandlung,2059,84.26762671915088,ZERO-Basis,KKW50,PJ
Energieumwandlung,2060,84.30247964669093,ZERO-Basis,KKW50,PJ
Eigenverbrauch des Energiesektors,2000,33.11,ZERO-Basis,KKW50,PJ
Eigenverbrauch des Energiesektors,2001,34.53,ZERO-Basis,KKW50,PJ
Eigenverbrauch des Energiesektors,2002,36.339999999999996,ZERO-Basis,KKW50,PJ
