fuel,year,value,scenario,variant,unit
Kohle,2000,5.769999999999999,ZERO-Basis,KKW50,PJ
Kohle,2001,6.030000000000001,ZERO-Basis,KKW50,PJ
Kohle,2002,5.559999999999999,ZERO-Basis,KKW50,PJ
Kohle,2003,5.71,ZERO-Basis,KKW50,PJ
Kohle,2004,5.420000000000002,ZERO-Basis,KKW50,PJ
Kohle,2005,6.040000000000003,ZERO-Basis,KKW50,PJ
Kohle,2006,6.520000000000002,ZERO-Basis,KKW50,PJ
Kohle,2007,7.300000000000001,ZERO-Basis,KKW50,PJ
Kohle,2008,6.56,ZERO-Basis,KKW50,PJ
Kohle,2009,6.190000000000002,ZERO-Basis,KKW50,PJ
Kohle,2010,6.210000000000001,ZERO-Basis,KKW50,PJ
Kohle,2011,5.739999999999999,ZERO-Basis,KKW50,PJ
Kohle,2012,5.170000000000001,ZERO-Basis,KKW50,PJ
Kohle,2013,5.570000000000001,ZERO-Basis,KKW50,PJ
Kohle,2014,5.699999999999999,ZERO-Basis,KKW50,PJ
Kohle,2015,5.210000000000003,ZERO-Basis,KKW50,PJ
Kohle,2016,4.790000000000001,ZERO-Basis,KKW50,PJ
Kohle,2017,4.6099999999999985,ZERO-Basis,KKW50,PJ
Kohle,2018,4.289999999999999,ZERO-Basis,KKW50,PJ
Kohle,2019,3.8100000000000005,ZERO-Basis,KKW50,PJ
Kohle,2020,4.235411356511035,ZERO-Basis,KKW50,PJ
Kohle,2021,4.0509772398960875,ZERO-Basis,KKW50,PJ
Kohle,2022,3.8603674766819887,ZERO-Basis,KKW50,PJ
Kohle,2023,3.641425845186875,ZERO-Basis,KKW50,PJ
Kohle,2024,3.4377740368648757,ZERO-Basis,KKW50,PJ
Kohle,2025,3.2122389724824014,ZERO-Basis,KKW50,PJ
Kohle,2026,2.9950921403447004,ZERO-Basis,KKW50,PJ
Kohle,2027,2.7718986234009337,ZERO-Basis,KKW50,PJ
Kohle,2028,2.548762921682248,ZERO-Basis,KKW50,PJ
Kohle,2029,2.3265449297325507,ZERO-Basis,KKW50,PJ
Kohle,2030,2.1065850527068553,ZERO-Basis,KKW50,PJ
Kohle,2031,1.8917390779864047,ZERO-Basis,KKW50,PJ
Kohle,2032,1.68434533879156,ZERO-Basis,KKW50,PJ
Kohle,2033,1.4861818238672269,ZERO-Basis,KKW50,PJ
Kohle,2034,1.301152527499104,ZERO-Basis,KKW50,PJ
Kohle,2035,1.1291403265620492,ZERO-Basis,KKW50,PJ
Kohle,2036,0.9705543897057837,ZERO-Basis,KKW50,PJ
Kohle,2037,0.8273224205761163,ZERO-Basis,KKW50,PJ
Kohle,2038,0.6998592945046082,ZERO-Basis,KKW50,PJ
Kohle,2039,0.5856230384531197,ZERO-Basis,KKW50,PJ
Kohle,2040,0.48836751447516513,ZERO-Basis,KKW50,PJ
Kohle,2041,0.40394939918462497,ZERO-Basis,KKW50,PJ
Kohle,2042,0.33224932448461697,ZERO-Basis,KKW50,PJ
Kohle,2043,0.2724054747275866,ZERO-Basis,KKW50,PJ
Kohle,2044,0.2230408908091467,ZERO-Basis,KKW50,PJ
Kohle,2045,0.18277499208400447,ZERO-Basis,KKW50,PJ
Kohle,2046,0.1495273339043628,ZERO-Basis,KKW50,PJ
Kohle,2047,0.12291010477611414,ZERO-Basis,KKW50,PJ
Kohle,2048,0.10179849028307443,ZERO-Basis,KKW50,PJ
