fuel,year,value,scenario,variant,unit
Raumwärme,2000,258.8641259418342,ZERO-Basis,KKW50,PJ
Raumwärme,2001,278.1044641905274,ZERO-Basis,KKW50,PJ
Raumwärme,2002,260.6220370846009,ZERO-Basis,KKW50,PJ
Raumwärme,2003,280.9839128049091,ZERO-Basis,KKW50,PJ
Raumwärme,2004,278.88095331517115,ZERO-Basis,KKW50,PJ
Raumwärme,2005,287.90993125071697,ZERO-Basis,KKW50,PJ
Raumwärme,2006,277.1537844665309,ZERO-Basis,KKW50,PJ
Raumwärme,2007,243.7065223704147,ZERO-Basis,KKW50,PJ
Raumwärme,2008,266.9296254457977,ZERO-Basis,KKW50,PJ
Raumwärme,2009,263.6947812553707,ZERO-Basis,KKW50,PJ
Raumwärme,2010,294.2686647446962,ZERO-Basis,KKW50,PJ
Raumwärme,2011,230.3092067049551,ZERO-Basis,KKW50,PJ
Raumwärme,2012,259.4121048165004,ZERO-Basis,KKW50,PJ
Raumwärme,2013,284.84513312840915,ZERO-Basis,KKW50,PJ
Raumwärme,2014,216.36247550266418,ZERO-Basis,KKW50,PJ
Raumwärme,2015,239.58340222439662,ZERO-Basis,KKW50,PJ
Raumwärme,2016,255.23508191242874,ZERO-Basis,KKW50,PJ
Raumwärme,2017,247.46044810615868,ZERO-Basis,KKW50,PJ
Raumwärme,2018,225.03357704335917,ZERO-Basis,KKW50,PJ
Raumwärme,2019,232.13771375277526,ZERO-Basis,KKW50,PJ
Raumwärme,2020,241.36041749943837,ZERO-Basis,KKW50,PJ
Raumwärme,2021,237.6642569878794,ZERO-Basis,KKW50,PJ
Raumwärme,2022,233.86880105200834,ZERO-Basis,KKW50,PJ
Raumwärme,2023,230.3312642599179,ZERO-Basis,KKW50,PJ
Raumwärme,2024,227.25727431881296,ZERO-Basis,KKW50,PJ
Raumwärme,2025,223.80533999385258,ZERO-Basis,KKW50,PJ
Raumwärme,2026,220.62237583150804,ZERO-Basis,KKW50,PJ
Raumwärme,2027,217.58717962214217,ZERO-Basis,KKW50,PJ
