sector,unit,year,value,scenario,variant
Haushalte,absolut [PJ],2000,236.27304316951552,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2001,247.22885605207986,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2002,241.82056114290955,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2003,253.45932395652318,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2004,255.497352285589,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2005,261.10710855594436,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2006,254.7819166012058,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2007,234.1846415193059,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2008,248.63483453275327,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2009,246.38237620176452,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2010,265.7821140874834,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2011,226.25834388124676,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2012,244.7044070877025,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2013,259.6621112187039,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2014,219.28347442295217,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2015,233.14165634701743,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2016,241.5075075803479,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2017,236.77438296301608,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2018,224.0599572029852,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2019,226.87454874954696,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2020,235.8598585831243,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2021,234.37224624407943,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2022,233.00576194438764,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2023,231.60641250820694,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2024,230.23227768823048,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2025,228.74782371201474,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2026,227.24732164946454,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2027,225.6900354437962,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2028,224.2145335966195,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2029,222.6711649093225,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2030,221.11155531267477,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2031,219.67481092985707,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2032,218.20062592794932,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2033,216.650481639407,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2034,215.0833054051481,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2035,213.43253349316947,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2036,211.91289861323168,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2037,210.31194980685206,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2038,208.6692844996202,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2039,207.03014528790072,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2040,205.36981588069594,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2041,204.01039506146492,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2042,202.68596636533073,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2043,201.29734481983422,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2044,199.95210619626923,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2045,198.6608558940152,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2046,197.43949268503724,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2047,196.28955927888768,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2048,195.2146867908925,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2049,194.17126902554247,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2050,193.20688824065576,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2051,192.3949139180699,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2052,191.56713026849772,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2053,190.75392645485073,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2054,189.97891769986614,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2055,189.1197273223116,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2056,188.33771582985347,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2057,187.58687219586807,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2058,186.8364252128439,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2059,186.10078549551918,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2060,185.23847997346172,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2000,32.88787104611725,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2001,34.19557197619312,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2002,33.19522308682594,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2003,34.535948215904504,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2004,34.57526148716967,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2005,35.10872632557641,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2006,34.043914636068145,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2007,31.01324705019528,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2008,32.51116640452861,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2009,31.816600362503326,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2010,33.95316907829382,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2011,28.595662122988376,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2012,30.600057583557156,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2013,32.09927320061974,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2014,26.77895802011189,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2015,28.149059323777493,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2016,28.842441040878548,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2017,27.98639377747887,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2018,26.23060115247169,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2019,26.30881536746974,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2020,27.094624286514183,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2021,26.674465156156366,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2022,26.276529185522406,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2023,25.883189882703455,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2024,25.5010602328321,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2025,25.11538083503712,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2026,24.7367969356101,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2027,24.360892062391457,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2028,24.00261664876185,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2029,23.64573485630914,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2030,23.29563527931295,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2031,22.967854204570127,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2032,22.647556296287956,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2033,22.332711206562458,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2034,22.032352116061315,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2035,21.74029148829339,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2036,21.476571446533654,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2037,21.219892752126544,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2038,20.972767794486423,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2039,20.73614451916347,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2040,20.505068990598303,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2041,20.30937992493898,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2042,20.121134987915305,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2043,19.930063264228963,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2044,19.746659241278792,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2045,19.571792664237687,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2046,19.40674806855738,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2047,19.251419648581127,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2048,19.10599578799256,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2049,18.966204863479753,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2050,18.83663957183342,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2051,18.724292441548403,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2052,18.612668894439782,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2053,18.50462427940548,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2054,18.40247714738525,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2055,18.2943521495274,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2056,18.195707179057727,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2057,18.102059150859223,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2058,18.01027602863572,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2059,17.92163484923953,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2060,17.82237568029671,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2000,0.45474949320845187,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2001,0.46948289388279113,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2002,0.46073975726819544,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2003,0.48471241638296814,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2004,0.4775300034109697,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2005,0.47558213086333906,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2006,0.44836207443616016,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2007,0.3977574640606491,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2008,0.4133385542784648,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2009,0.4197856095162427,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2010,0.4407263799320355,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2011,0.36924062610410197,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2012,0.39624765721740624,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2013,0.41366463945330034,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2014,0.3416438833710259,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2015,0.35979205935409814,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2016,0.36725731223280916,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2017,0.353636566249172,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2018,0.32521556680225916,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2019,0.32284397324282954,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2020,0.33099908020190183,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2021,0.3244943894934529,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2022,0.3184080974346274,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2023,0.31250539466590643,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2024,0.30674269714349495,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2025,0.301028480724789,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2026,0.2955078054743154,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2027,0.2901064217180689,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2028,0.28496732452984835,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2029,0.2798381812906917,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2030,0.27473726428041584,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2031,0.2698328194830439,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2032,0.2649530316966799,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2033,0.2600837540993652,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2034,0.25536472982349095,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2035,0.25069616455390753,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2036,0.24632835341556195,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2037,0.2420598207517593,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2038,0.23788528161434486,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2039,0.23383684837756835,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2040,0.22987180163380472,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2041,0.22632521620483223,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2042,0.22289916847919897,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2043,0.21949322108009284,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2044,0.216228017958776,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2045,0.2131067372673563,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2046,0.2101377007525066,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2047,0.20730975335731003,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2048,0.20462648339496609,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2049,0.20204021058152313,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2050,0.19959252538269018,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2051,0.1973547476886037,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2052,0.19515096146039201,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2053,0.19300183550102432,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2054,0.19092208153531373,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2055,0.18877713285873282,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2056,0.18671968452511734,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2057,0.18468604070044994,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2058,0.18264346038990995,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2059,0.18060828725838704,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2060,0.17844723969050086,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2000,137.64737534865588,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2001,144.34482346800561,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2002,139.165289671004,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2003,145.24005051689886,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2004,144.67044938435077,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2005,149.15056781291258,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2006,146.0308526848648,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2007,137.7635474534913,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2008,144.83126026573828,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2009,142.9221145440531,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2010,152.16108970994887,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2011,135.71988768920457,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2012,143.6090623247602,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2013,150.12334371668527,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2014,130.98753529352817,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2015,138.27837493696802,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2016,142.08861447607586,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2017,140.01640051271815,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2018,133.8394429314187,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2019,134.39511812580315,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2020,134.1720245437591,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2021,131.57062125550226,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2022,128.72030200274227,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2023,126.10994257206383,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2024,123.94234796193274,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2025,121.58526481293518,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2026,119.44043519791883,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2027,117.53459402901838,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2028,115.29208692749405,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2029,113.39336294282118,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2030,111.59763908022465,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2031,110.13614773127249,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2032,108.35612802571032,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2033,106.84082067797277,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2034,105.0927022121029,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2035,103.61947915167356,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2036,101.70889192021295,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2037,100.03259038770541,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2038,98.3620634647956,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2039,97.00338514679622,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2040,95.53379548278919,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2041,94.08939463870473,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2042,92.7283858593559,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2043,91.52789068590565,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2044,90.33944616960841,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2045,89.25667144136231,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2046,88.19536554257367,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2047,87.08293992089632,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2048,85.9743525135764,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2049,85.05228059254118,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2050,84.17457705558056,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2051,83.23788071145881,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2052,82.52110925274785,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2053,81.91204538215614,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2054,81.30802429860469,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2055,80.78753872662378,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2056,80.2703396741356,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2057,79.65008805527661,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2058,79.19544064370473,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2059,78.82215949818028,ZERO-Basis,KKW50
Dienstleistungen,absolut [PJ],2060,78.39490401688523,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2000,19.159735996861986,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2001,19.965120087969407,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2002,19.10351549404294,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2003,19.790169030780604,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2004,19.577575157566145,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2005,20.05493644201538,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2006,19.512616709047286,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2007,18.244129520911414,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2008,18.937946534827685,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2009,18.456254345433557,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2010,19.438295250969368,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2011,17.152958804327646,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2012,17.9581791311316,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2013,18.55815698769267,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2014,15.996233724469695,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2015,16.695455631071976,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2016,16.96917220779525,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2017,16.549738493738147,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2018,15.668525022624017,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2019,15.584720139605794,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2020,15.413138194064109,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2021,14.97436666881968,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2022,14.51604777546912,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2023,14.093424937333687,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2024,13.728141477433923,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2025,13.349461341980476,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2026,13.001578060177668,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2027,12.686637020139747,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2028,12.342249722914886,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2029,12.041385761389726,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2030,11.757584963703117,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2031,11.51516176587297,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2032,11.246537442657841,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2033,11.013338974452989,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2034,10.76531447014858,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2035,10.554706181635694,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2036,10.307811833856125,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2037,10.093011080416295,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2038,9.886096661425267,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2039,9.71586147734591,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2040,9.538534467237808,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2041,9.366666154679274,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2042,9.205375204539767,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2043,9.062000561627848,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2044,8.921647756018439,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2045,8.793443778790019,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2046,8.668910239905435,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2047,8.540801797142093,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2048,8.414457149729232,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2049,8.307711979840333,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2050,8.20657163699325,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2051,8.100892008609867,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2052,8.017753782554127,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2053,7.9461096918137155,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2054,7.875974224771425,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2055,7.814920757788519,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2056,7.755088190586176,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2057,7.686202069845704,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2058,7.634120298425118,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2059,7.590628684309969,ZERO-Basis,KKW50
,pro Kopf [GJ/Einwohner],2060,7.5426198218096925,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2000,0.26492685471683536,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2001,0.2741080734705353,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2002,0.26515107516140396,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2003,0.27775524191686995,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2004,0.27039215698311625,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2005,0.2716637829289273,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2006,0.2569832934570107,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2007,0.23398835602369014,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2008,0.24077215023014903,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2009,0.24351030253111064,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2010,0.25231722783387106,ZERO-Basis,KKW50
,pro BIP [MJ/CHF],2011,0.22148706405913854,ZERO-Basis,KKW50
