variable,year,value,scenario,variant
Summe pro Kopf [GJ/Einwohner],2000,109.03039878964357,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2001,111.99448497338054,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2002,108.02235335663926,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2003,110.75078869062952,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2004,110.7895361770991,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2005,111.65744692082816,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2006,110.29386666754358,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2007,105.7722402452765,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2008,108.28449135260973,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2009,104.67590133598972,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2010,108.00404125635964,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2011,98.6508925685565,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2012,101.3528398359093,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2013,102.79399906851475,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2014,93.00776532870567,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2015,93.20138975260058,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2016,93.64140181104894,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2017,91.94772362187851,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2018,88.33648169895847,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2019,87.73039449599972,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2020,87.19203919715389,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2021,85.49891075549148,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2022,83.78043421737213,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2023,82.08638282566878,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2024,80.4476572221967,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2025,78.7830367276842,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2026,77.18227778612028,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2027,75.54935621699794,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2028,73.90842627380624,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2029,72.31953608048455,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2030,70.7729341099162,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2031,69.30286315241035,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2032,67.84844586239404,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2033,66.46915209731395,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2034,65.12690755844876,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2035,63.87126556353161,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2036,62.64061966083479,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2037,61.45050563006757,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2038,60.31554848820138,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2039,59.28198807552537,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2040,58.25578673297746,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2041,57.3126378527048,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2042,56.436501469737834,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2043,55.59861990307429,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2044,54.830003260914985,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2045,54.10417044113716,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2046,53.40355592342072,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2047,52.72151668461908,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2048,52.098674430663024,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2049,51.52276348909657,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2050,50.960718888131915,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2051,50.422458203606325,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2052,49.926653975081265,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2053,49.464441445108754,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2054,49.02640359073357,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2055,48.60802310258177,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2056,48.20781121155929,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2057,47.815027713902346,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2058,47.45100389310882,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2059,47.1076156386847,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2060,46.755089653608586,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2000,100.0,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2001,102.7185869414783,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2002,99.07544552327175,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2003,101.57789930155641,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2004,101.61343754309245,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2005,102.40946392964503,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2006,101.15882166067985,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2007,97.01169712251246,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2008,99.31587204548987,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2009,96.00616204105137,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2010,99.05865011530948,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2011,90.48017219389187,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2012,92.95833176897126,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2013,94.28012756959558,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2014,85.30443469086913,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2015,85.48202224997591,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2016,85.88559048721338,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2017,84.33219051071866,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2018,81.02004824304949,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2019,80.46415996813995,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2020,79.97039372971273,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2021,78.41749796811047,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2022,76.8413535559132,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2023,75.28761128723477,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2024,73.78461247069946,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2025,72.25786349702643,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2026,70.78968676894499,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2027,69.29201126995613,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2028,67.7869906872491,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2029,66.32969968312538,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2030,64.91119439676734,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2031,63.56288147319259,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2032,62.2289257084133,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2033,60.963871392927196,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2034,59.73279771644287,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2035,58.5811537631453,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2036,57.452435610815,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2037,56.360892294474986,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2038,55.31993751996672,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2039,54.37198133146365,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2040,53.430774701074455,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2041,52.56574174628143,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2042,51.76217100574206,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2043,50.99368664178032,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2044,50.28873036289683,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2045,49.62301435356791,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2046,48.980427950606874,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2047,48.35487833657903,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2048,47.78362274101092,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2049,47.25541139081896,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2050,46.73991790716306,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2051,46.24623844666317,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2052,45.79149900332533,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2053,45.36756903966054,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2054,44.965811493840405,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2055,44.58208320081727,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2056,44.21501869819666,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2057,43.85476733525819,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2058,43.52089364055048,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2059,43.2059463797534,ZERO-Basis,KKW50
Veränderung (Referenzindex 2000),2060,42.8826182171588,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2000,0.0,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2001,0.02718586941478307,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2002,-0.009245544767282454,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2003,0.01577899301556407,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2004,0.01613437543092444,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2005,0.024094639296450282,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2006,0.01158821660679843,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2007,-0.029883028774875475,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2008,-0.006841279545101386,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2009,-0.03993837958948632,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2010,-0.009413498846905233,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2011,-0.09519827806108128,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2012,-0.07041668231028742,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2013,-0.05719872430404427,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2014,-0.14695565309130865,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2015,-0.14517977750024091,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2016,-0.1411440951278662,ZERO-Basis,KKW50
