fuel,year,value,scenario,variant
Umweltwärme,2000,4.311665453231985,ZERO-Basis,KKW50
Umweltwärme,2001,4.671349211130204,ZERO-Basis,KKW50
Umweltwärme,2002,4.790424336360018,ZERO-Basis,KKW50
Umweltwärme,2003,5.245092875244933,ZERO-Basis,KKW50
Umweltwärme,2004,5.50993639614604,ZERO-Basis,KKW50
Umweltwärme,2005,6.090041136576945,ZERO-Basis,KKW50
Umweltwärme,2006,6.324669387544814,ZERO-Basis,KKW50
Umweltwärme,2007,6.83956096798827,ZERO-Basis,KKW50
Umweltwärme,2008,8.149835165376574,ZERO-Basis,KKW50
Umweltwärme,2009,8.957720965940698,ZERO-Basis,KKW50
Umweltwärme,2010,10.847755226117595,ZERO-Basis,KKW50
Umweltwärme,2011,10.41946450762548,ZERO-Basis,KKW50
Umweltwärme,2012,12.18688733209782,ZERO-Basis,KKW50
Umweltwärme,2013,13.629168462329448,ZERO-Basis,KKW50
Umweltwärme,2014,12.612383463542322,ZERO-Basis,KKW50
Umweltwärme,2015,14.393833736452246,ZERO-Basis,KKW50
Umweltwärme,2016,15.93283173848398,ZERO-Basis,KKW50
Umweltwärme,2017,16.587498872820866,ZERO-Basis,KKW50
Umweltwärme,2018,16.37440066494536,ZERO-Basis,KKW50
Umweltwärme,2019,18.016593627467138,ZERO-Basis,KKW50
Umweltwärme,2020,20.517121239436758,ZERO-Basis,KKW50
Umweltwärme,2021,22.328817458445684,ZERO-Basis,KKW50
Umweltwärme,2022,24.66592086476383,ZERO-Basis,KKW50
Umweltwärme,2023,27.29030924586838,ZERO-Basis,KKW50
Umweltwärme,2024,29.979411856748968,ZERO-Basis,KKW50
Umweltwärme,2025,33.03447133724632,ZERO-Basis,KKW50
Umweltwärme,2026,36.112791919234795,ZERO-Basis,KKW50
Umweltwärme,2027,39.1064408989129,ZERO-Basis,KKW50
Umweltwärme,2028,42.02112512899352,ZERO-Basis,KKW50
Umweltwärme,2029,44.86067082593718,ZERO-Basis,KKW50
Umweltwärme,2030,47.92004960347316,ZERO-Basis,KKW50
Umweltwärme,2031,50.58995650166986,ZERO-Basis,KKW50
