sector,year,value,scenario,variant,unit
Endverbrauch Nachfragesektoren,2000,188.53999999999996,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2001,193.50000000000003,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2002,194.49999999999991,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2003,198.43999999999997,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2004,202.21999999999994,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2005,206.3900000000001,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2006,208.01999999999998,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2007,206.76000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2008,211.41999999999987,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2009,206.97999999999996,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2010,215.23000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2011,210.96000000000012,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2012,212.29999999999993,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2013,213.55999999999997,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2014,206.88000000000005,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2015,209.69000000000008,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2016,209.66000000000003,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2017,210.5400000000001,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2018,207.52999999999997,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2019,205.90999999999994,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2020,208.30311370461334,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2021,207.40578483390658,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2022,207.0263416536629,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2023,206.30524122228783,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2024,205.99768769982109,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2025,205.95889167318555,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2026,206.12198912844028,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2027,206.4816753015394,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2028,206.89495752816754,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2029,207.5824701995053,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2030,208.3685739491805,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2031,209.43027711000695,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2032,210.63334532776685,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2033,211.80318414023554,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2034,213.0716405991255,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2035,214.5575924630308,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2036,215.83962797388787,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2037,217.28366647534838,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2038,218.69907989178768,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2039,220.18485520500104,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2040,221.4306861884342,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2041,222.47193033015233,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2042,223.56542035550143,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2043,224.4962312686631,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2044,225.56182332034493,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2045,226.41965254369094,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2046,226.95521242527255,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2047,227.27684496151855,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2048,227.52781000489918,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2049,227.77735720207647,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2050,227.68921502273565,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2051,227.58793849753897,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2052,227.43071440925468,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2053,227.34355956554745,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2054,227.1344470816713,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2055,226.7344936622596,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2056,226.2527769497967,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2057,225.8055438428035,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2058,225.36634092961938,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2059,224.9127092351018,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2060,224.37025965226658,ZERO-Basis,KKW50,PJ
Haushalte,2000,56.62,ZERO-Basis,KKW50,PJ
Haushalte,2001,57.88999999999999,ZERO-Basis,KKW50,PJ
Haushalte,2002,58.650000000000006,ZERO-Basis,KKW50,PJ
Haushalte,2003,60.04,ZERO-Basis,KKW50,PJ
Haushalte,2004,61.609999999999985,ZERO-Basis,KKW50,PJ
Haushalte,2005,63.45000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2006,63.72999999999998,ZERO-Basis,KKW50,PJ
Haushalte,2007,62.89999999999999,ZERO-Basis,KKW50,PJ
Haushalte,2008,64.42999999999998,ZERO-Basis,KKW50,PJ
Haushalte,2009,64.50999999999999,ZERO-Basis,KKW50,PJ
Haushalte,2010,67.02000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2011,64.59000000000002,ZERO-Basis,KKW50,PJ
Haushalte,2012,66.00000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2013,67.56,ZERO-Basis,KKW50,PJ
Haushalte,2014,65.83,ZERO-Basis,KKW50,PJ
Haushalte,2015,67.53999999999998,ZERO-Basis,KKW50,PJ
Haushalte,2016,68.67999999999998,ZERO-Basis,KKW50,PJ
Haushalte,2017,69.22000000000003,ZERO-Basis,KKW50,PJ
Haushalte,2018,68.71000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2019,68.73000000000002,ZERO-Basis,KKW50,PJ
Haushalte,2020,67.81452719131705,ZERO-Basis,KKW50,PJ
Haushalte,2021,67.60145448360437,ZERO-Basis,KKW50,PJ
Haushalte,2022,67.58705836161047,ZERO-Basis,KKW50,PJ
Haushalte,2023,67.44293951836941,ZERO-Basis,KKW50,PJ
Haushalte,2024,67.59577702108322,ZERO-Basis,KKW50,PJ
Haushalte,2025,67.90724861559008,ZERO-Basis,KKW50,PJ
Haushalte,2026,68.30758991378471,ZERO-Basis,KKW50,PJ
Haushalte,2027,68.68386012131835,ZERO-Basis,KKW50,PJ
Haushalte,2028,68.84614857484921,ZERO-Basis,KKW50,PJ
Haushalte,2029,69.11326166992733,ZERO-Basis,KKW50,PJ
Haushalte,2030,69.13487908172115,ZERO-Basis,KKW50,PJ
Haushalte,2031,69.35926174258967,ZERO-Basis,KKW50,PJ
Haushalte,2032,69.53772285881696,ZERO-Basis,KKW50,PJ
Haushalte,2033,69.64800772801395,ZERO-Basis,KKW50,PJ
Haushalte,2034,69.65499204535567,ZERO-Basis,KKW50,PJ
Haushalte,2035,69.76576012846297,ZERO-Basis,KKW50,PJ
Haushalte,2036,69.68010288022475,ZERO-Basis,KKW50,PJ
Haushalte,2037,69.66673888193827,ZERO-Basis,KKW50,PJ
Haushalte,2038,69.67560084900052,ZERO-Basis,KKW50,PJ
Haushalte,2039,69.59534389241044,ZERO-Basis,KKW50,PJ
Haushalte,2040,69.49746373232173,ZERO-Basis,KKW50,PJ
Haushalte,2041,69.37554791449888,ZERO-Basis,KKW50,PJ
Haushalte,2042,69.31966296366643,ZERO-Basis,KKW50,PJ
Haushalte,2043,69.41257255932663,ZERO-Basis,KKW50,PJ
Haushalte,2044,69.49372287409264,ZERO-Basis,KKW50,PJ
Haushalte,2045,69.63980954132617,ZERO-Basis,KKW50,PJ
Haushalte,2046,69.74024764032178,ZERO-Basis,KKW50,PJ
Haushalte,2047,69.80712232334557,ZERO-Basis,KKW50,PJ
Haushalte,2048,69.76554721800734,ZERO-Basis,KKW50,PJ
Haushalte,2049,69.6375511863132,ZERO-Basis,KKW50,PJ
Haushalte,2050,69.49142826357313,ZERO-Basis,KKW50,PJ
Haushalte,2051,69.43715801332372,ZERO-Basis,KKW50,PJ
Haushalte,2052,69.32680897791681,ZERO-Basis,KKW50,PJ
Haushalte,2053,69.17105648666517,ZERO-Basis,KKW50,PJ
Haushalte,2054,68.9578704003003,ZERO-Basis,KKW50,PJ
Haushalte,2055,68.60855997891379,ZERO-Basis,KKW50,PJ
Haushalte,2056,68.23351671886348,ZERO-Basis,KKW50,PJ
Haushalte,2057,67.93897150221316,ZERO-Basis,KKW50,PJ
Haushalte,2058,67.66317744477725,ZERO-Basis,KKW50,PJ
Haushalte,2059,67.37632645808112,ZERO-Basis,KKW50,PJ
Haushalte,2060,67.03109185607292,ZERO-Basis,KKW50,PJ
Dienstleistungen,2000,53.769999999999996,ZERO-Basis,KKW50,PJ
Dienstleistungen,2001,56.160000000000004,ZERO-Basis,KKW50,PJ
Dienstleistungen,2002,56.669999999999995,ZERO-Basis,KKW50,PJ
Dienstleistungen,2003,58.150000000000006,ZERO-Basis,KKW50,PJ
Dienstleistungen,2004,59.219999999999985,ZERO-Basis,KKW50,PJ
Dienstleistungen,2005,60.470000000000006,ZERO-Basis,KKW50,PJ
Dienstleistungen,2006,60.980000000000004,ZERO-Basis,KKW50,PJ
Dienstleistungen,2007,60.790000000000006,ZERO-Basis,KKW50,PJ
Dienstleistungen,2008,62.62999999999999,ZERO-Basis,KKW50,PJ
Dienstleistungen,2009,62.27999999999999,ZERO-Basis,KKW50,PJ
Dienstleistungen,2010,63.839999999999996,ZERO-Basis,KKW50,PJ
Dienstleistungen,2011,62.65000000000001,ZERO-Basis,KKW50,PJ
Dienstleistungen,2012,63.10999999999997,ZERO-Basis,KKW50,PJ
Dienstleistungen,2013,63.54,ZERO-Basis,KKW50,PJ
Dienstleistungen,2014,61.629999999999995,ZERO-Basis,KKW50,PJ
Dienstleistungen,2015,62.54999999999999,ZERO-Basis,KKW50,PJ
Dienstleistungen,2016,62.010000000000005,ZERO-Basis,KKW50,PJ
Dienstleistungen,2017,62.059999999999995,ZERO-Basis,KKW50,PJ
Dienstleistungen,2018,61.90000000000002,ZERO-Basis,KKW50,PJ
Dienstleistungen,2019,60.660000000000004,ZERO-Basis,KKW50,PJ
Dienstleistungen,2020,63.07773228809441,ZERO-Basis,KKW50,PJ
Dienstleistungen,2021,62.790404657725844,ZERO-Basis,KKW50,PJ
Dienstleistungen,2022,62.702008795613295,ZERO-Basis,KKW50,PJ
Dienstleistungen,2023,62.288134171874155,ZERO-Basis,KKW50,PJ
Dienstleistungen,2024,61.86106881254806,ZERO-Basis,KKW50,PJ
Dienstleistungen,2025,61.416136375916004,ZERO-Basis,KKW50,PJ
Dienstleistungen,2026,60.8904483223066,ZERO-Basis,KKW50,PJ
Dienstleistungen,2027,60.38357167141803,ZERO-Basis,KKW50,PJ
Dienstleistungen,2028,59.912876086815515,ZERO-Basis,KKW50,PJ
