purpose,year,value,scenario,variant,unit
Raumwärme,2000,15.314718634973415,ZERO-Basis,KKW50,PJ
Raumwärme,2001,16.520890800509477,ZERO-Basis,KKW50,PJ
Raumwärme,2002,15.626793792911005,ZERO-Basis,KKW50,PJ
Raumwärme,2003,16.884313393708354,ZERO-Basis,KKW50,PJ
Raumwärme,2004,16.999737716942814,ZERO-Basis,KKW50,PJ
Raumwärme,2005,17.906943719084826,ZERO-Basis,KKW50,PJ
Raumwärme,2006,17.66127021899086,ZERO-Basis,KKW50,PJ
Raumwärme,2007,15.795494179862395,ZERO-Basis,KKW50,PJ
Raumwärme,2008,17.425668429702405,ZERO-Basis,KKW50,PJ
Raumwärme,2009,17.139846134997914,ZERO-Basis,KKW50,PJ
Raumwärme,2010,19.340743481696514,ZERO-Basis,KKW50,PJ
Raumwärme,2011,15.648943915194197,ZERO-Basis,KKW50,PJ
Raumwärme,2012,17.764699297319616,ZERO-Basis,KKW50,PJ
Raumwärme,2013,19.924613341568342,ZERO-Basis,KKW50,PJ
Raumwärme,2014,15.771196859762277,ZERO-Basis,KKW50,PJ
Raumwärme,2015,17.641177906047634,ZERO-Basis,KKW50,PJ
Raumwärme,2016,19.221478836940555,ZERO-Basis,KKW50,PJ
Raumwärme,2017,19.159856092669006,ZERO-Basis,KKW50,PJ
Raumwärme,2018,18.100271695216964,ZERO-Basis,KKW50,PJ
Raumwärme,2019,18.84816349680923,ZERO-Basis,KKW50,PJ
Raumwärme,2020,20.254975597459136,ZERO-Basis,KKW50,PJ
Raumwärme,2021,20.63114713481712,ZERO-Basis,KKW50,PJ
Raumwärme,2022,21.192075008728075,ZERO-Basis,KKW50,PJ
Raumwärme,2023,21.460745400727486,ZERO-Basis,KKW50,PJ
Raumwärme,2024,21.945352266036892,ZERO-Basis,KKW50,PJ
Raumwärme,2025,22.54659272940447,ZERO-Basis,KKW50,PJ
Raumwärme,2026,23.136729299206884,ZERO-Basis,KKW50,PJ
Raumwärme,2027,23.652092700617015,ZERO-Basis,KKW50,PJ
Raumwärme,2028,24.06542403400833,ZERO-Basis,KKW50,PJ
Raumwärme,2029,24.427106784339895,ZERO-Basis,KKW50,PJ
Raumwärme,2030,24.63563518241751,ZERO-Basis,KKW50,PJ
Raumwärme,2031,24.935845671279704,ZERO-Basis,KKW50,PJ
Raumwärme,2032,25.23512649733755,ZERO-Basis,KKW50,PJ
Raumwärme,2033,25.408277293077813,ZERO-Basis,KKW50,PJ
Raumwärme,2034,25.532034172955182,ZERO-Basis,KKW50,PJ
Raumwärme,2035,25.718107108369093,ZERO-Basis,KKW50,PJ
Raumwärme,2036,25.68765044372381,ZERO-Basis,KKW50,PJ
Raumwärme,2037,25.79025569067771,ZERO-Basis,KKW50,PJ
Raumwärme,2038,25.859936941192526,ZERO-Basis,KKW50,PJ
Raumwärme,2039,25.877497441990126,ZERO-Basis,KKW50,PJ
Raumwärme,2040,25.82262725827264,ZERO-Basis,KKW50,PJ
Raumwärme,2041,25.84175898634757,ZERO-Basis,KKW50,PJ
Raumwärme,2042,25.830413223333736,ZERO-Basis,KKW50,PJ
Raumwärme,2043,25.89548752631617,ZERO-Basis,KKW50,PJ
Raumwärme,2044,26.025300641135722,ZERO-Basis,KKW50,PJ
Raumwärme,2045,26.104211892349007,ZERO-Basis,KKW50,PJ
Raumwärme,2046,26.25555828556407,ZERO-Basis,KKW50,PJ
Raumwärme,2047,26.352369642186503,ZERO-Basis,KKW50,PJ
Raumwärme,2048,26.332619763269886,ZERO-Basis,KKW50,PJ
Raumwärme,2049,26.204718759671348,ZERO-Basis,KKW50,PJ
Raumwärme,2050,26.092228025194018,ZERO-Basis,KKW50,PJ
Raumwärme,2051,25.888548868875834,ZERO-Basis,KKW50,PJ
Raumwärme,2052,25.65818379573883,ZERO-Basis,KKW50,PJ
Raumwärme,2053,25.441068947680076,ZERO-Basis,KKW50,PJ
Raumwärme,2054,25.165802235093267,ZERO-Basis,KKW50,PJ
Raumwärme,2055,24.865542752600323,ZERO-Basis,KKW50,PJ
Raumwärme,2056,24.509726392003582,ZERO-Basis,KKW50,PJ
Raumwärme,2057,24.190260251935836,ZERO-Basis,KKW50,PJ
Raumwärme,2058,23.875161746581192,ZERO-Basis,KKW50,PJ
Raumwärme,2059,23.567898789268572,ZERO-Basis,KKW50,PJ
Raumwärme,2060,23.29255800097318,ZERO-Basis,KKW50,PJ
Warmwasser,2000,8.551301808257639,ZERO-Basis,KKW50,PJ
Warmwasser,2001,8.303060170538952,ZERO-Basis,KKW50,PJ
Warmwasser,2002,8.41535301747104,ZERO-Basis,KKW50,PJ
Warmwasser,2003,8.35939125751412,ZERO-Basis,KKW50,PJ
Warmwasser,2004,8.526593104152292,ZERO-Basis,KKW50,PJ
Warmwasser,2005,8.627112236272321,ZERO-Basis,KKW50,PJ
Warmwasser,2006,8.64369205587274,ZERO-Basis,KKW50,PJ
Warmwasser,2007,8.654945355371332,ZERO-Basis,KKW50,PJ
Warmwasser,2008,8.696080296288644,ZERO-Basis,KKW50,PJ
Warmwasser,2009,8.746961374633226,ZERO-Basis,KKW50,PJ
Warmwasser,2010,8.858023695017119,ZERO-Basis,KKW50,PJ
Warmwasser,2011,9.07232074058037,ZERO-Basis,KKW50,PJ
Warmwasser,2012,9.07884906389392,ZERO-Basis,KKW50,PJ
Warmwasser,2013,9.110949110166482,ZERO-Basis,KKW50,PJ
Warmwasser,2014,9.491295616940684,ZERO-Basis,KKW50,PJ
Warmwasser,2015,9.543480798058761,ZERO-Basis,KKW50,PJ
Warmwasser,2016,9.597496921107584,ZERO-Basis,KKW50,PJ
Warmwasser,2017,9.83971071356956,ZERO-Basis,KKW50,PJ
Warmwasser,2018,10.039280292139878,ZERO-Basis,KKW50,PJ
Warmwasser,2019,10.095719392185183,ZERO-Basis,KKW50,PJ
Warmwasser,2020,9.893528624162789,ZERO-Basis,KKW50,PJ
Warmwasser,2021,9.780374257885061,ZERO-Basis,KKW50,PJ
Warmwasser,2022,9.71924453919584,ZERO-Basis,KKW50,PJ
Warmwasser,2023,9.595938220801857,ZERO-Basis,KKW50,PJ
Warmwasser,2024,9.521994330499043,ZERO-Basis,KKW50,PJ
Warmwasser,2025,9.422226064535124,ZERO-Basis,KKW50,PJ
Warmwasser,2026,9.375181718652312,ZERO-Basis,KKW50,PJ
Warmwasser,2027,9.35010090454287,ZERO-Basis,KKW50,PJ
Warmwasser,2028,9.28101343843187,ZERO-Basis,KKW50,PJ
Warmwasser,2029,9.27649385722729,ZERO-Basis,KKW50,PJ
Warmwasser,2030,9.207267400638019,ZERO-Basis,KKW50,PJ
Warmwasser,2031,9.140933181151796,ZERO-Basis,KKW50,PJ
Warmwasser,2032,9.068144580789196,ZERO-Basis,KKW50,PJ
Warmwasser,2033,9.012373328428083,ZERO-Basis,KKW50,PJ
Warmwasser,2034,8.933638806741824,ZERO-Basis,KKW50,PJ
Warmwasser,2035,8.893612064860847,ZERO-Basis,KKW50,PJ
Warmwasser,2036,8.791891866492668,ZERO-Basis,KKW50,PJ
Warmwasser,2037,8.69094923384671,ZERO-Basis,KKW50,PJ
Warmwasser,2038,8.600462921255033,ZERO-Basis,KKW50,PJ
Warmwasser,2039,8.46083681967165,ZERO-Basis,KKW50,PJ
Warmwasser,2040,8.301262032821965,ZERO-Basis,KKW50,PJ
Warmwasser,2041,8.110673736562156,ZERO-Basis,KKW50,PJ
Warmwasser,2042,8.000496648469507,ZERO-Basis,KKW50,PJ
Warmwasser,2043,7.887661505166051,ZERO-Basis,KKW50,PJ
Warmwasser,2044,7.737847599892047,ZERO-Basis,KKW50,PJ
Warmwasser,2045,7.724559221942175,ZERO-Basis,KKW50,PJ
Warmwasser,2046,7.584389921939067,ZERO-Basis,KKW50,PJ
Warmwasser,2047,7.459435882306484,ZERO-Basis,KKW50,PJ
Warmwasser,2048,7.285712194659893,ZERO-Basis,KKW50,PJ
Warmwasser,2049,7.177614348094579,ZERO-Basis,KKW50,PJ
Warmwasser,2050,7.0037761874618765,ZERO-Basis,KKW50,PJ
Warmwasser,2051,6.974449136371911,ZERO-Basis,KKW50,PJ
Warmwasser,2052,6.97392207507173,ZERO-Basis,KKW50,PJ
Warmwasser,2053,6.950529831165877,ZERO-Basis,KKW50,PJ
