sector,unit,year,value,scenario,variant
Haushalte,absolut [PJ],2000,56.62,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2001,57.88999999999999,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2002,58.650000000000006,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2003,60.04,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2004,61.609999999999985,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2005,63.45000000000001,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2006,63.72999999999998,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2007,62.89999999999999,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2008,64.42999999999998,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2009,64.50999999999999,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2010,67.02000000000001,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2011,64.59000000000002,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2012,66.00000000000001,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2013,67.56,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2014,65.83,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2015,67.53999999999998,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2016,68.67999999999998,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2017,69.22000000000003,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2018,68.71000000000001,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2019,68.73000000000002,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2020,67.81452719131705,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2021,67.60145448360437,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2022,67.58705836161047,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2023,67.44293951836941,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2024,67.59577702108322,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2025,67.90724861559008,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2026,68.30758991378471,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2027,68.68386012131835,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2028,68.84614857484921,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2029,69.11326166992733,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2030,69.13487908172115,ZERO-Basis,KKW50
Haushalte,absolut [PJ],2031,69.35926174258967,ZERO-Basis,KKW50
