sector,year,value,scenario,variant,unit
Endverbrauch Nachfragesektoren,2000,13.180000000000003,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2001,13.900000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2002,14.02,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2003,14.59,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2004,14.770000000000003,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2005,15.240000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2006,15.720000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2007,14.670000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2008,15.260000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2009,15.120000000000001,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2010,17.03,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2011,15.66,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2012,16.65,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2013,17.619999999999997,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2014,16.03,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2015,18.17000000000001,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2016,19.349999999999998,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2017,19.81,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2018,19.380000000000006,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2019,21.560000000000002,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2020,21.384038609023918,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2021,22.218273484963998,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2022,23.180192336201056,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2023,23.964064922324884,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2024,24.806094056541426,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2025,25.511037919467874,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2026,26.234514042125326,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2027,27.04764074213459,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2028,27.586985181834436,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2029,28.119360049965188,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2030,28.70435397353076,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2031,29.262190213260503,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2032,29.76527163983569,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2033,30.36677056454973,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2034,30.80609129624824,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2035,31.232824337517535,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2036,31.742499575563265,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2037,32.279301821675546,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2038,32.728509919438906,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2039,33.296301306974705,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2040,33.72793538891829,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2041,34.31950584517373,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2042,34.77404057508709,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2043,35.55285198863776,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2044,36.33605207915076,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2045,37.18143442655771,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2046,38.00898258901832,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2047,38.785969453223004,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2048,39.46853580723486,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2049,40.028445898537846,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2050,40.52879078067348,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2051,40.8739672849712,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2052,41.12501497140972,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2053,41.30532278307106,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2054,41.38718850928945,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2055,41.450691970985915,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2056,41.4785642568228,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2057,41.43918085386445,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2058,41.453492076376605,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2059,41.44414399729405,ZERO-Basis,KKW50,PJ
Endverbrauch Nachfragesektoren,2060,41.42991269073635,ZERO-Basis,KKW50,PJ
Haushalte,2000,4.800000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2001,5.150000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2002,5.210000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2003,4.9799999999999995,ZERO-Basis,KKW50,PJ
Haushalte,2004,5.150000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2005,5.41,ZERO-Basis,KKW50,PJ
Haushalte,2006,5.5,ZERO-Basis,KKW50,PJ
Haushalte,2007,4.95,ZERO-Basis,KKW50,PJ
