fuel,year,value,scenario,variant,unit
Holz und Holzkohle,2000,27.939999999999998,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2001,29.670000000000016,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2002,28.46,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2003,30.46,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2004,30.29,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2005,31.520000000000003,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2006,32.13999999999999,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2007,31.21999999999999,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2008,35.15,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2009,36.18999999999998,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2010,39.63999999999999,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2011,34.489999999999995,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2012,38.11000000000003,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2013,41.91999999999997,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2014,35.46000000000003,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2015,37.800000000000004,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2016,40.73,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2017,41.04999999999997,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2018,38.629999999999995,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2019,39.03999999999997,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2020,39.06513485300761,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2021,39.59084835949938,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2022,39.772827808297215,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2023,39.85038632020378,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2024,40.13324549111233,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2025,39.70012938854106,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2026,39.400490605763636,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2027,39.1655980174978,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2028,38.13414090795443,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2029,37.288531786002395,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2030,36.59700576911386,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2031,35.99384728777188,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2032,35.18701262958322,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2033,34.27498043079691,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2034,33.43811574607018,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2035,32.73525145536325,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2036,32.18663386849753,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2037,31.422150998780307,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2038,30.715178084853054,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2039,29.919192600328973,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2040,29.333237781353358,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2041,28.71521453313132,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2042,27.974524912014452,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2043,27.34441136582924,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2044,26.861246156624688,ZERO-Basis,KKW50,PJ
Holz und Holzkohle,2045,26.389843827043418,ZERO-Basis,KKW50,PJ
