purpose,year,value,scenario,variant,unit
Raumwärme,2000,26.736136964431356,ZERO-Basis,KKW50,PJ
Raumwärme,2001,28.712933706525387,ZERO-Basis,KKW50,PJ
Raumwärme,2002,27.28267415576995,ZERO-Basis,KKW50,PJ
Raumwärme,2003,29.650797738173825,ZERO-Basis,KKW50,PJ
Raumwärme,2004,29.665577391089432,ZERO-Basis,KKW50,PJ
Raumwärme,2005,31.22812003323724,ZERO-Basis,KKW50,PJ
Raumwärme,2006,31.619354159428173,ZERO-Basis,KKW50,PJ
Raumwärme,2007,29.86021027734397,ZERO-Basis,KKW50,PJ
Raumwärme,2008,34.431905169817334,ZERO-Basis,KKW50,PJ
Raumwärme,2009,35.92777619588938,ZERO-Basis,KKW50,PJ
Raumwärme,2010,40.81598046595781,ZERO-Basis,KKW50,PJ
Raumwärme,2011,34.50071335940577,ZERO-Basis,KKW50,PJ
Raumwärme,2012,39.21899191235076,ZERO-Basis,KKW50,PJ
Raumwärme,2013,44.143399665742756,ZERO-Basis,KKW50,PJ
Raumwärme,2014,35.70330854530052,ZERO-Basis,KKW50,PJ
Raumwärme,2015,40.21860686034905,ZERO-Basis,KKW50,PJ
Raumwärme,2016,44.17378085638676,ZERO-Basis,KKW50,PJ
Raumwärme,2017,44.23106799886909,ZERO-Basis,KKW50,PJ
Raumwärme,2018,41.692946010625754,ZERO-Basis,KKW50,PJ
Raumwärme,2019,43.483297371145646,ZERO-Basis,KKW50,PJ
Raumwärme,2020,49.68636881325929,ZERO-Basis,KKW50,PJ
Raumwärme,2021,51.01745594265318,ZERO-Basis,KKW50,PJ
Raumwärme,2022,53.53632895803247,ZERO-Basis,KKW50,PJ
Raumwärme,2023,56.18189113448031,ZERO-Basis,KKW50,PJ
Raumwärme,2024,58.9705225985629,ZERO-Basis,KKW50,PJ
Raumwärme,2025,61.70919820479106,ZERO-Basis,KKW50,PJ
Raumwärme,2026,65.03716610173765,ZERO-Basis,KKW50,PJ
Raumwärme,2027,68.3541127617258,ZERO-Basis,KKW50,PJ
Raumwärme,2028,70.73044874761837,ZERO-Basis,KKW50,PJ
Raumwärme,2029,73.22213729790994,ZERO-Basis,KKW50,PJ
Raumwärme,2030,75.9530486365769,ZERO-Basis,KKW50,PJ
Raumwärme,2031,78.31835222210768,ZERO-Basis,KKW50,PJ
Raumwärme,2032,80.31754726305692,ZERO-Basis,KKW50,PJ
Raumwärme,2033,82.20983668559413,ZERO-Basis,KKW50,PJ
Raumwärme,2034,83.78384468609006,ZERO-Basis,KKW50,PJ
Raumwärme,2035,85.31367854174077,ZERO-Basis,KKW50,PJ
Raumwärme,2036,86.79880427861777,ZERO-Basis,KKW50,PJ
Raumwärme,2037,88.04774899120154,ZERO-Basis,KKW50,PJ
Raumwärme,2038,89.05383098422105,ZERO-Basis,KKW50,PJ
Raumwärme,2039,90.12812660486607,ZERO-Basis,KKW50,PJ
Raumwärme,2040,90.97246969245637,ZERO-Basis,KKW50,PJ
Raumwärme,2041,92.20162938020948,ZERO-Basis,KKW50,PJ
Raumwärme,2042,93.12792188252148,ZERO-Basis,KKW50,PJ
Raumwärme,2043,94.37405866512532,ZERO-Basis,KKW50,PJ
Raumwärme,2044,95.4333080844161,ZERO-Basis,KKW50,PJ
Raumwärme,2045,96.48893841844165,ZERO-Basis,KKW50,PJ
Raumwärme,2046,98.68146557811761,ZERO-Basis,KKW50,PJ
Raumwärme,2047,100.31628486671183,ZERO-Basis,KKW50,PJ
Raumwärme,2048,101.5765888398798,ZERO-Basis,KKW50,PJ
Raumwärme,2049,102.5551295571243,ZERO-Basis,KKW50,PJ
Raumwärme,2050,103.03527637355445,ZERO-Basis,KKW50,PJ
Raumwärme,2051,102.49643656903918,ZERO-Basis,KKW50,PJ
Raumwärme,2052,102.03242052816175,ZERO-Basis,KKW50,PJ
Raumwärme,2053,101.39876692494016,ZERO-Basis,KKW50,PJ
Raumwärme,2054,100.77353798499412,ZERO-Basis,KKW50,PJ
Raumwärme,2055,100.11706021030672,ZERO-Basis,KKW50,PJ
Raumwärme,2056,99.56088209346615,ZERO-Basis,KKW50,PJ
Raumwärme,2057,98.95199221311363,ZERO-Basis,KKW50,PJ
Raumwärme,2058,98.34961141493123,ZERO-Basis,KKW50,PJ
Raumwärme,2059,97.84553746807828,ZERO-Basis,KKW50,PJ
Raumwärme,2060,97.20047532439455,ZERO-Basis,KKW50,PJ
Warmwasser,2000,2.5166622752414405,ZERO-Basis,KKW50,PJ
Warmwasser,2001,2.603804883944001,ZERO-Basis,KKW50,PJ
Warmwasser,2002,2.6410829078537534,ZERO-Basis,KKW50,PJ
Warmwasser,2003,2.7245652860605887,ZERO-Basis,KKW50,PJ
Warmwasser,2004,2.817675628272729,ZERO-Basis,KKW50,PJ
Warmwasser,2005,2.878999578420533,ZERO-Basis,KKW50,PJ
Warmwasser,2006,3.0606555288004293,ZERO-Basis,KKW50,PJ
Warmwasser,2007,3.3582101430951004,ZERO-Basis,KKW50,PJ
Warmwasser,2008,3.633149374451477,ZERO-Basis,KKW50,PJ
Warmwasser,2009,3.947145465728565,ZERO-Basis,KKW50,PJ
Warmwasser,2010,4.115794651841444,ZERO-Basis,KKW50,PJ
Warmwasser,2011,4.474890088493368,ZERO-Basis,KKW50,PJ
Warmwasser,2012,4.620162866102237,ZERO-Basis,KKW50,PJ
Warmwasser,2013,4.867559712451204,ZERO-Basis,KKW50,PJ
Warmwasser,2014,5.249115688719491,ZERO-Basis,KKW50,PJ
Warmwasser,2015,5.406847851913066,ZERO-Basis,KKW50,PJ
Warmwasser,2016,5.581432150992406,ZERO-Basis,KKW50,PJ
Warmwasser,2017,5.837081205449758,ZERO-Basis,KKW50,PJ
Warmwasser,2018,5.980773995990197,ZERO-Basis,KKW50,PJ
Warmwasser,2019,6.135991937808046,ZERO-Basis,KKW50,PJ
Warmwasser,2020,6.8681196838872145,ZERO-Basis,KKW50,PJ
Warmwasser,2021,7.900144127193492,ZERO-Basis,KKW50,PJ
Warmwasser,2022,8.797378075038234,ZERO-Basis,KKW50,PJ
Warmwasser,2023,9.66026178981779,ZERO-Basis,KKW50,PJ
Warmwasser,2024,10.463848446404583,ZERO-Basis,KKW50,PJ
Warmwasser,2025,11.311411022674754,ZERO-Basis,KKW50,PJ
Warmwasser,2026,12.133340252639801,ZERO-Basis,KKW50,PJ
Warmwasser,2027,12.956564933100067,ZERO-Basis,KKW50,PJ
Warmwasser,2028,13.684694017924881,ZERO-Basis,KKW50,PJ
Warmwasser,2029,14.29219983065276,ZERO-Basis,KKW50,PJ
Warmwasser,2030,15.01234077696912,ZERO-Basis,KKW50,PJ
Warmwasser,2031,15.624058047402498,ZERO-Basis,KKW50,PJ
Warmwasser,2032,16.202134496331315,ZERO-Basis,KKW50,PJ
Warmwasser,2033,16.738693715657224,ZERO-Basis,KKW50,PJ
Warmwasser,2034,17.265332395420845,ZERO-Basis,KKW50,PJ
