sector,year,value,scenario,variant,unit
Haushalte,2000,21.823043169515504,ZERO-Basis,KKW50,PJ
Haushalte,2001,23.128856052079847,ZERO-Basis,KKW50,PJ
Haushalte,2002,22.230561142909497,ZERO-Basis,KKW50,PJ
Haushalte,2003,23.719323956523198,ZERO-Basis,KKW50,PJ
Haushalte,2004,23.657352285588964,ZERO-Basis,KKW50,PJ
Haushalte,2005,24.83710855594432,ZERO-Basis,KKW50,PJ
Haushalte,2006,24.981916601205853,ZERO-Basis,KKW50,PJ
Haushalte,2007,23.764641519305947,ZERO-Basis,KKW50,PJ
Haushalte,2008,26.784834532753308,ZERO-Basis,KKW50,PJ
Haushalte,2009,27.722376201764504,ZERO-Basis,KKW50,PJ
Haushalte,2010,31.16211408748337,ZERO-Basis,KKW50,PJ
Haushalte,2011,27.288343881246714,ZERO-Basis,KKW50,PJ
Haushalte,2012,30.634407087702467,ZERO-Basis,KKW50,PJ
Haushalte,2013,34.012111218703886,ZERO-Basis,KKW50,PJ
Haushalte,2014,29.01347442295217,ZERO-Basis,KKW50,PJ
Haushalte,2015,32.08165634701743,ZERO-Basis,KKW50,PJ
Haushalte,2016,34.75750758034789,ZERO-Basis,KKW50,PJ
Haushalte,2017,35.01438296301606,ZERO-Basis,KKW50,PJ
Haushalte,2018,33.67995720298518,ZERO-Basis,KKW50,PJ
Haushalte,2019,34.99454874954693,ZERO-Basis,KKW50,PJ
Haushalte,2020,41.06818631303361,ZERO-Basis,KKW50,PJ
Haushalte,2021,43.262035353528745,ZERO-Basis,KKW50,PJ
Haushalte,2022,45.597463950215555,ZERO-Basis,KKW50,PJ
Haushalte,2023,48.42054424807144,ZERO-Basis,KKW50,PJ
Haushalte,2024,51.13722688087438,ZERO-Basis,KKW50,PJ
Haushalte,2025,54.11999265760327,ZERO-Basis,KKW50,PJ
Haushalte,2026,57.33485341633575,ZERO-Basis,KKW50,PJ
Haushalte,2027,60.65806148053574,ZERO-Basis,KKW50,PJ
Haushalte,2028,63.293411558495336,ZERO-Basis,KKW50,PJ
Haushalte,2029,65.83604607412664,ZERO-Basis,KKW50,PJ
Haushalte,2030,68.43639537079528,ZERO-Basis,KKW50,PJ
Haushalte,2031,70.88881905465422,ZERO-Basis,KKW50,PJ
Haushalte,2032,73.11508738632871,ZERO-Basis,KKW50,PJ
Haushalte,2033,75.07245191006581,ZERO-Basis,KKW50,PJ
Haushalte,2034,76.88692036953299,ZERO-Basis,KKW50,PJ
Haushalte,2035,78.34013437903033,ZERO-Basis,KKW50,PJ
Haushalte,2036,79.9452733399601,ZERO-Basis,KKW50,PJ
Haushalte,2037,81.25637654920051,ZERO-Basis,KKW50,PJ
Haushalte,2038,82.29954867226428,ZERO-Basis,KKW50,PJ
Haushalte,2039,83.40649165155685,ZERO-Basis,KKW50,PJ
Haushalte,2040,84.33763656721467,ZERO-Basis,KKW50,PJ
Haushalte,2041,85.79995859235915,ZERO-Basis,KKW50,PJ
Haushalte,2042,86.88887456745958,ZERO-Basis,KKW50,PJ
Haushalte,2043,88.27058710343424,ZERO-Basis,KKW50,PJ
Haushalte,2044,89.54500174031689,ZERO-Basis,KKW50,PJ
Haushalte,2045,90.51208924034704,ZERO-Basis,KKW50,PJ
Haushalte,2046,92.95658045656808,ZERO-Basis,KKW50,PJ
Haushalte,2047,94.92586705530887,ZERO-Basis,KKW50,PJ
Haushalte,2048,96.55384534532584,ZERO-Basis,KKW50,PJ
Haushalte,2049,97.89073819751138,ZERO-Basis,KKW50,PJ
Haushalte,2050,98.83222489673052,ZERO-Basis,KKW50,PJ
Haushalte,2051,98.53371895929713,ZERO-Basis,KKW50,PJ
Haushalte,2052,98.1508876241097,ZERO-Basis,KKW50,PJ
Haushalte,2053,97.70271405094505,ZERO-Basis,KKW50,PJ
Haushalte,2054,97.28679293847554,ZERO-Basis,KKW50,PJ
Haushalte,2055,96.85712040095174,ZERO-Basis,KKW50,PJ
Haushalte,2056,96.49447165757253,ZERO-Basis,KKW50,PJ
Haushalte,2057,96.0875463780589,ZERO-Basis,KKW50,PJ
Haushalte,2058,95.68338577703773,ZERO-Basis,KKW50,PJ
Haushalte,2059,95.29140249242745,ZERO-Basis,KKW50,PJ
Haushalte,2060,94.85451487360035,ZERO-Basis,KKW50,PJ
Dienstleistungen,2000,5.747375348655911,ZERO-Basis,KKW50,PJ
Dienstleistungen,2001,6.154823468005566,ZERO-Basis,KKW50,PJ
Dienstleistungen,2002,6.015289671004022,ZERO-Basis,KKW50,PJ
Dienstleistungen,2003,6.47005051689885,ZERO-Basis,KKW50,PJ
Dienstleistungen,2004,6.710449384350763,ZERO-Basis,KKW50,PJ
Dienstleistungen,2005,7.120567812912578,ZERO-Basis,KKW50,PJ
Dienstleistungen,2006,7.540852684864815,ZERO-Basis,KKW50,PJ
Dienstleistungen,2007,7.513547453491308,ZERO-Basis,KKW50,PJ
Dienstleistungen,2008,8.621260265738274,ZERO-Basis,KKW50,PJ
Dienstleistungen,2009,9.162114544053146,ZERO-Basis,KKW50,PJ
Dienstleistungen,2010,10.241089709948879,ZERO-Basis,KKW50,PJ
Dienstleistungen,2011,9.29988768920456,ZERO-Basis,KKW50,PJ
Dienstleistungen,2012,10.529062324760226,ZERO-Basis,KKW50,PJ
Dienstleistungen,2013,11.683343716685252,ZERO-Basis,KKW50,PJ
Dienstleistungen,2014,10.197535293528173,ZERO-Basis,KKW50,PJ
Dienstleistungen,2015,11.208374936968037,ZERO-Basis,KKW50,PJ
Dienstleistungen,2016,12.048614476075866,ZERO-Basis,KKW50,PJ
Dienstleistungen,2017,12.216400512718154,ZERO-Basis,KKW50,PJ
Dienstleistungen,2018,11.72944293141867,ZERO-Basis,KKW50,PJ
Dienstleistungen,2019,12.125118125803159,ZERO-Basis,KKW50,PJ
Dienstleistungen,2020,13.370993262119033,ZERO-Basis,KKW50,PJ
Dienstleistungen,2021,13.644356084096266,ZERO-Basis,KKW50,PJ
Dienstleistungen,2022,14.810823740545839,ZERO-Basis,KKW50,PJ
Dienstleistungen,2023,15.559861231574565,ZERO-Basis,KKW50,PJ
Dienstleistungen,2024,16.48252532985746,ZERO-Basis,KKW50,PJ
Dienstleistungen,2025,17.11203785229368,ZERO-Basis,KKW50,PJ
Dienstleistungen,2026,18.05582908758805,ZERO-Basis,KKW50,PJ
Dienstleistungen,2027,18.86098152765095,ZERO-Basis,KKW50,PJ
Dienstleistungen,2028,19.296890807438476,ZERO-Basis,KKW50,PJ
Dienstleistungen,2029,19.79484772321891,ZERO-Basis,KKW50,PJ
Dienstleistungen,2030,20.523909963867155,ZERO-Basis,KKW50,PJ
Dienstleistungen,2031,20.987568452219143,ZERO-Basis,KKW50,PJ
Dienstleistungen,2032,21.21871981383471,ZERO-Basis,KKW50,PJ
