sector_fuel,year,value,scenario,variant,unit
Haushalte,2000,17.94000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2001,18.920000000000005,ZERO-Basis,KKW50,PJ
Haushalte,2002,17.890000000000004,ZERO-Basis,KKW50,PJ
Haushalte,2003,18.979999999999997,ZERO-Basis,KKW50,PJ
Haushalte,2004,18.67,ZERO-Basis,KKW50,PJ
Haushalte,2005,19.339999999999996,ZERO-Basis,KKW50,PJ
Haushalte,2006,19.24,ZERO-Basis,KKW50,PJ
Haushalte,2007,17.539999999999996,ZERO-Basis,KKW50,PJ
Haushalte,2008,19.400000000000002,ZERO-Basis,KKW50,PJ
Haushalte,2009,19.53,ZERO-Basis,KKW50,PJ
Haushalte,2010,21.27,ZERO-Basis,KKW50,PJ
Haushalte,2011,17.570000000000004,ZERO-Basis,KKW50,PJ
Haushalte,2012,19.33000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2013,21.389999999999997,ZERO-Basis,KKW50,PJ
Haushalte,2014,17.07,ZERO-Basis,KKW50,PJ
Haushalte,2015,18.580000000000005,ZERO-Basis,KKW50,PJ
Haushalte,2016,19.939999999999998,ZERO-Basis,KKW50,PJ
Haushalte,2017,19.629999999999995,ZERO-Basis,KKW50,PJ
Haushalte,2018,18.409999999999997,ZERO-Basis,KKW50,PJ
Haushalte,2019,18.34,ZERO-Basis,KKW50,PJ
Haushalte,2020,21.403071927786307,ZERO-Basis,KKW50,PJ
Haushalte,2021,22.003938969635463,ZERO-Basis,KKW50,PJ
Haushalte,2022,22.534377798185563,ZERO-Basis,KKW50,PJ
Haushalte,2023,22.994394668676144,ZERO-Basis,KKW50,PJ
Haushalte,2024,23.246419614024532,ZERO-Basis,KKW50,PJ
Haushalte,2025,23.346758261806684,ZERO-Basis,KKW50,PJ
Haushalte,2026,23.833384938284546,ZERO-Basis,KKW50,PJ
Haushalte,2027,24.236273237006294,ZERO-Basis,KKW50,PJ
Haushalte,2028,24.404551069809706,ZERO-Basis,KKW50,PJ
Haushalte,2029,24.429186580986553,ZERO-Basis,KKW50,PJ
Haushalte,2030,24.33677819433159,ZERO-Basis,KKW50,PJ
Haushalte,2031,24.4823002031582,ZERO-Basis,KKW50,PJ
Haushalte,2032,24.495804705882684,ZERO-Basis,KKW50,PJ
Haushalte,2033,24.145853326805806,ZERO-Basis,KKW50,PJ
Haushalte,2034,23.990613290492348,ZERO-Basis,KKW50,PJ
Haushalte,2035,23.71242935828007,ZERO-Basis,KKW50,PJ
Haushalte,2036,23.50709615645784,ZERO-Basis,KKW50,PJ
Haushalte,2037,23.03442162327204,ZERO-Basis,KKW50,PJ
Haushalte,2038,22.495566600135607,ZERO-Basis,KKW50,PJ
Haushalte,2039,21.851946304904068,ZERO-Basis,KKW50,PJ
Haushalte,2040,21.29232814212806,ZERO-Basis,KKW50,PJ
Haushalte,2041,20.964517968044373,ZERO-Basis,KKW50,PJ
Haushalte,2042,20.606269494462705,ZERO-Basis,KKW50,PJ
Haushalte,2043,19.969311904397276,ZERO-Basis,KKW50,PJ
Haushalte,2044,19.31042585513839,ZERO-Basis,KKW50,PJ
Haushalte,2045,18.508208550667497,ZERO-Basis,KKW50,PJ
Haushalte,2046,18.827844006538747,ZERO-Basis,KKW50,PJ
Haushalte,2047,18.923434126147335,ZERO-Basis,KKW50,PJ
Haushalte,2048,19.002778164937,ZERO-Basis,KKW50,PJ
Haushalte,2049,18.80273738089629,ZERO-Basis,KKW50,PJ
Haushalte,2050,18.57528296700409,ZERO-Basis,KKW50,PJ
Haushalte,2051,17.531760744498964,ZERO-Basis,KKW50,PJ
Haushalte,2052,16.60044707400737,ZERO-Basis,KKW50,PJ
Haushalte,2053,15.666102428181855,ZERO-Basis,KKW50,PJ
Haushalte,2054,15.019196548315717,ZERO-Basis,KKW50,PJ
Haushalte,2055,14.43385067753458,ZERO-Basis,KKW50,PJ
Haushalte,2056,13.955265267724172,ZERO-Basis,KKW50,PJ
