variable,year,value,scenario,variant,unit
biogener Anteil in Siedlungsabfällen,2000,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2001,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2002,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2003,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2004,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2005,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2006,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2007,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2008,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2009,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2010,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2011,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2012,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2013,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2014,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2015,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2016,0.522,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2017,0.5181176470588236,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2018,0.5142352941176471,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2019,0.5103529411764707,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2020,0.5064705882352942,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2021,0.5025882352941178,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2022,0.49870588235294133,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2023,0.4948235294117649,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2024,0.49094117647058844,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2025,0.487058823529412,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2026,0.48317647058823554,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2027,0.4792941176470591,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2028,0.47541176470588264,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2029,0.4715294117647062,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2030,0.46764705882352975,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2031,0.4637647058823533,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2032,0.45988235294117685,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2033,0.4560000000000004,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2034,0.45211764705882396,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2035,0.4482352941176475,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2036,0.44435294117647106,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2037,0.4404705882352946,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2038,0.43658823529411817,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2039,0.4327058823529417,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2040,0.42882352941176527,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2041,0.4249411764705888,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2042,0.4210588235294124,ZERO-Basis,KKW50,%
biogener Anteil in Siedlungsabfällen,2043,0.4171764705882359,ZERO-Basis,KKW50,%
