fuel,year,value,scenario,variant,unit
Erdgas,2000,93.16000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2001,97.01999999999997,ZERO-Basis,KKW50,PJ
Erdgas,2002,94.86000000000003,ZERO-Basis,KKW50,PJ
Erdgas,2003,99.97999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2004,103.42999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2005,106.45999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2006,104.41999999999999,ZERO-Basis,KKW50,PJ
Erdgas,2007,102.18000000000004,ZERO-Basis,KKW50,PJ
Erdgas,2008,108.88000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2009,104.53000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2010,115.94000000000003,ZERO-Basis,KKW50,PJ
Erdgas,2011,104.21000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2012,114.31999999999996,ZERO-Basis,KKW50,PJ
Erdgas,2013,120.75000000000003,ZERO-Basis,KKW50,PJ
Erdgas,2014,107.07999999999997,ZERO-Basis,KKW50,PJ
Erdgas,2015,112.89999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2016,117.20999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2017,118.89000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2018,112.27999999999999,ZERO-Basis,KKW50,PJ
Erdgas,2019,115.20000000000003,ZERO-Basis,KKW50,PJ
Erdgas,2020,119.08849993728046,ZERO-Basis,KKW50,PJ
Erdgas,2021,117.38535879813628,ZERO-Basis,KKW50,PJ
Erdgas,2022,114.83505649556912,ZERO-Basis,KKW50,PJ
Erdgas,2023,112.29752843501349,ZERO-Basis,KKW50,PJ
Erdgas,2024,109.58349215655467,ZERO-Basis,KKW50,PJ
Erdgas,2025,106.56507178785284,ZERO-Basis,KKW50,PJ
Erdgas,2026,102.56314480814184,ZERO-Basis,KKW50,PJ
Erdgas,2027,98.49068069091402,ZERO-Basis,KKW50,PJ
Erdgas,2028,94.58898287441869,ZERO-Basis,KKW50,PJ
Erdgas,2029,90.3432577097325,ZERO-Basis,KKW50,PJ
Erdgas,2030,86.13968661353009,ZERO-Basis,KKW50,PJ
Erdgas,2031,81.7447440607383,ZERO-Basis,KKW50,PJ
Erdgas,2032,77.16175594062892,ZERO-Basis,KKW50,PJ
Erdgas,2033,72.35910931345165,ZERO-Basis,KKW50,PJ
Erdgas,2034,67.6895579834533,ZERO-Basis,KKW50,PJ
Erdgas,2035,62.986433660924895,ZERO-Basis,KKW50,PJ
Erdgas,2036,57.98494354834016,ZERO-Basis,KKW50,PJ
Erdgas,2037,53.22578024377818,ZERO-Basis,KKW50,PJ
Erdgas,2038,48.623728930623976,ZERO-Basis,KKW50,PJ
Erdgas,2039,44.295815981823175,ZERO-Basis,KKW50,PJ
Erdgas,2040,40.284174919105254,ZERO-Basis,KKW50,PJ
Erdgas,2041,35.921249385884536,ZERO-Basis,KKW50,PJ
Erdgas,2042,32.144146575993695,ZERO-Basis,KKW50,PJ
Erdgas,2043,28.310564549875924,ZERO-Basis,KKW50,PJ
Erdgas,2044,24.776078073221235,ZERO-Basis,KKW50,PJ
Erdgas,2045,21.479571721804493,ZERO-Basis,KKW50,PJ
Erdgas,2046,17.117069505513797,ZERO-Basis,KKW50,PJ
Erdgas,2047,13.392614110660604,ZERO-Basis,KKW50,PJ
Erdgas,2048,10.361055946365905,ZERO-Basis,KKW50,PJ
