sector_fuel,year,value,scenario,variant,unit
Haushalte,2000,36.42000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2001,38.07999999999999,ZERO-Basis,KKW50,PJ
Haushalte,2002,37.780000000000015,ZERO-Basis,KKW50,PJ
Haushalte,2003,40.32000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2004,41.660000000000004,ZERO-Basis,KKW50,PJ
Haushalte,2005,42.79,ZERO-Basis,KKW50,PJ
Haushalte,2006,41.079999999999984,ZERO-Basis,KKW50,PJ
Haushalte,2007,39.32,ZERO-Basis,KKW50,PJ
Haushalte,2008,42.55000000000002,ZERO-Basis,KKW50,PJ
Haushalte,2009,42.63,ZERO-Basis,KKW50,PJ
Haushalte,2010,48.39,ZERO-Basis,KKW50,PJ
Haushalte,2011,41.07,ZERO-Basis,KKW50,PJ
Haushalte,2012,47.199999999999996,ZERO-Basis,KKW50,PJ
Haushalte,2013,51.11000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2014,42.50999999999999,ZERO-Basis,KKW50,PJ
Haushalte,2015,46.25000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2016,48.98000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2017,48.49,ZERO-Basis,KKW50,PJ
Haushalte,2018,46.07,ZERO-Basis,KKW50,PJ
Haushalte,2019,47.73000000000001,ZERO-Basis,KKW50,PJ
Haushalte,2020,52.17146128719307,ZERO-Basis,KKW50,PJ
Haushalte,2021,52.38414855165753,ZERO-Basis,KKW50,PJ
Haushalte,2022,52.477249700822924,ZERO-Basis,KKW50,PJ
Haushalte,2023,52.40382364155665,ZERO-Basis,KKW50,PJ
Haushalte,2024,51.984243519474944,ZERO-Basis,KKW50,PJ
Haushalte,2025,51.24706852568341,ZERO-Basis,KKW50,PJ
Haushalte,2026,50.457127640994266,ZERO-Basis,KKW50,PJ
Haushalte,2027,49.247793343902075,ZERO-Basis,KKW50,PJ
Haushalte,2028,48.19763052929801,ZERO-Basis,KKW50,PJ
Haushalte,2029,46.95655232539571,ZERO-Basis,KKW50,PJ
Haushalte,2030,45.67771503941123,ZERO-Basis,KKW50,PJ
Haushalte,2031,44.22635085775593,ZERO-Basis,KKW50,PJ
Haushalte,2032,42.741977436976605,ZERO-Basis,KKW50,PJ
Haushalte,2033,41.0703128341086,ZERO-Basis,KKW50,PJ
Haushalte,2034,39.43206752527075,ZERO-Basis,KKW50,PJ
Haushalte,2035,37.81579348814188,ZERO-Basis,KKW50,PJ
Haushalte,2036,36.17227349078597,ZERO-Basis,KKW50,PJ
Haushalte,2037,34.483549736426646,ZERO-Basis,KKW50,PJ
Haushalte,2038,32.88368727461786,ZERO-Basis,KKW50,PJ
Haushalte,2039,31.246846451529553,ZERO-Basis,KKW50,PJ
Haushalte,2040,29.744433188805832,ZERO-Basis,KKW50,PJ
Haushalte,2041,28.030827588887803,ZERO-Basis,KKW50,PJ
Haushalte,2042,26.60781390117468,ZERO-Basis,KKW50,PJ
Haushalte,2043,24.648159559371436,ZERO-Basis,KKW50,PJ
Haushalte,2044,22.701130071274456,ZERO-Basis,KKW50,PJ
Haushalte,2045,20.70252900495983,ZERO-Basis,KKW50,PJ
Haushalte,2046,18.564059560166857,ZERO-Basis,KKW50,PJ
Haushalte,2047,16.491938665651716,ZERO-Basis,KKW50,PJ
Haushalte,2048,14.81620599509117,ZERO-Basis,KKW50,PJ
Haushalte,2049,13.127725120359681,ZERO-Basis,KKW50,PJ
