fuel,year,value,scenario,variant,unit
Erdgas,2000,101.26,ZERO-Basis,KKW50,PJ
Erdgas,2001,105.45999999999997,ZERO-Basis,KKW50,PJ
Erdgas,2002,103.52000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2003,109.47999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2004,112.98999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2005,116.03999999999999,ZERO-Basis,KKW50,PJ
Erdgas,2006,112.84999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2007,109.89000000000003,ZERO-Basis,KKW50,PJ
Erdgas,2008,117.18000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2009,112.49000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2010,125.74000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2011,111.61000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2012,122.40999999999997,ZERO-Basis,KKW50,PJ
Erdgas,2013,129.07000000000002,ZERO-Basis,KKW50,PJ
Erdgas,2014,112.04999999999997,ZERO-Basis,KKW50,PJ
Erdgas,2015,119.84999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2016,126.03999999999998,ZERO-Basis,KKW50,PJ
Erdgas,2017,126.69000000000001,ZERO-Basis,KKW50,PJ
Erdgas,2018,116.64158255491716,ZERO-Basis,KKW50,PJ
Erdgas,2019,121.26746088493694,ZERO-Basis,KKW50,PJ
Erdgas,2020,127.60073570583786,ZERO-Basis,KKW50,PJ
Erdgas,2021,126.94566660364016,ZERO-Basis,KKW50,PJ
Erdgas,2022,124.7993115304691,ZERO-Basis,KKW50,PJ
Erdgas,2023,122.22373594056077,ZERO-Basis,KKW50,PJ
Erdgas,2024,119.16571103270863,ZERO-Basis,KKW50,PJ
Erdgas,2025,115.87443894498219,ZERO-Basis,KKW50,PJ
Erdgas,2026,111.94507942442566,ZERO-Basis,KKW50,PJ
Erdgas,2027,107.02969773218452,ZERO-Basis,KKW50,PJ
Erdgas,2028,103.53595044760874,ZERO-Basis,KKW50,PJ
Erdgas,2029,98.89034256195613,ZERO-Basis,KKW50,PJ
Erdgas,2030,94.42058893994748,ZERO-Basis,KKW50,PJ
Erdgas,2031,89.85810393912456,ZERO-Basis,KKW50,PJ
Erdgas,2032,84.0478784710005,ZERO-Basis,KKW50,PJ
Erdgas,2033,78.79417749900873,ZERO-Basis,KKW50,PJ
Erdgas,2034,74.3156262855723,ZERO-Basis,KKW50,PJ
Erdgas,2035,69.17790572399362,ZERO-Basis,KKW50,PJ
Erdgas,2036,63.85951891996306,ZERO-Basis,KKW50,PJ
Erdgas,2037,59.11923685495286,ZERO-Basis,KKW50,PJ
Erdgas,2038,54.08783401039834,ZERO-Basis,KKW50,PJ
Erdgas,2039,49.236307252841186,ZERO-Basis,KKW50,PJ
Erdgas,2040,44.91190476596093,ZERO-Basis,KKW50,PJ
Erdgas,2041,40.006222743312584,ZERO-Basis,KKW50,PJ
Erdgas,2042,35.80706357503024,ZERO-Basis,KKW50,PJ
Erdgas,2043,31.455647453752494,ZERO-Basis,KKW50,PJ
Erdgas,2044,27.67390648500264,ZERO-Basis,KKW50,PJ
Erdgas,2045,24.039909520646674,ZERO-Basis,KKW50,PJ
Erdgas,2046,19.16752186886493,ZERO-Basis,KKW50,PJ
Erdgas,2047,14.984420348240802,ZERO-Basis,KKW50,PJ
Erdgas,2048,11.485759882799917,ZERO-Basis,KKW50,PJ
Erdgas,2049,8.429907285177674,ZERO-Basis,KKW50,PJ
Erdgas,2050,5.777843837350947,ZERO-Basis,KKW50,PJ
Erdgas,2051,5.254426018606961,ZERO-Basis,KKW50,PJ
Erdgas,2052,4.83444736499144,ZERO-Basis,KKW50,PJ
Erdgas,2053,4.479179589416309,ZERO-Basis,KKW50,PJ
Erdgas,2054,4.1468152433756345,ZERO-Basis,KKW50,PJ
Erdgas,2055,3.878051889587547,ZERO-Basis,KKW50,PJ
Erdgas,2056,3.604888625410579,ZERO-Basis,KKW50,PJ
Erdgas,2057,3.3649237912361087,ZERO-Basis,KKW50,PJ
Erdgas,2058,3.1476505737871627,ZERO-Basis,KKW50,PJ
Erdgas,2059,2.9473763290122346,ZERO-Basis,KKW50,PJ
Erdgas,2060,2.7612066635664023,ZERO-Basis,KKW50,PJ
Biomethan,2000,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2001,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2002,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2003,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2004,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2005,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2006,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2007,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2008,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2009,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2010,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2011,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2012,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2013,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2014,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2015,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2016,0.0,ZERO-Basis,KKW50,PJ
Biomethan,2017,0.10869407839041578,ZERO-Basis,KKW50,PJ
Biomethan,2018,1.2381505004466202,ZERO-Basis,KKW50,PJ
Biomethan,2019,1.286975230890782,ZERO-Basis,KKW50,PJ
Biomethan,2020,4.27904391435338,ZERO-Basis,KKW50,PJ
Biomethan,2021,4.627049276117431,ZERO-Basis,KKW50,PJ
Biomethan,2022,5.8153840374872505,ZERO-Basis,KKW50,PJ
Biomethan,2023,7.124716985663428,ZERO-Basis,KKW50,PJ
Biomethan,2024,8.271910749470264,ZERO-Basis,KKW50,PJ
Biomethan,2025,9.725446587886553,ZERO-Basis,KKW50,PJ
Biomethan,2026,11.882719978303369,ZERO-Basis,KKW50,PJ
Biomethan,2027,13.634786528513215,ZERO-Basis,KKW50,PJ
Biomethan,2028,15.753045111792497,ZERO-Basis,KKW50,PJ
Biomethan,2029,17.64570000142644,ZERO-Basis,KKW50,PJ
Biomethan,2030,19.591266840297152,ZERO-Basis,KKW50,PJ
