fuel,year,value,scenario,variant,unit
PtH₂,2000,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2001,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2002,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2003,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2004,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2005,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2006,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2007,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2008,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2009,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2010,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2011,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2012,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2013,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2014,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2015,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2016,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2017,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2018,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2019,0.0,ZERO-Basis,KKW50,PJ
PtH₂,2020,0.013496341901065667,ZERO-Basis,KKW50,PJ
PtH₂,2021,0.11635935629726987,ZERO-Basis,KKW50,PJ
PtH₂,2022,0.20808180279559507,ZERO-Basis,KKW50,PJ
PtH₂,2023,0.32310638184603396,ZERO-Basis,KKW50,PJ
PtH₂,2024,0.4621033389625942,ZERO-Basis,KKW50,PJ
PtH₂,2025,0.6261023526382522,ZERO-Basis,KKW50,PJ
PtH₂,2026,0.8193842951675587,ZERO-Basis,KKW50,PJ
PtH₂,2027,1.0278851672506717,ZERO-Basis,KKW50,PJ
PtH₂,2028,1.2501042900921528,ZERO-Basis,KKW50,PJ
PtH₂,2029,1.4840337014474567,ZERO-Basis,KKW50,PJ
PtH₂,2030,1.7273049818111845,ZERO-Basis,KKW50,PJ
PtH₂,2031,2.0388735767658677,ZERO-Basis,KKW50,PJ
PtH₂,2032,2.4021484651552325,ZERO-Basis,KKW50,PJ
PtH₂,2033,2.8150510733769964,ZERO-Basis,KKW50,PJ
PtH₂,2034,3.2767277755108974,ZERO-Basis,KKW50,PJ
PtH₂,2035,3.7868493713691365,ZERO-Basis,KKW50,PJ
PtH₂,2036,4.395469976607928,ZERO-Basis,KKW50,PJ
PtH₂,2037,5.051026824376652,ZERO-Basis,KKW50,PJ
PtH₂,2038,5.757668516848401,ZERO-Basis,KKW50,PJ
PtH₂,2039,6.513670006137088,ZERO-Basis,KKW50,PJ
PtH₂,2040,7.3174468666905295,ZERO-Basis,KKW50,PJ
PtH₂,2041,8.122317205945661,ZERO-Basis,KKW50,PJ
PtH₂,2042,8.934399244271658,ZERO-Basis,KKW50,PJ
PtH₂,2043,9.75293744865877,ZERO-Basis,KKW50,PJ
PtH₂,2044,10.575790388670944,ZERO-Basis,KKW50,PJ
PtH₂,2045,11.400510348650245,ZERO-Basis,KKW50,PJ
PtH₂,2046,12.230800331365776,ZERO-Basis,KKW50,PJ
PtH₂,2047,13.060910996975592,ZERO-Basis,KKW50,PJ
PtH₂,2048,13.877126495057679,ZERO-Basis,KKW50,PJ
PtH₂,2049,14.681484385980296,ZERO-Basis,KKW50,PJ
PtH₂,2050,15.470202639558037,ZERO-Basis,KKW50,PJ
PtH₂,2051,16.249577980143886,ZERO-Basis,KKW50,PJ
PtH₂,2052,17.009568295689295,ZERO-Basis,KKW50,PJ
PtH₂,2053,17.74878608701121,ZERO-Basis,KKW50,PJ
PtH₂,2054,18.46608252510718,ZERO-Basis,KKW50,PJ
PtH₂,2055,19.161156697719516,ZERO-Basis,KKW50,PJ
PtH₂,2056,19.880446047476607,ZERO-Basis,KKW50,PJ
PtH₂,2057,20.614097872509383,ZERO-Basis,KKW50,PJ
PtH₂,2058,21.365380685899638,ZERO-Basis,KKW50,PJ
PtH₂,2059,22.13651090732979,ZERO-Basis,KKW50,PJ
PtH₂,2060,22.929644318709183,ZERO-Basis,KKW50,PJ
PtG,2000,0.0,ZERO-Basis,KKW50,PJ
PtG,2001,0.0,ZERO-Basis,KKW50,PJ
PtG,2002,0.0,ZERO-Basis,KKW50,PJ
PtG,2003,0.0,ZERO-Basis,KKW50,PJ
PtG,2004,0.0,ZERO-Basis,KKW50,PJ
PtG,2005,0.0,ZERO-Basis,KKW50,PJ
PtG,2006,0.0,ZERO-Basis,KKW50,PJ
PtG,2007,0.0,ZERO-Basis,KKW50,PJ
PtG,2008,0.0,ZERO-Basis,KKW50,PJ
PtG,2009,0.0,ZERO-Basis,KKW50,PJ
PtG,2010,0.0,ZERO-Basis,KKW50,PJ
PtG,2011,0.0,ZERO-Basis,KKW50,PJ
PtG,2012,0.0,ZERO-Basis,KKW50,PJ
PtG,2013,0.0,ZERO-Basis,KKW50,PJ
PtG,2014,0.0,ZERO-Basis,KKW50,PJ
PtG,2015,0.0,ZERO-Basis,KKW50,PJ
PtG,2016,0.0,ZERO-Basis,KKW50,PJ
PtG,2017,0.0,ZERO-Basis,KKW50,PJ
PtG,2018,0.0,ZERO-Basis,KKW50,PJ
PtG,2019,0.0,ZERO-Basis,KKW50,PJ
PtG,2020,0.0,ZERO-Basis,KKW50,PJ
PtG,2021,0.0,ZERO-Basis,KKW50,PJ
PtG,2022,0.0,ZERO-Basis,KKW50,PJ
PtG,2023,0.0,ZERO-Basis,KKW50,PJ
PtG,2024,0.0,ZERO-Basis,KKW50,PJ
PtG,2025,0.0,ZERO-Basis,KKW50,PJ
PtG,2026,0.0,ZERO-Basis,KKW50,PJ
PtG,2027,0.0,ZERO-Basis,KKW50,PJ
PtG,2028,0.0,ZERO-Basis,KKW50,PJ
PtG,2029,0.0,ZERO-Basis,KKW50,PJ
PtG,2030,0.0,ZERO-Basis,KKW50,PJ
PtG,2031,0.0,ZERO-Basis,KKW50,PJ
PtG,2032,0.0,ZERO-Basis,KKW50,PJ
PtG,2033,0.0,ZERO-Basis,KKW50,PJ
PtG,2034,0.0,ZERO-Basis,KKW50,PJ
PtG,2035,0.0,ZERO-Basis,KKW50,PJ
PtG,2036,0.0,ZERO-Basis,KKW50,PJ
PtG,2037,0.0,ZERO-Basis,KKW50,PJ
PtG,2038,0.0,ZERO-Basis,KKW50,PJ
PtG,2039,0.0,ZERO-Basis,KKW50,PJ
PtG,2040,0.0,ZERO-Basis,KKW50,PJ
PtG,2041,0.0,ZERO-Basis,KKW50,PJ
PtG,2042,0.0,ZERO-Basis,KKW50,PJ
PtG,2043,0.0,ZERO-Basis,KKW50,PJ
PtG,2044,0.0,ZERO-Basis,KKW50,PJ
PtG,2045,0.0,ZERO-Basis,KKW50,PJ
PtG,2046,0.0,ZERO-Basis,KKW50,PJ
PtG,2047,0.0,ZERO-Basis,KKW50,PJ
PtG,2048,0.0,ZERO-Basis,KKW50,PJ
PtG,2049,0.0,ZERO-Basis,KKW50,PJ
PtG,2050,0.0,ZERO-Basis,KKW50,PJ
PtG,2051,0.0,ZERO-Basis,KKW50,PJ
PtG,2052,0.0,ZERO-Basis,KKW50,PJ
PtG,2053,0.0,ZERO-Basis,KKW50,PJ
PtG,2054,0.0,ZERO-Basis,KKW50,PJ
PtG,2055,0.0,ZERO-Basis,KKW50,PJ
PtG,2056,0.0,ZERO-Basis,KKW50,PJ
