sector_fuel,year,value,scenario,variant,unit
Haushalte,2000,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2001,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2002,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2003,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2004,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2005,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2006,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2007,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2008,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2009,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2010,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2011,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2012,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2013,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2014,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2015,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2016,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2017,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2018,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2019,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2020,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2021,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2022,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2023,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2024,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2025,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2026,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2027,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2028,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2029,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2030,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2031,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2032,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2033,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2034,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2035,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2036,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2037,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2038,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2039,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2040,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2041,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2042,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2043,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2044,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2045,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2046,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2047,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2048,0.0,ZERO-Basis,KKW50,PJ
Haushalte,2049,0.0,ZERO-Basis,KKW50,PJ
