fuel,year,value,scenario,variant,unit
Kohle,2000,5.680997533090598,ZERO-Basis,KKW50,PJ
Kohle,2001,5.938445336484286,ZERO-Basis,KKW50,PJ
Kohle,2002,5.47032322860674,ZERO-Basis,KKW50,PJ
Kohle,2003,5.611002540116335,ZERO-Basis,KKW50,PJ
Kohle,2004,5.331928689372028,ZERO-Basis,KKW50,PJ
Kohle,2005,5.954630055397278,ZERO-Basis,KKW50,PJ
Kohle,2006,6.414489356623976,ZERO-Basis,KKW50,PJ
Kohle,2007,7.180949374851665,ZERO-Basis,KKW50,PJ
Kohle,2008,6.454336835841889,ZERO-Basis,KKW50,PJ
Kohle,2009,6.088125485875768,ZERO-Basis,KKW50,PJ
Kohle,2010,6.110072319542428,ZERO-Basis,KKW50,PJ
Kohle,2011,5.647093961900975,ZERO-Basis,KKW50,PJ
Kohle,2012,5.087428001670002,ZERO-Basis,KKW50,PJ
Kohle,2013,5.480322908094503,ZERO-Basis,KKW50,PJ
Kohle,2014,5.60628338047136,ZERO-Basis,KKW50,PJ
Kohle,2015,5.124718274127709,ZERO-Basis,KKW50,PJ
Kohle,2016,4.713517124502013,ZERO-Basis,KKW50,PJ
Kohle,2017,4.535227237153725,ZERO-Basis,KKW50,PJ
Kohle,2018,4.220968676765007,ZERO-Basis,KKW50,PJ
Kohle,2019,3.7491993967592325,ZERO-Basis,KKW50,PJ
Kohle,2020,4.167647017126463,ZERO-Basis,KKW50,PJ
Kohle,2021,3.9860538303210067,ZERO-Basis,KKW50,PJ
Kohle,2022,3.7984587542739137,ZERO-Basis,KKW50,PJ
Kohle,2023,3.58270945563736,ZERO-Basis,KKW50,PJ
Kohle,2024,3.3824234416924783,ZERO-Basis,KKW50,PJ
Kohle,2025,3.160415718243844,ZERO-Basis,KKW50,PJ
Kohle,2026,2.946937234722508,ZERO-Basis,KKW50,PJ
Kohle,2027,2.727520071397612,ZERO-Basis,KKW50,PJ
Kohle,2028,2.508228522880972,ZERO-Basis,KKW50,PJ
Kohle,2029,2.289875409821792,ZERO-Basis,KKW50,PJ
Kohle,2030,2.0737494918143993,ZERO-Basis,KKW50,PJ
Kohle,2031,1.8626528392524582,ZERO-Basis,KKW50,PJ
Kohle,2032,1.6588708194443742,ZERO-Basis,KKW50,PJ
Kohle,2033,1.4641321250391797,ZERO-Basis,KKW50,PJ
Kohle,2034,1.2822979926316869,ZERO-Basis,KKW50,PJ
Kohle,2035,1.1132174564166424,ZERO-Basis,KKW50,PJ
Kohle,2036,0.9572779103445117,ZERO-Basis,KKW50,PJ
Kohle,2037,0.8163928040146643,ZERO-Basis,KKW50,PJ
Kohle,2038,0.6909753364840925,ZERO-Basis,KKW50,PJ
Kohle,2039,0.5784920188535126,ZERO-Basis,KKW50,PJ
Kohle,2040,0.4827134728063682,ZERO-Basis,KKW50,PJ
Kohle,2041,0.39951986942746337,ZERO-Basis,KKW50,PJ
Kohle,2042,0.32881838857079243,ZERO-Basis,KKW50,PJ
Kohle,2043,0.2697763957279418,ZERO-Basis,KKW50,PJ
Kohle,2044,0.22104631007900255,ZERO-Basis,KKW50,PJ
Kohle,2045,0.18127564343257363,ZERO-Basis,KKW50,PJ
Kohle,2046,0.1484098384967823,ZERO-Basis,KKW50,PJ
Kohle,2047,0.12208359112373006,ZERO-Basis,KKW50,PJ
Kohle,2048,0.10119152650488632,ZERO-Basis,KKW50,PJ
Kohle,2049,0.08470216814064956,ZERO-Basis,KKW50,PJ
Kohle,2050,0.07176975407409268,ZERO-Basis,KKW50,PJ
Kohle,2051,0.06223605836067178,ZERO-Basis,KKW50,PJ
Kohle,2052,0.05459364309525364,ZERO-Basis,KKW50,PJ
Kohle,2053,0.04839352375468705,ZERO-Basis,KKW50,PJ
Kohle,2054,0.04328972005236848,ZERO-Basis,KKW50,PJ
Kohle,2055,0.03903245751041946,ZERO-Basis,KKW50,PJ
Kohle,2056,0.035503052805954186,ZERO-Basis,KKW50,PJ
Kohle,2057,0.03243303271402295,ZERO-Basis,KKW50,PJ
Kohle,2058,0.02971018770324679,ZERO-Basis,KKW50,PJ
Kohle,2059,0.027254818394742534,ZERO-Basis,KKW50,PJ
Kohle,2060,0.025006049913973153,ZERO-Basis,KKW50,PJ
Erdölprodukte,2000,207.7512526398075,ZERO-Basis,KKW50,PJ
Erdölprodukte,2001,226.1155694874441,ZERO-Basis,KKW50,PJ
Erdölprodukte,2002,207.6593410318728,ZERO-Basis,KKW50,PJ
Erdölprodukte,2003,217.8074628611817,ZERO-Basis,KKW50,PJ
Erdölprodukte,2004,214.82042163014555,ZERO-Basis,KKW50,PJ
Erdölprodukte,2005,215.07561299797294,ZERO-Basis,KKW50,PJ
Erdölprodukte,2006,207.04405025066492,ZERO-Basis,KKW50,PJ
Erdölprodukte,2007,180.21383538010147,ZERO-Basis,KKW50,PJ
Erdölprodukte,2008,187.74375361335643,ZERO-Basis,KKW50,PJ
Erdölprodukte,2009,181.56741258845437,ZERO-Basis,KKW50,PJ
Erdölprodukte,2010,189.9583541945969,ZERO-Basis,KKW50,PJ
Erdölprodukte,2011,150.44408033260186,ZERO-Basis,KKW50,PJ
Erdölprodukte,2012,160.68498360975258,ZERO-Basis,KKW50,PJ
Erdölprodukte,2013,168.06888909748324,ZERO-Basis,KKW50,PJ
Erdölprodukte,2014,127.24668150703027,ZERO-Basis,KKW50,PJ
Erdölprodukte,2015,133.61810174515074,ZERO-Basis,KKW50,PJ
Erdölprodukte,2016,136.13708049823623,ZERO-Basis,KKW50,PJ
Erdölprodukte,2017,127.7072441478478,ZERO-Basis,KKW50,PJ
Erdölprodukte,2018,115.40467725444971,ZERO-Basis,KKW50,PJ
Erdölprodukte,2019,112.10320663703331,ZERO-Basis,KKW50,PJ
Erdölprodukte,2020,110.96392044598046,ZERO-Basis,KKW50,PJ
Erdölprodukte,2021,104.1589280762366,ZERO-Basis,KKW50,PJ
Erdölprodukte,2022,96.64479351867361,ZERO-Basis,KKW50,PJ
Erdölprodukte,2023,89.94615554495772,ZERO-Basis,KKW50,PJ
Erdölprodukte,2024,83.40853753448219,ZERO-Basis,KKW50,PJ
Erdölprodukte,2025,76.86026030929821,ZERO-Basis,KKW50,PJ
Erdölprodukte,2026,70.7239877006854,ZERO-Basis,KKW50,PJ
Erdölprodukte,2027,64.89843223788652,ZERO-Basis,KKW50,PJ
Erdölprodukte,2028,60.037591195926176,ZERO-Basis,KKW50,PJ
Erdölprodukte,2029,55.678709285163855,ZERO-Basis,KKW50,PJ
Erdölprodukte,2030,51.02301046336491,ZERO-Basis,KKW50,PJ
Erdölprodukte,2031,47.130394282797866,ZERO-Basis,KKW50,PJ
Erdölprodukte,2032,43.5570572766663,ZERO-Basis,KKW50,PJ
Erdölprodukte,2033,40.5381111127408,ZERO-Basis,KKW50,PJ
Erdölprodukte,2034,37.582150918573554,ZERO-Basis,KKW50,PJ
Erdölprodukte,2035,34.86663161708185,ZERO-Basis,KKW50,PJ
Erdölprodukte,2036,32.290897634286964,ZERO-Basis,KKW50,PJ
Erdölprodukte,2037,29.7204290436686,ZERO-Basis,KKW50,PJ
Erdölprodukte,2038,27.3946125398847,ZERO-Basis,KKW50,PJ
Erdölprodukte,2039,25.06797293699492,ZERO-Basis,KKW50,PJ
Erdölprodukte,2040,22.782419822298586,ZERO-Basis,KKW50,PJ
Erdölprodukte,2041,20.625163236501145,ZERO-Basis,KKW50,PJ
Erdölprodukte,2042,18.67566886114282,ZERO-Basis,KKW50,PJ
Erdölprodukte,2043,16.305543307392927,ZERO-Basis,KKW50,PJ
Erdölprodukte,2044,14.03213751159373,ZERO-Basis,KKW50,PJ
Erdölprodukte,2045,11.912492488940423,ZERO-Basis,KKW50,PJ
Erdölprodukte,2046,9.702684074688234,ZERO-Basis,KKW50,PJ
Erdölprodukte,2047,7.817940434873893,ZERO-Basis,KKW50,PJ
Erdölprodukte,2048,6.097746225444263,ZERO-Basis,KKW50,PJ
Erdölprodukte,2049,4.678805302433291,ZERO-Basis,KKW50,PJ
Erdölprodukte,2050,3.6251357173720926,ZERO-Basis,KKW50,PJ
Erdölprodukte,2051,2.719564249633748,ZERO-Basis,KKW50,PJ
Erdölprodukte,2052,2.00837414386881,ZERO-Basis,KKW50,PJ
Erdölprodukte,2053,1.5148177818560897,ZERO-Basis,KKW50,PJ
Erdölprodukte,2054,1.2332636087382816,ZERO-Basis,KKW50,PJ
Erdölprodukte,2055,1.0505476286489195,ZERO-Basis,KKW50,PJ
Erdölprodukte,2056,0.936677174608661,ZERO-Basis,KKW50,PJ
Erdölprodukte,2057,0.8424314738929439,ZERO-Basis,KKW50,PJ
Erdölprodukte,2058,0.745967360615614,ZERO-Basis,KKW50,PJ
Erdölprodukte,2059,0.6722140964257446,ZERO-Basis,KKW50,PJ
Erdölprodukte,2060,0.6133222349740961,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2000,196.15868950637247,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2001,213.09100213121502,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2002,196.78311666756878,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2003,207.78680729583655,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2004,203.48507006856943,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2005,205.29559782792765,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2006,195.58925989838175,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2007,170.97985049766473,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2008,179.06519716227888,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2009,173.45957122443207,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2010,182.43444637228842,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2011,143.94084815811766,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2012,154.15202855872218,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2013,162.51923541150944,ZERO-Basis,KKW50,PJ
Heizöl extra-leicht,2014,122.36442091047132,ZERO-Basis,KKW50,PJ
