purpose,year,value,scenario,variant,unit
Raumwärme,2000,258.6802322840868,ZERO-B,KKW50,PJ
Raumwärme,2001,277.8718890273776,ZERO-B,KKW50,PJ
Raumwärme,2002,260.4030454496333,ZERO-B,KKW50,PJ
Raumwärme,2003,280.7757725209183,ZERO-B,KKW50,PJ
Raumwärme,2004,278.6810156205902,ZERO-B,KKW50,PJ
Raumwärme,2005,287.71962108177365,ZERO-B,KKW50,PJ
Raumwärme,2006,276.97102527711354,ZERO-B,KKW50,PJ
Raumwärme,2007,243.54210371899632,ZERO-B,KKW50,PJ
Raumwärme,2008,266.7675454583513,ZERO-B,KKW50,PJ
Raumwärme,2009,263.535626932553,ZERO-B,KKW50,PJ
Raumwärme,2010,294.1129521540322,ZERO-B,KKW50,PJ
Raumwärme,2011,230.1588230662633,ZERO-B,KKW50,PJ
Raumwärme,2012,259.2891682749232,ZERO-B,KKW50,PJ
Raumwärme,2013,284.7328124323981,ZERO-B,KKW50,PJ
Raumwärme,2014,216.26151302007688,ZERO-B,KKW50,PJ
Raumwärme,2015,239.48362894918154,ZERO-B,KKW50,PJ
Raumwärme,2016,255.1291919138354,ZERO-B,KKW50,PJ
Raumwärme,2017,247.36639585934861,ZERO-B,KKW50,PJ
Raumwärme,2018,224.94034067970622,ZERO-B,KKW50,PJ
Raumwärme,2019,232.01961174517078,ZERO-B,KKW50,PJ
Raumwärme,2020,241.84440986880495,ZERO-B,KKW50,PJ
Raumwärme,2021,238.53888422699,ZERO-B,KKW50,PJ
Raumwärme,2022,235.35911714102755,ZERO-B,KKW50,PJ
Raumwärme,2023,232.34765936442864,ZERO-B,KKW50,PJ
Raumwärme,2024,229.49261971446953,ZERO-B,KKW50,PJ
Raumwärme,2025,226.34665107651406,ZERO-B,KKW50,PJ
Raumwärme,2026,223.3689002665879,ZERO-B,KKW50,PJ
Raumwärme,2027,220.4924261850679,ZERO-B,KKW50,PJ
Raumwärme,2028,217.42702243341262,ZERO-B,KKW50,PJ
Raumwärme,2029,214.42570567544834,ZERO-B,KKW50,PJ
Raumwärme,2030,211.63864833538352,ZERO-B,KKW50,PJ
Raumwärme,2031,209.05017504653952,ZERO-B,KKW50,PJ
Raumwärme,2032,206.2324111259097,ZERO-B,KKW50,PJ
Raumwärme,2033,203.83668996051733,ZERO-B,KKW50,PJ
Raumwärme,2034,201.03476202977401,ZERO-B,KKW50,PJ
Raumwärme,2035,198.50189946032268,ZERO-B,KKW50,PJ
Raumwärme,2036,195.83086671515883,ZERO-B,KKW50,PJ
Raumwärme,2037,193.04276335553809,ZERO-B,KKW50,PJ
Raumwärme,2038,190.53690218404526,ZERO-B,KKW50,PJ
