sector_purpose,year,value,scenario,variant,unit
Private Haushalte,2000,204.3518987116052,ZERO-B,KKW50,PJ
Private Haushalte,2001,214.73290022272266,ZERO-B,KKW50,PJ
Private Haushalte,2002,208.184818041584,ZERO-B,KKW50,PJ
Private Haushalte,2003,219.24652366436817,ZERO-B,KKW50,PJ
Private Haushalte,2004,220.07628669277776,ZERO-B,KKW50,PJ
Private Haushalte,2005,224.6586753101285,ZERO-B,KKW50,PJ
Private Haushalte,2006,217.8770633425764,ZERO-B,KKW50,PJ
Private Haushalte,2007,196.70001889757245,ZERO-B,KKW50,PJ
Private Haushalte,2008,210.74126818967719,ZERO-B,KKW50,PJ
Private Haushalte,2009,208.2159762276173,ZERO-B,KKW50,PJ
Private Haushalte,2010,226.9965458837891,ZERO-B,KKW50,PJ
Private Haushalte,2011,187.48169671027304,ZERO-B,KKW50,PJ
Private Haushalte,2012,206.21995827106437,ZERO-B,KKW50,PJ
Private Haushalte,2013,221.38062704234906,ZERO-B,KKW50,PJ
Private Haushalte,2014,180.2191013409951,ZERO-B,KKW50,PJ
Private Haushalte,2015,194.2712220192748,ZERO-B,KKW50,PJ
Private Haushalte,2016,202.83325927924625,ZERO-B,KKW50,PJ
Private Haushalte,2017,198.13120034358542,ZERO-B,KKW50,PJ
Private Haushalte,2018,185.62529314173185,ZERO-B,KKW50,PJ
Private Haushalte,2019,188.99443142270027,ZERO-B,KKW50,PJ
Private Haushalte,2020,199.6345825619543,ZERO-B,KKW50,PJ
Private Haushalte,2021,198.62260126399445,ZERO-B,KKW50,PJ
Private Haushalte,2022,197.61515649242597,ZERO-B,KKW50,PJ
Private Haushalte,2023,196.50051231741026,ZERO-B,KKW50,PJ
Private Haushalte,2024,195.3717108037132,ZERO-B,KKW50,PJ
Private Haushalte,2025,194.12905695309095,ZERO-B,KKW50,PJ
Private Haushalte,2026,192.81228824410687,ZERO-B,KKW50,PJ
Private Haushalte,2027,191.44409549304882,ZERO-B,KKW50,PJ
Private Haushalte,2028,190.12252307884384,ZERO-B,KKW50,PJ
Private Haushalte,2029,188.72459372744973,ZERO-B,KKW50,PJ
Private Haushalte,2030,187.27682431135008,ZERO-B,KKW50,PJ
Private Haushalte,2031,185.9176273768289,ZERO-B,KKW50,PJ
Private Haushalte,2032,184.49375166424622,ZERO-B,KKW50,PJ
Private Haushalte,2033,182.99732555880715,ZERO-B,KKW50,PJ
Private Haushalte,2034,181.48183900926747,ZERO-B,KKW50,PJ
Private Haushalte,2035,179.90913403878832,ZERO-B,KKW50,PJ
Private Haushalte,2036,178.4545767829216,ZERO-B,KKW50,PJ
Private Haushalte,2037,176.91182836026243,ZERO-B,KKW50,PJ
Private Haushalte,2038,175.3433938195898,ZERO-B,KKW50,PJ
Private Haushalte,2039,173.78239922897026,ZERO-B,KKW50,PJ
Private Haushalte,2040,172.20428768360176,ZERO-B,KKW50,PJ
