sector,year,value,scenario,variant,unit
Private Haushalte,2000,1.6788966092903879,ZERO-Basis,KKW50,PJ
Private Haushalte,2001,1.8927645512882936,ZERO-Basis,KKW50,PJ
Private Haushalte,2002,1.8999205777064956,ZERO-Basis,KKW50,PJ
Private Haushalte,2003,2.1405092041149407,ZERO-Basis,KKW50,PJ
Private Haushalte,2004,2.30510785476619,ZERO-Basis,KKW50,PJ
Private Haushalte,2005,2.5726872261795393,ZERO-Basis,KKW50,PJ
Private Haushalte,2006,2.7185556553253427,ZERO-Basis,KKW50,PJ
Private Haushalte,2007,2.628746326135341,ZERO-Basis,KKW50,PJ
Private Haushalte,2008,3.0724972194110047,ZERO-Basis,KKW50,PJ
Private Haushalte,2009,3.24375880445983,ZERO-Basis,KKW50,PJ
Private Haushalte,2010,3.9169771536877502,ZERO-Basis,KKW50,PJ
Private Haushalte,2011,3.4673412582258294,ZERO-Basis,KKW50,PJ
Private Haushalte,2012,4.159530700406264,ZERO-Basis,KKW50,PJ
Private Haushalte,2013,5.013807035890347,ZERO-Basis,KKW50,PJ
Private Haushalte,2014,4.339553879626705,ZERO-Basis,KKW50,PJ
Private Haushalte,2015,5.160439685548626,ZERO-Basis,KKW50,PJ
Private Haushalte,2016,5.925019580297131,ZERO-Basis,KKW50,PJ
Private Haushalte,2017,6.2888833788885705,ZERO-Basis,KKW50,PJ
Private Haushalte,2018,6.110775738490167,ZERO-Basis,KKW50,PJ
Private Haushalte,2019,6.629404974335084,ZERO-Basis,KKW50,PJ
Private Haushalte,2020,7.646388179697159,ZERO-Basis,KKW50,PJ
Private Haushalte,2021,8.256152339593905,ZERO-Basis,KKW50,PJ
Private Haushalte,2022,8.969543304504146,ZERO-Basis,KKW50,PJ
Private Haushalte,2023,9.861370884786215,ZERO-Basis,KKW50,PJ
Private Haushalte,2024,10.740003081203293,ZERO-Basis,KKW50,PJ
Private Haushalte,2025,11.764708582487435,ZERO-Basis,KKW50,PJ
Private Haushalte,2026,12.764593857844371,ZERO-Basis,KKW50,PJ
Private Haushalte,2027,13.798831014606584,ZERO-Basis,KKW50,PJ
Private Haushalte,2028,14.721590070922398,ZERO-Basis,KKW50,PJ
Private Haushalte,2029,15.627280763266555,ZERO-Basis,KKW50,PJ
Private Haushalte,2030,16.5866887246255,ZERO-Basis,KKW50,PJ
Private Haushalte,2031,17.404487793280982,ZERO-Basis,KKW50,PJ
Private Haushalte,2032,18.167680127345154,ZERO-Basis,KKW50,PJ
