fuel,year,value,scenario,variant,unit
Kohle,2000,0.13,ZERO-Basis,KKW50,PJ
Kohle,2001,0.13,ZERO-Basis,KKW50,PJ
Kohle,2002,0.13,ZERO-Basis,KKW50,PJ
Kohle,2003,0.13,ZERO-Basis,KKW50,PJ
Kohle,2004,0.4,ZERO-Basis,KKW50,PJ
Kohle,2005,0.4,ZERO-Basis,KKW50,PJ
Kohle,2006,0.39999999999999997,ZERO-Basis,KKW50,PJ
Kohle,2007,0.4,ZERO-Basis,KKW50,PJ
Kohle,2008,0.4,ZERO-Basis,KKW50,PJ
Kohle,2009,0.39999999999999997,ZERO-Basis,KKW50,PJ
Kohle,2010,0.4,ZERO-Basis,KKW50,PJ
Kohle,2011,0.3,ZERO-Basis,KKW50,PJ
Kohle,2012,0.3,ZERO-Basis,KKW50,PJ
Kohle,2013,0.3,ZERO-Basis,KKW50,PJ
Kohle,2014,0.19999999999999998,ZERO-Basis,KKW50,PJ
Kohle,2015,0.2,ZERO-Basis,KKW50,PJ
Kohle,2016,0.2,ZERO-Basis,KKW50,PJ
Kohle,2017,0.1,ZERO-Basis,KKW50,PJ
Kohle,2018,0.1,ZERO-Basis,KKW50,PJ
Kohle,2019,0.1,ZERO-Basis,KKW50,PJ
Kohle,2020,0.08836418045593238,ZERO-Basis,KKW50,PJ
Kohle,2021,0.08269402781237117,ZERO-Basis,KKW50,PJ
Kohle,2022,0.07777009779456216,ZERO-Basis,KKW50,PJ
Kohle,2023,0.05157916844855144,ZERO-Basis,KKW50,PJ
Kohle,2024,0.047625496306657675,ZERO-Basis,KKW50,PJ
Kohle,2025,0.028274483335676316,ZERO-Basis,KKW50,PJ
Kohle,2026,0.024675904375351873,ZERO-Basis,KKW50,PJ
Kohle,2027,0.019433605932236378,ZERO-Basis,KKW50,PJ
Kohle,2028,0.016234055076095225,ZERO-Basis,KKW50,PJ
Kohle,2029,0.013989486559370348,ZERO-Basis,KKW50,PJ
Kohle,2030,0.011982606127035217,ZERO-Basis,KKW50,PJ
Kohle,2031,0.010187545713646442,ZERO-Basis,KKW50,PJ
Kohle,2032,0.00840101654425744,ZERO-Basis,KKW50,PJ
Kohle,2033,0.006050762438140901,ZERO-Basis,KKW50,PJ
Kohle,2034,0.004929985195629077,ZERO-Basis,KKW50,PJ
Kohle,2035,0.003348140568748652,ZERO-Basis,KKW50,PJ
Kohle,2036,0.0029474842329789623,ZERO-Basis,KKW50,PJ
Kohle,2037,0.0027048122559622002,ZERO-Basis,KKW50,PJ
Kohle,2038,0.0025579698266160306,ZERO-Basis,KKW50,PJ
Kohle,2039,0.00027488759543625876,ZERO-Basis,KKW50,PJ
Kohle,2040,0.0001949645446765969,ZERO-Basis,KKW50,PJ
Kohle,2041,0.00019496157458692256,ZERO-Basis,KKW50,PJ
Kohle,2042,3.897181823116355e-05,ZERO-Basis,KKW50,PJ
Kohle,2043,0.0,ZERO-Basis,KKW50,PJ
Kohle,2044,0.0,ZERO-Basis,KKW50,PJ
Kohle,2045,0.0,ZERO-Basis,KKW50,PJ
Kohle,2046,0.0,ZERO-Basis,KKW50,PJ
Kohle,2047,0.0,ZERO-Basis,KKW50,PJ
Kohle,2048,0.0,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0,ZERO-Basis,KKW50,PJ
Kohle,2050,0.0,ZERO-Basis,KKW50,PJ
Kohle,2051,0.0,ZERO-Basis,KKW50,PJ
Kohle,2052,0.0,ZERO-Basis,KKW50,PJ
Kohle,2053,0.0,ZERO-Basis,KKW50,PJ
Kohle,2054,0.0,ZERO-Basis,KKW50,PJ
Kohle,2055,0.0,ZERO-Basis,KKW50,PJ
Kohle,2056,0.0,ZERO-Basis,KKW50,PJ
Kohle,2057,0.0,ZERO-Basis,KKW50,PJ
Kohle,2058,0.0,ZERO-Basis,KKW50,PJ
Kohle,2059,0.0,ZERO-Basis,KKW50,PJ
Kohle,2060,0.0,ZERO-Basis,KKW50,PJ
Erdölprodukte,2000,116.47999999999999,ZERO-Basis,KKW50,PJ
Erdölprodukte,2001,122.85000000000001,ZERO-Basis,KKW50,PJ
Erdölprodukte,2002,117.82,ZERO-Basis,KKW50,PJ
Erdölprodukte,2003,124.27,ZERO-Basis,KKW50,PJ
Erdölprodukte,2004,123.02,ZERO-Basis,KKW50,PJ
Erdölprodukte,2005,124.22,ZERO-Basis,KKW50,PJ
Erdölprodukte,2006,119.08999999999997,ZERO-Basis,KKW50,PJ
Erdölprodukte,2007,102.85,ZERO-Basis,KKW50,PJ
Erdölprodukte,2008,108.86999999999999,ZERO-Basis,KKW50,PJ
Erdölprodukte,2009,105.47,ZERO-Basis,KKW50,PJ
Erdölprodukte,2010,111.87,ZERO-Basis,KKW50,PJ
Erdölprodukte,2011,87.11000000000001,ZERO-Basis,KKW50,PJ
Erdölprodukte,2012,94.23,ZERO-Basis,KKW50,PJ
Erdölprodukte,2013,99.51,ZERO-Basis,KKW50,PJ
Erdölprodukte,2014,75.23,ZERO-Basis,KKW50,PJ
Erdölprodukte,2015,79.52,ZERO-Basis,KKW50,PJ
Erdölprodukte,2016,81.43,ZERO-Basis,KKW50,PJ
Erdölprodukte,2017,76.21,ZERO-Basis,KKW50,PJ
Erdölprodukte,2018,67.98,ZERO-Basis,KKW50,PJ
Erdölprodukte,2019,66.73999999999998,ZERO-Basis,KKW50,PJ
Erdölprodukte,2020,67.1793665727933,ZERO-Basis,KKW50,PJ
Erdölprodukte,2021,63.51461686606876,ZERO-Basis,KKW50,PJ
Erdölprodukte,2022,59.74324946282836,ZERO-Basis,KKW50,PJ
Erdölprodukte,2023,55.68456926617375,ZERO-Basis,KKW50,PJ
Erdölprodukte,2024,51.7966484587033,ZERO-Basis,KKW50,PJ
Erdölprodukte,2025,47.639842915298345,ZERO-Basis,KKW50,PJ
Erdölprodukte,2026,43.72911937293147,ZERO-Basis,KKW50,PJ
Erdölprodukte,2027,39.96554195895328,ZERO-Basis,KKW50,PJ
Erdölprodukte,2028,37.13853718166013,ZERO-Basis,KKW50,PJ
Erdölprodukte,2029,34.31850865946615,ZERO-Basis,KKW50,PJ
Erdölprodukte,2030,31.63090817282402,ZERO-Basis,KKW50,PJ
Erdölprodukte,2031,29.233131146965267,ZERO-Basis,KKW50,PJ
Erdölprodukte,2032,27.010881265404453,ZERO-Basis,KKW50,PJ
Erdölprodukte,2033,25.111383776673467,ZERO-Basis,KKW50,PJ
Erdölprodukte,2034,23.376745436198725,ZERO-Basis,KKW50,PJ
Erdölprodukte,2035,21.760864516780458,ZERO-Basis,KKW50,PJ
Erdölprodukte,2036,20.215646692945324,ZERO-Basis,KKW50,PJ
Erdölprodukte,2037,18.730656165322532,ZERO-Basis,KKW50,PJ
Erdölprodukte,2038,17.37650326186206,ZERO-Basis,KKW50,PJ
Erdölprodukte,2039,16.003014037286366,ZERO-Basis,KKW50,PJ
Erdölprodukte,2040,14.658610134825185,ZERO-Basis,KKW50,PJ
Erdölprodukte,2041,13.379205077417843,ZERO-Basis,KKW50,PJ
Erdölprodukte,2042,12.286906439192386,ZERO-Basis,KKW50,PJ
Erdölprodukte,2043,10.650963016597679,ZERO-Basis,KKW50,PJ
Erdölprodukte,2044,9.039055573843768,ZERO-Basis,KKW50,PJ
Erdölprodukte,2045,7.603224250216137,ZERO-Basis,KKW50,PJ
Erdölprodukte,2046,6.032781487310433,ZERO-Basis,KKW50,PJ
Erdölprodukte,2047,4.6891777733169935,ZERO-Basis,KKW50,PJ
