purpose,year,value,scenario,variant,unit
Raumwärme,2000,167.38850148219592,ZERO-A,KKW50,PJ
Raumwärme,2001,178.68705266865697,ZERO-A,KKW50,PJ
Raumwärme,2002,171.31368129665665,ZERO-A,KKW50,PJ
Raumwärme,2003,182.9945418155379,ZERO-A,KKW50,PJ
Raumwärme,2004,183.369645610025,ZERO-A,KKW50,PJ
Raumwärme,2005,188.29767855281602,ZERO-A,KKW50,PJ
Raumwärme,2006,181.81086365900063,ZERO-A,KKW50,PJ
Raumwärme,2007,160.5606002588376,ZERO-A,KKW50,PJ
Raumwärme,2008,175.10380166927638,ZERO-A,KKW50,PJ
Raumwärme,2009,172.46282344968787,ZERO-A,KKW50,PJ
Raumwärme,2010,191.57800065458676,ZERO-A,KKW50,PJ
Raumwärme,2011,151.1127418493986,ZERO-A,KKW50,PJ
Raumwärme,2012,170.0123778071969,ZERO-A,KKW50,PJ
Raumwärme,2013,185.4807386646854,ZERO-A,KKW50,PJ
Raumwärme,2014,142.96343595507352,ZERO-A,KKW50,PJ
Raumwärme,2015,156.90343448693014,ZERO-A,KKW50,PJ
Raumwärme,2016,165.76980092777694,ZERO-A,KKW50,PJ
Raumwärme,2017,160.53015009973262,ZERO-A,KKW50,PJ
Raumwärme,2018,147.54938938415202,ZERO-A,KKW50,PJ
Raumwärme,2019,150.94158156610317,ZERO-A,KKW50,PJ
Raumwärme,2020,161.97538316353777,ZERO-A,KKW50,PJ
Raumwärme,2021,160.93342758944647,ZERO-A,KKW50,PJ
Raumwärme,2022,159.9065085768338,ZERO-A,KKW50,PJ
Raumwärme,2023,158.79927781356287,ZERO-A,KKW50,PJ
Raumwärme,2024,157.6651645773771,ZERO-A,KKW50,PJ
Raumwärme,2025,156.44131034298545,ZERO-A,KKW50,PJ
Raumwärme,2026,155.17987738459297,ZERO-A,KKW50,PJ
Raumwärme,2027,153.84809686868965,ZERO-A,KKW50,PJ
Raumwärme,2028,152.5332089729696,ZERO-A,KKW50,PJ
Raumwärme,2029,151.14065280409264,ZERO-A,KKW50,PJ
Raumwärme,2030,149.72192774991754,ZERO-A,KKW50,PJ
Raumwärme,2031,148.34635061354786,ZERO-A,KKW50,PJ
Raumwärme,2032,146.9289558229603,ZERO-A,KKW50,PJ
Raumwärme,2033,145.4359685721231,ZERO-A,KKW50,PJ
Raumwärme,2034,143.92108162299743,ZERO-A,KKW50,PJ
Raumwärme,2035,142.36605045260285,ZERO-A,KKW50,PJ
Raumwärme,2036,140.85402186179903,ZERO-A,KKW50,PJ
Raumwärme,2037,139.28881012904765,ZERO-A,KKW50,PJ
Raumwärme,2038,137.69284701010147,ZERO-A,KKW50,PJ
Raumwärme,2039,136.12502450860683,ZERO-A,KKW50,PJ
Raumwärme,2040,134.53994006120408,ZERO-A,KKW50,PJ
Raumwärme,2041,133.25735943419852,ZERO-A,KKW50,PJ
Raumwärme,2042,131.99695086873754,ZERO-A,KKW50,PJ
Raumwärme,2043,130.70840939215645,ZERO-A,KKW50,PJ
Raumwärme,2044,129.44989381303753,ZERO-A,KKW50,PJ
Raumwärme,2045,128.23261173112454,ZERO-A,KKW50,PJ
Raumwärme,2046,127.08048271015679,ZERO-A,KKW50,PJ
Raumwärme,2047,125.97997477544892,ZERO-A,KKW50,PJ
Raumwärme,2048,124.94266268588532,ZERO-A,KKW50,PJ
Raumwärme,2049,123.93653385163222,ZERO-A,KKW50,PJ
Raumwärme,2050,122.96351961919622,ZERO-A,KKW50,PJ
Raumwärme,2051,122.09549209061302,ZERO-A,KKW50,PJ
Raumwärme,2052,121.26076239105944,ZERO-A,KKW50,PJ
Raumwärme,2053,120.44758283418676,ZERO-A,KKW50,PJ
Raumwärme,2054,119.66119312605798,ZERO-A,KKW50,PJ
Raumwärme,2055,118.90630332225683,ZERO-A,KKW50,PJ
Raumwärme,2056,118.15928644167363,ZERO-A,KKW50,PJ
Raumwärme,2057,117.43147050338678,ZERO-A,KKW50,PJ
Raumwärme,2058,116.71781320483734,ZERO-A,KKW50,PJ
Raumwärme,2059,116.00794976063482,ZERO-A,KKW50,PJ
Raumwärme,2060,115.27518691089567,ZERO-A,KKW50,PJ
Warmwasser,2000,31.239295556148477,ZERO-A,KKW50,PJ
Warmwasser,2001,30.470120395261315,ZERO-A,KKW50,PJ
Warmwasser,2002,31.21553853230329,ZERO-A,KKW50,PJ
Warmwasser,2003,30.694182020481545,ZERO-A,KKW50,PJ
Warmwasser,2004,31.095740599116205,ZERO-A,KKW50,PJ
Warmwasser,2005,30.787596185604343,ZERO-A,KKW50,PJ
Warmwasser,2006,30.52169107997528,ZERO-A,KKW50,PJ
Warmwasser,2007,30.6179568821929,ZERO-A,KKW50,PJ
Warmwasser,2008,30.20019196912537,ZERO-A,KKW50,PJ
Warmwasser,2009,30.29940247451926,ZERO-A,KKW50,PJ
Warmwasser,2010,29.955434674853567,ZERO-A,KKW50,PJ
Warmwasser,2011,30.791003148930894,ZERO-A,KKW50,PJ
Warmwasser,2012,30.63482286422778,ZERO-A,KKW50,PJ
Warmwasser,2013,30.31054294313924,ZERO-A,KKW50,PJ
Warmwasser,2014,31.52579213239719,ZERO-A,KKW50,PJ
Warmwasser,2015,31.371177678248046,ZERO-A,KKW50,PJ
Warmwasser,2016,31.13150043831702,ZERO-A,KKW50,PJ
Warmwasser,2017,31.42744322119462,ZERO-A,KKW50,PJ
Warmwasser,2018,31.74382797026436,ZERO-A,KKW50,PJ
Warmwasser,2019,31.795650976129778,ZERO-A,KKW50,PJ
Warmwasser,2020,31.546392751402966,ZERO-A,KKW50,PJ
Warmwasser,2021,31.5218051097338,ZERO-A,KKW50,PJ
Warmwasser,2022,31.493779512846622,ZERO-A,KKW50,PJ
Warmwasser,2023,31.442011650507315,ZERO-A,KKW50,PJ
Warmwasser,2024,31.39595844614839,ZERO-A,KKW50,PJ
Warmwasser,2025,31.334131929981442,ZERO-A,KKW50,PJ
Warmwasser,2026,31.218691742732123,ZERO-A,KKW50,PJ
Warmwasser,2027,31.09967443747874,ZERO-A,KKW50,PJ
Warmwasser,2028,31.003302030134535,ZERO-A,KKW50,PJ
Warmwasser,2029,30.906115313621434,ZERO-A,KKW50,PJ
Warmwasser,2030,30.790508310488804,ZERO-A,KKW50,PJ
Warmwasser,2031,30.684966711616408,ZERO-A,KKW50,PJ
Warmwasser,2032,30.561829502974824,ZERO-A,KKW50,PJ
Warmwasser,2033,30.434916477972834,ZERO-A,KKW50,PJ
Warmwasser,2034,30.29540266083604,ZERO-A,KKW50,PJ
Warmwasser,2035,30.15102375589122,ZERO-A,KKW50,PJ
Warmwasser,2036,30.043571563647017,ZERO-A,KKW50,PJ
Warmwasser,2037,29.90821166902897,ZERO-A,KKW50,PJ
Warmwasser,2038,29.763104690786093,ZERO-A,KKW50,PJ
Warmwasser,2039,29.610324624866266,ZERO-A,KKW50,PJ
Warmwasser,2040,29.451579002519335,ZERO-A,KKW50,PJ
Warmwasser,2041,29.326499476655407,ZERO-A,KKW50,PJ
Warmwasser,2042,29.216114217121678,ZERO-A,KKW50,PJ
Warmwasser,2043,29.06745412993859,ZERO-A,KKW50,PJ
Warmwasser,2044,28.926497138033554,ZERO-A,KKW50,PJ
Warmwasser,2045,28.795895152045407,ZERO-A,KKW50,PJ
Warmwasser,2046,28.646722422741085,ZERO-A,KKW50,PJ
Warmwasser,2047,28.511849874318237,ZERO-A,KKW50,PJ
Warmwasser,2048,28.39791137289446,ZERO-A,KKW50,PJ
Warmwasser,2049,28.29077436224098,ZERO-A,KKW50,PJ
Warmwasser,2050,28.200165833612147,ZERO-A,KKW50,PJ
Warmwasser,2051,28.12550415222183,ZERO-A,KKW50,PJ
Warmwasser,2052,28.059001628324022,ZERO-A,KKW50,PJ
Warmwasser,2053,27.995652717006866,ZERO-A,KKW50,PJ
Warmwasser,2054,27.94332509070073,ZERO-A,KKW50,PJ
Warmwasser,2055,27.890531725730355,ZERO-A,KKW50,PJ
Warmwasser,2056,27.83824587620098,ZERO-A,KKW50,PJ
Warmwasser,2057,27.785219670209045,ZERO-A,KKW50,PJ
Warmwasser,2058,27.732272110148447,ZERO-A,KKW50,PJ
Warmwasser,2059,27.677187389633367,ZERO-A,KKW50,PJ
Warmwasser,2060,27.622772989052876,ZERO-A,KKW50,PJ
Prozesswärme,2000,5.671829004327165,ZERO-A,KKW50,PJ
Prozesswärme,2001,5.519966749716576,ZERO-A,KKW50,PJ
Prozesswärme,2002,5.594454970668442,ZERO-A,KKW50,PJ
Prozesswärme,2003,5.49202218761362,ZERO-A,KKW50,PJ
Prozesswärme,2004,5.53901873779576,ZERO-A,KKW50,PJ
Prozesswärme,2005,5.495454091633863,ZERO-A,KKW50,PJ
Prozesswärme,2006,5.4213094372473,ZERO-A,KKW50,PJ
Prozesswärme,2007,5.436837212698239,ZERO-A,KKW50,PJ
Prozesswärme,2008,5.321979538393881,ZERO-A,KKW50,PJ
Prozesswärme,2009,5.291223327660078,ZERO-A,KKW50,PJ
Prozesswärme,2010,5.277134716718887,ZERO-A,KKW50,PJ
Prozesswärme,2011,5.4062185946437165,ZERO-A,KKW50,PJ
Prozesswärme,2012,5.359693768471765,ZERO-A,KKW50,PJ
Prozesswärme,2013,5.336192096535525,ZERO-A,KKW50,PJ
Prozesswärme,2014,5.574569007614348,ZERO-A,KKW50,PJ
Prozesswärme,2015,5.5877675935416224,ZERO-A,KKW50,PJ
Prozesswärme,2016,5.622947737099631,ZERO-A,KKW50,PJ
Prozesswärme,2017,5.738431447678591,ZERO-A,KKW50,PJ
Prozesswärme,2018,5.843014350593973,ZERO-A,KKW50,PJ
Prozesswärme,2019,5.865845210221241,ZERO-A,KKW50,PJ
Prozesswärme,2020,5.697615835424756,ZERO-A,KKW50,PJ
Prozesswärme,2021,5.718578860093994,ZERO-A,KKW50,PJ
Prozesswärme,2022,5.736468476160482,ZERO-A,KKW50,PJ
Prozesswärme,2023,5.751550652989187,ZERO-A,KKW50,PJ
Prozesswärme,2024,5.764094794449736,ZERO-A,KKW50,PJ
Prozesswärme,2025,5.77423815599777,ZERO-A,KKW50,PJ
Prozesswärme,2026,5.780692799551471,ZERO-A,KKW50,PJ
Prozesswärme,2027,5.784765144554155,ZERO-A,KKW50,PJ
Prozesswärme,2028,5.786657109414701,ZERO-A,KKW50,PJ
Prozesswärme,2029,5.785170780546001,ZERO-A,KKW50,PJ
Prozesswärme,2030,5.772307505630562,ZERO-A,KKW50,PJ
Prozesswärme,2031,5.773595580739818,ZERO-A,KKW50,PJ
Prozesswärme,2032,5.762936204873229,ZERO-A,KKW50,PJ
Prozesswärme,2033,5.750084583779948,ZERO-A,KKW50,PJ
Prozesswärme,2034,5.7345344191538095,ZERO-A,KKW50,PJ
Prozesswärme,2035,5.710186087687513,ZERO-A,KKW50,PJ
Prozesswärme,2036,5.696223806905354,ZERO-A,KKW50,PJ
Prozesswärme,2037,5.673583635391903,ZERO-A,KKW50,PJ
Prozesswärme,2038,5.649307656836185,ZERO-A,KKW50,PJ
Prozesswärme,2039,5.624427309366146,ZERO-A,KKW50,PJ
Prozesswärme,2040,5.5959621799532755,ZERO-A,KKW50,PJ
Prozesswärme,2041,5.58297354906072,ZERO-A,KKW50,PJ
Prozesswärme,2042,5.566648409043639,ZERO-A,KKW50,PJ
Prozesswärme,2043,5.552249631409144,ZERO-A,KKW50,PJ
Prozesswärme,2044,5.5400890897971795,ZERO-A,KKW50,PJ
Prozesswärme,2045,5.525090997972791,ZERO-A,KKW50,PJ
Prozesswärme,2046,5.525244033735477,ZERO-A,KKW50,PJ
Prozesswärme,2047,5.525493688904532,ZERO-A,KKW50,PJ
Prozesswärme,2048,5.527087430122258,ZERO-A,KKW50,PJ
Prozesswärme,2049,5.529795465083942,ZERO-A,KKW50,PJ
Prozesswärme,2050,5.528936692296645,ZERO-A,KKW50,PJ
Prozesswärme,2051,5.537713512556039,ZERO-A,KKW50,PJ
Prozesswärme,2052,5.542533869684411,ZERO-A,KKW50,PJ
Prozesswärme,2053,5.547684723762007,ZERO-A,KKW50,PJ
Prozesswärme,2054,5.55296186500059,ZERO-A,KKW50,PJ
Prozesswärme,2055,5.553272446420386,ZERO-A,KKW50,PJ
Prozesswärme,2056,5.563309147779445,ZERO-A,KKW50,PJ
Prozesswärme,2057,5.568171980999393,ZERO-A,KKW50,PJ
Prozesswärme,2058,5.572748845839723,ZERO-A,KKW50,PJ
Prozesswärme,2059,5.577009685262533,ZERO-A,KKW50,PJ
Prozesswärme,2060,5.576514187567469,ZERO-A,KKW50,PJ
Beleuchtung,2000,5.434670279550489,ZERO-A,KKW50,PJ
Beleuchtung,2001,5.576280366014833,ZERO-A,KKW50,PJ
Beleuchtung,2002,5.843815552039197,ZERO-A,KKW50,PJ
Beleuchtung,2003,5.901699804933049,ZERO-A,KKW50,PJ
Beleuchtung,2004,6.079893054167798,ZERO-A,KKW50,PJ
Beleuchtung,2005,6.127716692469377,ZERO-A,KKW50,PJ
Beleuchtung,2006,6.192111148825811,ZERO-A,KKW50,PJ
Beleuchtung,2007,6.311625515561869,ZERO-A,KKW50,PJ
Beleuchtung,2008,6.26723867194522,ZERO-A,KKW50,PJ
Beleuchtung,2009,6.148026777381857,ZERO-A,KKW50,PJ
Beleuchtung,2010,6.027213275460648,ZERO-A,KKW50,PJ
Beleuchtung,2011,5.951275736314484,ZERO-A,KKW50,PJ
Beleuchtung,2012,5.664661866507996,ZERO-A,KKW50,PJ
Beleuchtung,2013,5.413271936245473,ZERO-A,KKW50,PJ
Beleuchtung,2014,5.609684565004925,ZERO-A,KKW50,PJ
Beleuchtung,2015,5.39659065033426,ZERO-A,KKW50,PJ
Beleuchtung,2016,5.184772323371546,ZERO-A,KKW50,PJ
Beleuchtung,2017,4.986548066609502,ZERO-A,KKW50,PJ
Beleuchtung,2018,4.682684045287744,ZERO-A,KKW50,PJ
Beleuchtung,2019,4.208147119402494,ZERO-A,KKW50,PJ
