purpose,year,value,scenario,variant,unit
Raumwärme,2000,12.837294640179561,ZERO-A,KKW50,PJ
Raumwärme,2001,13.693116163011835,ZERO-A,KKW50,PJ
Raumwärme,2002,13.079334899765836,ZERO-A,KKW50,PJ
Raumwärme,2003,13.995849659418225,ZERO-A,KKW50,PJ
Raumwärme,2004,14.118337731496192,ZERO-A,KKW50,PJ
Raumwärme,2005,14.810362602991297,ZERO-A,KKW50,PJ
Raumwärme,2006,14.587612629880127,ZERO-A,KKW50,PJ
Raumwärme,2007,13.12425765267766,ZERO-A,KKW50,PJ
Raumwärme,2008,14.287594637310491,ZERO-A,KKW50,PJ
Raumwärme,2009,13.992305322837128,ZERO-A,KKW50,PJ
Raumwärme,2010,15.726660306397141,ZERO-A,KKW50,PJ
Raumwärme,2011,12.903041272762293,ZERO-A,KKW50,PJ
Raumwärme,2012,14.571255772897421,ZERO-A,KKW50,PJ
Raumwärme,2013,16.26132146126627,ZERO-A,KKW50,PJ
Raumwärme,2014,13.150125540692848,ZERO-A,KKW50,PJ
Raumwärme,2015,14.644875097934824,ZERO-A,KKW50,PJ
Raumwärme,2016,15.92574672306515,ZERO-A,KKW50,PJ
Raumwärme,2017,15.978859458009975,ZERO-A,KKW50,PJ
Raumwärme,2018,15.261773716976167,ZERO-A,KKW50,PJ
Raumwärme,2019,15.822664893821623,ZERO-A,KKW50,PJ
Raumwärme,2020,16.89495010627841,ZERO-A,KKW50,PJ
Raumwärme,2021,17.187558965877876,ZERO-A,KKW50,PJ
Raumwärme,2022,17.557834728737333,ZERO-A,KKW50,PJ
Raumwärme,2023,17.74818040077591,ZERO-A,KKW50,PJ
Raumwärme,2024,18.15919074387489,ZERO-A,KKW50,PJ
Raumwärme,2025,18.732244220278478,ZERO-A,KKW50,PJ
Raumwärme,2026,19.283405097193523,ZERO-A,KKW50,PJ
Raumwärme,2027,19.842454419460104,ZERO-A,KKW50,PJ
Raumwärme,2028,20.16795941478682,ZERO-A,KKW50,PJ
Raumwärme,2029,20.535412840651137,ZERO-A,KKW50,PJ
Raumwärme,2030,20.71299621621131,ZERO-A,KKW50,PJ
Raumwärme,2031,21.012016013433826,ZERO-A,KKW50,PJ
Raumwärme,2032,21.280444430322934,ZERO-A,KKW50,PJ
Raumwärme,2033,21.48434742466929,ZERO-A,KKW50,PJ
Raumwärme,2034,21.581009648439796,ZERO-A,KKW50,PJ
Raumwärme,2035,21.76873307109056,ZERO-A,KKW50,PJ
Raumwärme,2036,21.806218822878122,ZERO-A,KKW50,PJ
Raumwärme,2037,21.946451123410007,ZERO-A,KKW50,PJ
Raumwärme,2038,22.082005339149244,ZERO-A,KKW50,PJ
Raumwärme,2039,22.20112094620906,ZERO-A,KKW50,PJ
Raumwärme,2040,22.33408690441283,ZERO-A,KKW50,PJ
Raumwärme,2041,22.483916352221314,ZERO-A,KKW50,PJ
Raumwärme,2042,22.58657181917046,ZERO-A,KKW50,PJ
Raumwärme,2043,22.89022077609554,ZERO-A,KKW50,PJ
Raumwärme,2044,23.232870564890316,ZERO-A,KKW50,PJ
Raumwärme,2045,23.51404475430186,ZERO-A,KKW50,PJ
Raumwärme,2046,23.86331885539047,ZERO-A,KKW50,PJ
Raumwärme,2047,24.145516049875283,ZERO-A,KKW50,PJ
Raumwärme,2048,24.310309527561586,ZERO-A,KKW50,PJ
Raumwärme,2049,24.331196642108935,ZERO-A,KKW50,PJ
Raumwärme,2050,24.32164709964293,ZERO-A,KKW50,PJ
Raumwärme,2051,24.22768607892824,ZERO-A,KKW50,PJ
Raumwärme,2052,24.109931814934757,ZERO-A,KKW50,PJ
Raumwärme,2053,23.948821560033174,ZERO-A,KKW50,PJ
Raumwärme,2054,23.728889260240006,ZERO-A,KKW50,PJ
Raumwärme,2055,23.489665749886413,ZERO-A,KKW50,PJ
Raumwärme,2056,23.186475527530284,ZERO-A,KKW50,PJ
Raumwärme,2057,22.913466272963404,ZERO-A,KKW50,PJ
Raumwärme,2058,22.653750507775094,ZERO-A,KKW50,PJ
Raumwärme,2059,22.389523650705375,ZERO-A,KKW50,PJ
Raumwärme,2060,22.153995574284615,ZERO-A,KKW50,PJ
Warmwasser,2000,6.985827758792817,ZERO-A,KKW50,PJ
Warmwasser,2001,6.898934968982129,ZERO-A,KKW50,PJ
Warmwasser,2002,7.050988152214468,ZERO-A,KKW50,PJ
Warmwasser,2003,6.998291676578898,ZERO-A,KKW50,PJ
Warmwasser,2004,7.159900174716256,ZERO-A,KKW50,PJ
Warmwasser,2005,7.2588060435730695,ZERO-A,KKW50,PJ
Warmwasser,2006,7.285013133560914,ZERO-A,KKW50,PJ
Warmwasser,2007,7.3558270697660975,ZERO-A,KKW50,PJ
Warmwasser,2008,7.349805930322556,ZERO-A,KKW50,PJ
Warmwasser,2009,7.410851578898059,ZERO-A,KKW50,PJ
Warmwasser,2010,7.536380420971149,ZERO-A,KKW50,PJ
Warmwasser,2011,7.830110858180727,ZERO-A,KKW50,PJ
Warmwasser,2012,7.853473586830731,ZERO-A,KKW50,PJ
Warmwasser,2013,7.885037310414709,ZERO-A,KKW50,PJ
Warmwasser,2014,8.348095279124085,ZERO-A,KKW50,PJ
Warmwasser,2015,8.463604885923472,ZERO-A,KKW50,PJ
Warmwasser,2016,8.575463444020192,ZERO-A,KKW50,PJ
Warmwasser,2017,8.846804939619393,ZERO-A,KKW50,PJ
Warmwasser,2018,9.100553195377875,ZERO-A,KKW50,PJ
Warmwasser,2019,9.178382478037353,ZERO-A,KKW50,PJ
Warmwasser,2020,8.976505115381585,ZERO-A,KKW50,PJ
Warmwasser,2021,8.900431401442637,ZERO-A,KKW50,PJ
Warmwasser,2022,8.829794935822328,ZERO-A,KKW50,PJ
Warmwasser,2023,8.711997846218118,ZERO-A,KKW50,PJ
Warmwasser,2024,8.63412510129293,ZERO-A,KKW50,PJ
Warmwasser,2025,8.564774984397832,ZERO-A,KKW50,PJ
Warmwasser,2026,8.547533163507486,ZERO-A,KKW50,PJ
Warmwasser,2027,8.528141078466748,ZERO-A,KKW50,PJ
Warmwasser,2028,8.47889966261771,ZERO-A,KKW50,PJ
Warmwasser,2029,8.490980900505525,ZERO-A,KKW50,PJ
Warmwasser,2030,8.412780945782648,ZERO-A,KKW50,PJ
