fuel,year,value,scenario,variant,unit
Kohle,2000,0.0,ZERO-Basis,KKW50,PJ
Kohle,2001,0.0,ZERO-Basis,KKW50,PJ
Kohle,2002,0.0,ZERO-Basis,KKW50,PJ
Kohle,2003,0.0,ZERO-Basis,KKW50,PJ
Kohle,2004,0.0,ZERO-Basis,KKW50,PJ
Kohle,2005,0.0,ZERO-Basis,KKW50,PJ
Kohle,2006,0.0,ZERO-Basis,KKW50,PJ
Kohle,2007,0.0,ZERO-Basis,KKW50,PJ
Kohle,2008,0.0,ZERO-Basis,KKW50,PJ
Kohle,2009,0.0,ZERO-Basis,KKW50,PJ
Kohle,2010,0.0,ZERO-Basis,KKW50,PJ
Kohle,2011,0.0,ZERO-Basis,KKW50,PJ
Kohle,2012,0.0,ZERO-Basis,KKW50,PJ
Kohle,2013,0.0,ZERO-Basis,KKW50,PJ
Kohle,2014,0.0,ZERO-Basis,KKW50,PJ
Kohle,2015,0.0,ZERO-Basis,KKW50,PJ
Kohle,2016,0.0,ZERO-Basis,KKW50,PJ
Kohle,2017,0.0,ZERO-Basis,KKW50,PJ
Kohle,2018,0.0,ZERO-Basis,KKW50,PJ
Kohle,2019,0.0,ZERO-Basis,KKW50,PJ
Kohle,2020,0.0,ZERO-Basis,KKW50,PJ
Kohle,2021,0.00017981358557478543,ZERO-Basis,KKW50,PJ
Kohle,2022,0.0003399866053293233,ZERO-Basis,KKW50,PJ
Kohle,2023,0.00048627993588858977,ZERO-Basis,KKW50,PJ
Kohle,2024,0.0006122620791663635,ZERO-Basis,KKW50,PJ
Kohle,2025,0.0006685874867974926,ZERO-Basis,KKW50,PJ
Kohle,2026,0.0006517321533554688,ZERO-Basis,KKW50,PJ
Kohle,2027,0.0005961287173274412,ZERO-Basis,KKW50,PJ
Kohle,2028,0.0005357533511240794,ZERO-Basis,KKW50,PJ
Kohle,2029,0.000518042394136172,ZERO-Basis,KKW50,PJ
Kohle,2030,0.0004710587597747338,ZERO-Basis,KKW50,PJ
Kohle,2031,0.0003885750474552201,ZERO-Basis,KKW50,PJ
Kohle,2032,0.0003130835109466617,ZERO-Basis,KKW50,PJ
Kohle,2033,0.0002485109312671645,ZERO-Basis,KKW50,PJ
Kohle,2034,0.00019958297493404491,ZERO-Basis,KKW50,PJ
Kohle,2035,0.00013018167061946227,ZERO-Basis,KKW50,PJ
Kohle,2036,0.00011169337034181229,ZERO-Basis,KKW50,PJ
Kohle,2037,0.00011414553827579393,ZERO-Basis,KKW50,PJ
Kohle,2038,0.00012120865732297406,ZERO-Basis,KKW50,PJ
Kohle,2039,0.0001230473152345095,ZERO-Basis,KKW50,PJ
Kohle,2040,0.00012989186869780158,ZERO-Basis,KKW50,PJ
Kohle,2041,0.00012847204987886588,ZERO-Basis,KKW50,PJ
Kohle,2042,8.579011486646389e-05,ZERO-Basis,KKW50,PJ
Kohle,2043,6.810325219616636e-05,ZERO-Basis,KKW50,PJ
Kohle,2044,6.136981109261183e-05,ZERO-Basis,KKW50,PJ
Kohle,2045,4.0726346775407376e-05,ZERO-Basis,KKW50,PJ
Kohle,2046,2.8242477311924917e-05,ZERO-Basis,KKW50,PJ
Kohle,2047,1.4499849826863995e-05,ZERO-Basis,KKW50,PJ
Kohle,2048,1.5089562689169382e-05,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0,ZERO-Basis,KKW50,PJ
Kohle,2050,0.0,ZERO-Basis,KKW50,PJ
Kohle,2051,0.0,ZERO-Basis,KKW50,PJ
Kohle,2052,0.0,ZERO-Basis,KKW50,PJ
Kohle,2053,0.0,ZERO-Basis,KKW50,PJ
Kohle,2054,0.0,ZERO-Basis,KKW50,PJ
Kohle,2055,0.0,ZERO-Basis,KKW50,PJ
Kohle,2056,0.0,ZERO-Basis,KKW50,PJ
Kohle,2057,0.0,ZERO-Basis,KKW50,PJ
Kohle,2058,0.0,ZERO-Basis,KKW50,PJ
Kohle,2059,0.0,ZERO-Basis,KKW50,PJ
Kohle,2060,0.0,ZERO-Basis,KKW50,PJ
Erdölprodukte,2000,54.51999999999999,ZERO-Basis,KKW50,PJ
Erdölprodukte,2001,57.61000000000002,ZERO-Basis,KKW50,PJ
Erdölprodukte,2002,52.54999999999998,ZERO-Basis,KKW50,PJ
Erdölprodukte,2003,54.38999999999999,ZERO-Basis,KKW50,PJ
Erdölprodukte,2004,51.51,ZERO-Basis,KKW50,PJ
Erdölprodukte,2005,53.760000000000005,ZERO-Basis,KKW50,PJ
Erdölprodukte,2006,50.230000000000004,ZERO-Basis,KKW50,PJ
Erdölprodukte,2007,43.790000000000006,ZERO-Basis,KKW50,PJ
Erdölprodukte,2008,45.92999999999999,ZERO-Basis,KKW50,PJ
Erdölprodukte,2009,43.959999999999994,ZERO-Basis,KKW50,PJ
