purpose,year,value,scenario,variant,unit
Raumwärme,2000,74.63513560565673,ZERO-B,KKW50,PJ
Raumwärme,2001,78.9977101079416,ZERO-B,KKW50,PJ
Raumwärme,2002,73.35341924718949,ZERO-B,KKW50,PJ
Raumwärme,2003,78.26681260632964,ZERO-B,KKW50,PJ
Raumwärme,2004,76.88228973159885,ZERO-B,KKW50,PJ
Raumwärme,2005,80.46160534317933,ZERO-B,KKW50,PJ
Raumwärme,2006,76.55840258521653,ZERO-B,KKW50,PJ
Raumwärme,2007,68.84490650753776,ZERO-B,KKW50,PJ
Raumwärme,2008,74.57375912965612,ZERO-B,KKW50,PJ
Raumwärme,2009,72.76722630044985,ZERO-B,KKW50,PJ
Raumwärme,2010,80.95695993136837,ZERO-B,KKW50,PJ
Raumwärme,2011,65.18123727201197,ZERO-B,KKW50,PJ
Raumwärme,2012,73.02910790849867,ZERO-B,KKW50,PJ
Raumwärme,2013,79.29678402992161,ZERO-B,KKW50,PJ
Raumwärme,2014,61.636504610782076,ZERO-B,KKW50,PJ
Raumwärme,2015,68.19046817704493,ZERO-B,KKW50,PJ
Raumwärme,2016,73.00474970053357,ZERO-B,KKW50,PJ
Raumwärme,2017,71.01903039975551,ZERO-B,KKW50,PJ
Raumwärme,2018,64.81795111358787,ZERO-B,KKW50,PJ
Raumwärme,2019,67.16598565441241,ZERO-B,KKW50,PJ
Raumwärme,2020,66.02528233262738,ZERO-B,KKW50,PJ
Raumwärme,2021,64.34939561177302,ZERO-B,KKW50,PJ
Raumwärme,2022,62.733412384770666,ZERO-B,KKW50,PJ
Raumwärme,2023,61.33058413023408,ZERO-B,KKW50,PJ
Raumwärme,2024,60.07558462974963,ZERO-B,KKW50,PJ
Raumwärme,2025,58.597348741925295,ZERO-B,KKW50,PJ
Raumwärme,2026,57.29832060493634,ZERO-B,KKW50,PJ
Raumwärme,2027,56.14657673615522,ZERO-B,KKW50,PJ
Raumwärme,2028,54.76360352543154,ZERO-B,KKW50,PJ
Raumwärme,2029,53.50378888408283,ZERO-B,KKW50,PJ
Raumwärme,2030,52.457206289270836,ZERO-B,KKW50,PJ
Raumwärme,2031,51.554737483275154,ZERO-B,KKW50,PJ
Raumwärme,2032,50.45616012235046,ZERO-B,KKW50,PJ
Raumwärme,2033,49.83956598905153,ZERO-B,KKW50,PJ
Raumwärme,2034,48.81512736798452,ZERO-B,KKW50,PJ
Raumwärme,2035,48.09243222981027,ZERO-B,KKW50,PJ
Raumwärme,2036,47.173473983912984,ZERO-B,KKW50,PJ
Raumwärme,2037,46.17504867953792,ZERO-B,KKW50,PJ
Raumwärme,2038,45.4640040298115,ZERO-B,KKW50,PJ
Raumwärme,2039,44.833134766630344,ZERO-B,KKW50,PJ
Raumwärme,2040,44.10058947093014,ZERO-B,KKW50,PJ
Raumwärme,2041,43.473224446222595,ZERO-B,KKW50,PJ
Raumwärme,2042,42.88083998788828,ZERO-B,KKW50,PJ
Raumwärme,2043,42.288643132328936,ZERO-B,KKW50,PJ
Raumwärme,2044,41.84806695495395,ZERO-B,KKW50,PJ
Raumwärme,2045,41.51876550087487,ZERO-B,KKW50,PJ
Raumwärme,2046,41.122841807646275,ZERO-B,KKW50,PJ
Raumwärme,2047,40.95126790649849,ZERO-B,KKW50,PJ
Raumwärme,2048,40.65100756687579,ZERO-B,KKW50,PJ
Raumwärme,2049,40.35976842476826,ZERO-B,KKW50,PJ
Raumwärme,2050,40.000843689173486,ZERO-B,KKW50,PJ
Raumwärme,2051,39.63757163874568,ZERO-B,KKW50,PJ
Raumwärme,2052,39.37556632742689,ZERO-B,KKW50,PJ
Raumwärme,2053,39.022643025272416,ZERO-B,KKW50,PJ
Raumwärme,2054,38.78940796450176,ZERO-B,KKW50,PJ
Raumwärme,2055,38.454875568118915,ZERO-B,KKW50,PJ
Raumwärme,2056,38.39354839031666,ZERO-B,KKW50,PJ
Raumwärme,2057,38.1119926858813,ZERO-B,KKW50,PJ
Raumwärme,2058,37.77594157231243,ZERO-B,KKW50,PJ
Raumwärme,2059,37.56190710602499,ZERO-B,KKW50,PJ
Raumwärme,2060,37.272496365919764,ZERO-B,KKW50,PJ
Warmwasser,2000,12.600007889077895,ZERO-B,KKW50,PJ
Warmwasser,2001,12.585602322176358,ZERO-B,KKW50,PJ
Warmwasser,2002,12.404805571449337,ZERO-B,KKW50,PJ
Warmwasser,2003,12.241262205088784,ZERO-B,KKW50,PJ
Warmwasser,2004,12.066150675415972,ZERO-B,KKW50,PJ
Warmwasser,2005,11.879443046677025,ZERO-B,KKW50,PJ
Warmwasser,2006,12.15018264053222,ZERO-B,KKW50,PJ
Warmwasser,2007,11.530708807836813,ZERO-B,KKW50,PJ
Warmwasser,2008,11.408019580215365,ZERO-B,KKW50,PJ
Warmwasser,2009,11.593428725239141,ZERO-B,KKW50,PJ
Warmwasser,2010,11.364278334408784,ZERO-B,KKW50,PJ
Warmwasser,2011,11.308516202023455,ZERO-B,KKW50,PJ
Warmwasser,2012,11.21131972577516,ZERO-B,KKW50,PJ
Warmwasser,2013,11.31669713088078,ZERO-B,KKW50,PJ
Warmwasser,2014,11.03618694890813,ZERO-B,KKW50,PJ
Warmwasser,2015,11.027154414274259,ZERO-B,KKW50,PJ
Warmwasser,2016,10.68827898995684,ZERO-B,KKW50,PJ
Warmwasser,2017,10.458014557490092,ZERO-B,KKW50,PJ
Warmwasser,2018,10.407745418477424,ZERO-B,KKW50,PJ
Warmwasser,2019,9.945819515784862,ZERO-B,KKW50,PJ
Warmwasser,2020,9.350534398972279,ZERO-B,KKW50,PJ
Warmwasser,2021,9.194327578690766,ZERO-B,KKW50,PJ
Warmwasser,2022,8.861791267376546,ZERO-B,KKW50,PJ
Warmwasser,2023,8.724545298121827,ZERO-B,KKW50,PJ
Warmwasser,2024,8.581664469040721,ZERO-B,KKW50,PJ
Warmwasser,2025,8.514459034756669,ZERO-B,KKW50,PJ
Warmwasser,2026,8.448965059745136,ZERO-B,KKW50,PJ
Warmwasser,2027,8.37205293306269,ZERO-B,KKW50,PJ
Warmwasser,2028,8.35733927029846,ZERO-B,KKW50,PJ
Warmwasser,2029,8.378124741824697,ZERO-B,KKW50,PJ
Warmwasser,2030,8.297656356134137,ZERO-B,KKW50,PJ
Warmwasser,2031,8.341642989798858,ZERO-B,KKW50,PJ
Warmwasser,2032,8.39269097878507,ZERO-B,KKW50,PJ
Warmwasser,2033,8.496515096102032,ZERO-B,KKW50,PJ
Warmwasser,2034,8.584107145395159,ZERO-B,KKW50,PJ
Warmwasser,2035,8.680263039973738,ZERO-B,KKW50,PJ
Warmwasser,2036,8.788127997179757,ZERO-B,KKW50,PJ
Warmwasser,2037,8.862564817554814,ZERO-B,KKW50,PJ
Warmwasser,2038,8.949649534313837,ZERO-B,KKW50,PJ
Warmwasser,2039,9.083524892186677,ZERO-B,KKW50,PJ
Warmwasser,2040,9.180381004073002,ZERO-B,KKW50,PJ
Warmwasser,2041,9.24359490889994,ZERO-B,KKW50,PJ
Warmwasser,2042,9.34077245627601,ZERO-B,KKW50,PJ
Warmwasser,2043,9.437890501570342,ZERO-B,KKW50,PJ
Warmwasser,2044,9.494879297207724,ZERO-B,KKW50,PJ
Warmwasser,2045,9.615790485001254,ZERO-B,KKW50,PJ
Warmwasser,2046,9.701184774606771,ZERO-B,KKW50,PJ
Warmwasser,2047,9.77884285396622,ZERO-B,KKW50,PJ
Warmwasser,2048,9.883559966648823,ZERO-B,KKW50,PJ
Warmwasser,2049,9.94104219174406,ZERO-B,KKW50,PJ
Warmwasser,2050,10.027622265312925,ZERO-B,KKW50,PJ
Warmwasser,2051,10.170237802668769,ZERO-B,KKW50,PJ
Warmwasser,2052,10.238799895432969,ZERO-B,KKW50,PJ
Warmwasser,2053,10.275073385860246,ZERO-B,KKW50,PJ
Warmwasser,2054,10.346959763237102,ZERO-B,KKW50,PJ
Warmwasser,2055,10.383992483810253,ZERO-B,KKW50,PJ
Warmwasser,2056,10.434758356239316,ZERO-B,KKW50,PJ
Warmwasser,2057,10.45724886937113,ZERO-B,KKW50,PJ
Warmwasser,2058,10.518251064060747,ZERO-B,KKW50,PJ
Warmwasser,2059,10.56067785137571,ZERO-B,KKW50,PJ
Warmwasser,2060,10.615508236811502,ZERO-B,KKW50,PJ
Prozesswärme,2000,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2001,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2002,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2003,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2004,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2005,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2006,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2007,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2008,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2009,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2010,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2011,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2012,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2013,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2014,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2015,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2016,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2017,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2018,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2019,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2020,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2021,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2022,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2023,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2024,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2025,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2026,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2027,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2028,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2029,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2030,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2031,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2032,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2033,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2034,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2035,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2036,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2037,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2038,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2039,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2040,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2041,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2042,0.0,ZERO-B,KKW50,PJ
Prozesswärme,2043,0.0,ZERO-B,KKW50,PJ
