noga,sector,year,value,scenario,variant,unit
G,Handel,2000,28.16291184887787,ZERO-B,KKW50,PJ
G,Handel,2001,29.351447621498565,ZERO-B,KKW50,PJ
G,Handel,2002,28.360237777783816,ZERO-B,KKW50,PJ
G,Handel,2003,29.438153016434313,ZERO-B,KKW50,PJ
G,Handel,2004,29.317161080172404,ZERO-B,KKW50,PJ
G,Handel,2005,30.1100201946655,ZERO-B,KKW50,PJ
G,Handel,2006,29.28685762601791,ZERO-B,KKW50,PJ
G,Handel,2007,27.815589307747338,ZERO-B,KKW50,PJ
G,Handel,2008,28.965528021116686,ZERO-B,KKW50,PJ
G,Handel,2009,28.443821282182938,ZERO-B,KKW50,PJ
G,Handel,2010,30.137972745746573,ZERO-B,KKW50,PJ
G,Handel,2011,27.045201455017057,ZERO-B,KKW50,PJ
G,Handel,2012,28.536001929806755,ZERO-B,KKW50,PJ
G,Handel,2013,29.497355010403936,ZERO-B,KKW50,PJ
G,Handel,2014,26.04059301026873,ZERO-B,KKW50,PJ
G,Handel,2015,27.330806716796552,ZERO-B,KKW50,PJ
G,Handel,2016,27.947226589809794,ZERO-B,KKW50,PJ
G,Handel,2017,27.61395569156625,ZERO-B,KKW50,PJ
G,Handel,2018,26.672040945841488,ZERO-B,KKW50,PJ
G,Handel,2019,27.056062893981608,ZERO-B,KKW50,PJ
G,Handel,2020,26.997792258459175,ZERO-B,KKW50,PJ
G,Handel,2021,26.643421076667874,ZERO-B,KKW50,PJ
G,Handel,2022,26.235499139826505,ZERO-B,KKW50,PJ
G,Handel,2023,25.84025924430519,ZERO-B,KKW50,PJ
G,Handel,2024,25.490367396559414,ZERO-B,KKW50,PJ
G,Handel,2025,25.08182639397387,ZERO-B,KKW50,PJ
G,Handel,2026,24.744927583044223,ZERO-B,KKW50,PJ
G,Handel,2027,24.37485588815794,ZERO-B,KKW50,PJ
G,Handel,2028,23.889203477666904,ZERO-B,KKW50,PJ
G,Handel,2029,23.494148454568986,ZERO-B,KKW50,PJ
G,Handel,2030,23.149119065016833,ZERO-B,KKW50,PJ
G,Handel,2031,22.876455398034437,ZERO-B,KKW50,PJ
G,Handel,2032,22.602353524141996,ZERO-B,KKW50,PJ
G,Handel,2033,22.236756494774934,ZERO-B,KKW50,PJ
G,Handel,2034,21.83345726572751,ZERO-B,KKW50,PJ
G,Handel,2035,21.509877473361637,ZERO-B,KKW50,PJ
G,Handel,2036,21.047071421949216,ZERO-B,KKW50,PJ
G,Handel,2037,20.532479656119513,ZERO-B,KKW50,PJ
G,Handel,2038,20.077079659604,ZERO-B,KKW50,PJ
G,Handel,2039,19.63986597046668,ZERO-B,KKW50,PJ
G,Handel,2040,19.27909515321732,ZERO-B,KKW50,PJ
G,Handel,2041,18.87817662762023,ZERO-B,KKW50,PJ
G,Handel,2042,18.54951039296161,ZERO-B,KKW50,PJ
G,Handel,2043,18.19791464038124,ZERO-B,KKW50,PJ
G,Handel,2044,17.922909967692696,ZERO-B,KKW50,PJ
G,Handel,2045,17.61744424051285,ZERO-B,KKW50,PJ
G,Handel,2046,17.34535401795092,ZERO-B,KKW50,PJ
G,Handel,2047,17.10035143834314,ZERO-B,KKW50,PJ
G,Handel,2048,16.850656093270885,ZERO-B,KKW50,PJ
G,Handel,2049,16.615402191858475,ZERO-B,KKW50,PJ
G,Handel,2050,16.35817681069991,ZERO-B,KKW50,PJ
G,Handel,2051,16.057011076090557,ZERO-B,KKW50,PJ
G,Handel,2052,15.846496936440076,ZERO-B,KKW50,PJ
G,Handel,2053,15.644371114247553,ZERO-B,KKW50,PJ
G,Handel,2054,15.498471988650026,ZERO-B,KKW50,PJ
G,Handel,2055,15.348126286444213,ZERO-B,KKW50,PJ
G,Handel,2056,15.205401780800074,ZERO-B,KKW50,PJ
G,Handel,2057,15.037135296592538,ZERO-B,KKW50,PJ
G,Handel,2058,14.846242111386857,ZERO-B,KKW50,PJ
G,Handel,2059,14.702655694219338,ZERO-B,KKW50,PJ
G,Handel,2060,14.553308304157506,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2000,14.109275211062856,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2001,14.827043744819912,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2002,14.567889462959545,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2003,15.182012216732513,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2004,15.22546378717082,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2005,15.579358835255771,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2006,15.181463290701078,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2007,14.51422461455888,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2008,14.922425051772809,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2009,14.642272782243593,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2010,15.332389016328616,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2011,14.301323785402682,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2012,14.53838413103125,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2013,14.655872629137185,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2014,13.353725187679338,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2015,13.80146544782161,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2016,13.785684090910477,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2017,13.584758872492802,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2018,13.239653098911774,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2019,13.153430397556395,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2020,13.18826074423216,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2021,12.992064607084803,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2022,12.801242389899443,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2023,12.633176834749781,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2024,12.46304236726943,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2025,12.235616235420405,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2026,12.044457936637656,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2027,11.88588420985463,ZERO-B,KKW50,PJ
