noga,sector,year,value,scenario,variant,unit
G,Handel,2000,11.787497420780678,ZERO-B,KKW50,PJ
G,Handel,2001,12.180243316292405,ZERO-B,KKW50,PJ
G,Handel,2002,12.313695833316807,ZERO-B,KKW50,PJ
G,Handel,2003,12.5527664935686,ZERO-B,KKW50,PJ
G,Handel,2004,12.75326855148319,ZERO-B,KKW50,PJ
G,Handel,2005,12.937779617008506,ZERO-B,KKW50,PJ
G,Handel,2006,13.14855406968407,ZERO-B,KKW50,PJ
G,Handel,2007,13.276475741047422,ZERO-B,KKW50,PJ
G,Handel,2008,13.551793595281367,ZERO-B,KKW50,PJ
G,Handel,2009,13.543060674160682,ZERO-B,KKW50,PJ
G,Handel,2010,13.759210805032314,ZERO-B,KKW50,PJ
G,Handel,2011,13.746963313506942,ZERO-B,KKW50,PJ
G,Handel,2012,13.817089751717429,ZERO-B,KKW50,PJ
G,Handel,2013,13.781048226672745,ZERO-B,KKW50,PJ
G,Handel,2014,13.572138177489695,ZERO-B,KKW50,PJ
G,Handel,2015,13.630379287083773,ZERO-B,KKW50,PJ
G,Handel,2016,13.407342132879462,ZERO-B,KKW50,PJ
G,Handel,2017,13.443323214215916,ZERO-B,KKW50,PJ
G,Handel,2018,13.649347328447554,ZERO-B,KKW50,PJ
G,Handel,2019,13.341297357654398,ZERO-B,KKW50,PJ
G,Handel,2020,13.771190750737905,ZERO-B,KKW50,PJ
G,Handel,2021,13.737464037608756,ZERO-B,KKW50,PJ
G,Handel,2022,13.688468836222604,ZERO-B,KKW50,PJ
G,Handel,2023,13.603963213530506,ZERO-B,KKW50,PJ
G,Handel,2024,13.504414495808366,ZERO-B,KKW50,PJ
G,Handel,2025,13.448901238733047,ZERO-B,KKW50,PJ
G,Handel,2026,13.345059682249236,ZERO-B,KKW50,PJ
G,Handel,2027,13.216233419546661,ZERO-B,KKW50,PJ
G,Handel,2028,13.117805805204185,ZERO-B,KKW50,PJ
G,Handel,2029,12.989408911318378,ZERO-B,KKW50,PJ
G,Handel,2030,12.834138809912314,ZERO-B,KKW50,PJ
G,Handel,2031,12.650248886439398,ZERO-B,KKW50,PJ
G,Handel,2032,12.46023802497328,ZERO-B,KKW50,PJ
G,Handel,2033,12.221312180676216,ZERO-B,KKW50,PJ
G,Handel,2034,12.009786450735552,ZERO-B,KKW50,PJ
G,Handel,2035,11.787752183054629,ZERO-B,KKW50,PJ
G,Handel,2036,11.504887165158944,ZERO-B,KKW50,PJ
G,Handel,2037,11.233279664315038,ZERO-B,KKW50,PJ
G,Handel,2038,10.99500143111497,ZERO-B,KKW50,PJ
G,Handel,2039,10.747809559911984,ZERO-B,KKW50,PJ
G,Handel,2040,10.533472691978854,ZERO-B,KKW50,PJ
G,Handel,2041,10.341546102370822,ZERO-B,KKW50,PJ
G,Handel,2042,10.155837799118686,ZERO-B,KKW50,PJ
G,Handel,2043,9.962389730801704,ZERO-B,KKW50,PJ
G,Handel,2044,9.764352334839746,ZERO-B,KKW50,PJ
G,Handel,2045,9.580255299448519,ZERO-B,KKW50,PJ
G,Handel,2046,9.381840910458841,ZERO-B,KKW50,PJ
G,Handel,2047,9.174166116941716,ZERO-B,KKW50,PJ
G,Handel,2048,8.970437492854963,ZERO-B,KKW50,PJ
G,Handel,2049,8.821728039349875,ZERO-B,KKW50,PJ
G,Handel,2050,8.670295972943741,ZERO-B,KKW50,PJ
G,Handel,2051,8.489360563340956,ZERO-B,KKW50,PJ
G,Handel,2052,8.35252105852602,ZERO-B,KKW50,PJ
G,Handel,2053,8.265222154223615,ZERO-B,KKW50,PJ
G,Handel,2054,8.172997916967027,ZERO-B,KKW50,PJ
G,Handel,2055,8.070058420438698,ZERO-B,KKW50,PJ
G,Handel,2056,7.966037712423267,ZERO-B,KKW50,PJ
G,Handel,2057,7.872588843494435,ZERO-B,KKW50,PJ
G,Handel,2058,7.786740836333745,ZERO-B,KKW50,PJ
G,Handel,2059,7.692513004802889,ZERO-B,KKW50,PJ
G,Handel,2060,7.599547422091867,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2000,8.740348607545261,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2001,9.200770520782571,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2002,9.244999881914229,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2003,9.5841257422125,ZERO-B,KKW50,PJ
"H,J","Verkehr, Nachrichten",2004,9.727626436844357,ZERO-B,KKW50,PJ
