fuel,year,value,scenario,variant,unit
Kohle,2000,5.549999999999999,ZERO-Basis,KKW50,PJ
Kohle,2001,5.900000000000001,ZERO-Basis,KKW50,PJ
Kohle,2002,5.429999999999999,ZERO-Basis,KKW50,PJ
Kohle,2003,5.58,ZERO-Basis,KKW50,PJ
Kohle,2004,5.0200000000000005,ZERO-Basis,KKW50,PJ
Kohle,2005,5.640000000000002,ZERO-Basis,KKW50,PJ
Kohle,2006,6.120000000000002,ZERO-Basis,KKW50,PJ
Kohle,2007,6.9,ZERO-Basis,KKW50,PJ
Kohle,2008,6.16,ZERO-Basis,KKW50,PJ
Kohle,2009,5.790000000000002,ZERO-Basis,KKW50,PJ
Kohle,2010,5.8100000000000005,ZERO-Basis,KKW50,PJ
Kohle,2011,5.4399999999999995,ZERO-Basis,KKW50,PJ
Kohle,2012,4.870000000000002,ZERO-Basis,KKW50,PJ
Kohle,2013,5.270000000000001,ZERO-Basis,KKW50,PJ
Kohle,2014,5.499999999999999,ZERO-Basis,KKW50,PJ
Kohle,2015,5.010000000000002,ZERO-Basis,KKW50,PJ
Kohle,2016,4.590000000000002,ZERO-Basis,KKW50,PJ
Kohle,2017,4.509999999999999,ZERO-Basis,KKW50,PJ
Kohle,2018,4.189999999999999,ZERO-Basis,KKW50,PJ
Kohle,2019,3.7100000000000004,ZERO-Basis,KKW50,PJ
Kohle,2020,4.146462836915381,ZERO-Basis,KKW50,PJ
Kohle,2021,3.9675208894668987,ZERO-Basis,KKW50,PJ
Kohle,2022,3.7816766565678583,ZERO-Basis,KKW50,PJ
Kohle,2023,3.58878137712973,ZERO-Basis,KKW50,PJ
Kohle,2024,3.3889589170884147,ZERO-Basis,KKW50,PJ
Kohle,2025,3.1827201403078975,ZERO-Basis,KKW50,PJ
Kohle,2026,2.9691902837751147,ZERO-Basis,KKW50,PJ
Kohle,2027,2.751576690295148,ZERO-Basis,KKW50,PJ
Kohle,2028,2.5317016404785573,ZERO-Basis,KKW50,PJ
Kohle,2029,2.3117466229800794,ZERO-Basis,KKW50,PJ
Kohle,2030,2.0941313878200454,ZERO-Basis,KKW50,PJ
Kohle,2031,1.881162957225303,ZERO-Basis,KKW50,PJ
Kohle,2032,1.6756312387363559,ZERO-Basis,KKW50,PJ
Kohle,2033,1.4798825504978188,ZERO-Basis,KKW50,PJ
Kohle,2034,1.296022959328541,ZERO-Basis,KKW50,PJ
Kohle,2035,1.125662004322681,ZERO-Basis,KKW50,PJ
Kohle,2036,0.967495212102463,ZERO-Basis,KKW50,PJ
Kohle,2037,0.8245034627818784,ZERO-Basis,KKW50,PJ
Kohle,2038,0.6971801160206691,ZERO-Basis,KKW50,PJ
Kohle,2039,0.5852251035424489,ZERO-Basis,KKW50,PJ
Kohle,2040,0.4880426580617907,ZERO-Basis,KKW50,PJ
Kohle,2041,0.40362596556015923,ZERO-Basis,KKW50,PJ
Kohle,2042,0.33212456255151934,ZERO-Basis,KKW50,PJ
Kohle,2043,0.2723373714753904,ZERO-Basis,KKW50,PJ
Kohle,2044,0.2229795209980541,ZERO-Basis,KKW50,PJ
Kohle,2045,0.18273426573722906,ZERO-Basis,KKW50,PJ
Kohle,2046,0.14949909142705087,ZERO-Basis,KKW50,PJ
Kohle,2047,0.12289560492628729,ZERO-Basis,KKW50,PJ
Kohle,2048,0.10178340072038526,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0851448681184849,ZERO-Basis,KKW50,PJ
Kohle,2050,0.07209040679629805,ZERO-Basis,KKW50,PJ
Kohle,2051,0.0624665117657923,ZERO-Basis,KKW50,PJ
Kohle,2052,0.054757753599448435,ZERO-Basis,KKW50,PJ
Kohle,2053,0.04850901132413274,ZERO-Basis,KKW50,PJ
Kohle,2054,0.043369680418977145,ZERO-Basis,KKW50,PJ
Kohle,2055,0.03908653650913375,ZERO-Basis,KKW50,PJ
Kohle,2056,0.03553834260911477,ZERO-Basis,KKW50,PJ
