purpose,year,value,scenario,variant,unit
Raumwärme,2000,16.656595196234704,WWB,KKW50,PJ
Raumwärme,2001,20.18712625077892,WWB,KKW50,PJ
Raumwärme,2002,15.735944905787184,WWB,KKW50,PJ
Raumwärme,2003,19.514418099050452,WWB,KKW50,PJ
Raumwärme,2004,18.42908027896684,WWB,KKW50,PJ
Raumwärme,2005,18.96033718577867,WWB,KKW50,PJ
Raumwärme,2006,18.601759032896187,WWB,KKW50,PJ
Raumwärme,2007,14.136596952620936,WWB,KKW50,PJ
Raumwärme,2008,17.089984659418707,WWB,KKW50,PJ
Raumwärme,2009,18.30557718241533,WWB,KKW50,PJ
Raumwärme,2010,21.577991568077188,WWB,KKW50,PJ
Raumwärme,2011,13.86484394485283,WWB,KKW50,PJ
Raumwärme,2012,16.247682559227783,WWB,KKW50,PJ
Raumwärme,2013,19.95528973779106,WWB,KKW50,PJ
Raumwärme,2014,11.661572454221025,WWB,KKW50,PJ
Raumwärme,2015,14.389726285206311,WWB,KKW50,PJ
Raumwärme,2016,16.354641285525222,WWB,KKW50,PJ
Raumwärme,2017,15.8172153598603,WWB,KKW50,PJ
Raumwärme,2018,12.579328366842962,WWB,KKW50,PJ
Raumwärme,2019,13.919989011867516,WWB,KKW50,PJ
Raumwärme,2020,13.843744372639984,WWB,KKW50,PJ
Raumwärme,2021,13.367834222438374,WWB,KKW50,PJ
Raumwärme,2022,12.933941089262367,WWB,KKW50,PJ
Raumwärme,2023,12.538858594792433,WWB,KKW50,PJ
Raumwärme,2024,12.17240549214276,WWB,KKW50,PJ
Raumwärme,2025,11.832200648173396,WWB,KKW50,PJ
Raumwärme,2026,11.512289573987884,WWB,KKW50,PJ
Raumwärme,2027,11.21031636222704,WWB,KKW50,PJ
Raumwärme,2028,10.923239916619536,WWB,KKW50,PJ
Raumwärme,2029,10.648617909579153,WWB,KKW50,PJ
Raumwärme,2030,10.387763529196024,WWB,KKW50,PJ
Raumwärme,2031,10.134314503237574,WWB,KKW50,PJ
Raumwärme,2032,9.886981386200002,WWB,KKW50,PJ
Raumwärme,2033,9.645614803238006,WWB,KKW50,PJ
Raumwärme,2034,9.411979174686222,WWB,KKW50,PJ
Raumwärme,2035,9.18645825839859,WWB,KKW50,PJ
Raumwärme,2036,8.966047835562554,WWB,KKW50,PJ
Raumwärme,2037,8.761108965193332,WWB,KKW50,PJ
Raumwärme,2038,8.566747513415773,WWB,KKW50,PJ
Raumwärme,2039,8.381507515557953,WWB,KKW50,PJ
Raumwärme,2040,8.205761941914906,WWB,KKW50,PJ
Raumwärme,2041,8.034849176590471,WWB,KKW50,PJ
Raumwärme,2042,7.871010739130152,WWB,KKW50,PJ
Raumwärme,2043,7.7132546019684245,WWB,KKW50,PJ
Raumwärme,2044,7.560815096093929,WWB,KKW50,PJ
Raumwärme,2045,7.4136368079006285,WWB,KKW50,PJ
Raumwärme,2046,7.270047141392515,WWB,KKW50,PJ
Raumwärme,2047,7.131069969400348,WWB,KKW50,PJ
Raumwärme,2048,6.996007674335359,WWB,KKW50,PJ
Raumwärme,2049,6.864145614130262,WWB,KKW50,PJ
Raumwärme,2050,6.735864819224597,WWB,KKW50,PJ
Raumwärme,2051,6.612111317671483,WWB,KKW50,PJ
Raumwärme,2052,6.494844478643934,WWB,KKW50,PJ
Raumwärme,2053,6.382482532939821,WWB,KKW50,PJ
Raumwärme,2054,6.274207418467978,WWB,KKW50,PJ
Raumwärme,2055,6.168613935140575,WWB,KKW50,PJ
Raumwärme,2056,6.064755689931879,WWB,KKW50,PJ
Raumwärme,2057,5.9613285947414605,WWB,KKW50,PJ
Raumwärme,2058,5.857647922380772,WWB,KKW50,PJ
Raumwärme,2059,5.752605900101129,WWB,KKW50,PJ
Raumwärme,2060,5.645427540359865,WWB,KKW50,PJ
Warmwasser,2000,2.1041204973859076,WWB,KKW50,PJ
Warmwasser,2001,2.4321755672881373,WWB,KKW50,PJ
Warmwasser,2002,2.1932648360520433,WWB,KKW50,PJ
Warmwasser,2003,2.5480554091508227,WWB,KKW50,PJ
Warmwasser,2004,2.5861246821889803,WWB,KKW50,PJ
Warmwasser,2005,2.678738335383336,WWB,KKW50,PJ
Warmwasser,2006,2.856717307515431,WWB,KKW50,PJ
Warmwasser,2007,2.4813296861835936,WWB,KKW50,PJ
Warmwasser,2008,2.884382208348116,WWB,KKW50,PJ
Warmwasser,2009,3.21538432307526,WWB,KKW50,PJ
Warmwasser,2010,3.656335450286043,WWB,KKW50,PJ
Warmwasser,2011,2.349362324492121,WWB,KKW50,PJ
Warmwasser,2012,2.7531282296998585,WWB,KKW50,PJ
Warmwasser,2013,3.3813727778519276,WWB,KKW50,PJ
Warmwasser,2014,1.9760236088667227,WWB,KKW50,PJ
Warmwasser,2015,2.4383022938219243,WWB,KKW50,PJ
Warmwasser,2016,2.7712521121494817,WWB,KKW50,PJ
Warmwasser,2017,2.6801866643893426,WWB,KKW50,PJ
Warmwasser,2018,2.1315349996021573,WWB,KKW50,PJ
Warmwasser,2019,2.3587065149742625,WWB,KKW50,PJ
Warmwasser,2020,2.345787055977239,WWB,KKW50,PJ
Warmwasser,2021,2.2651452989423784,WWB,KKW50,PJ
Warmwasser,2022,2.1916232179154274,WWB,KKW50,PJ
Warmwasser,2023,2.1246775002956766,WWB,KKW50,PJ
Warmwasser,2024,2.0625829598534784,WWB,KKW50,PJ
Warmwasser,2025,2.0049361196719087,WWB,KKW50,PJ
Warmwasser,2026,1.950728006845783,WWB,KKW50,PJ
Warmwasser,2027,1.8995594189021618,WWB,KKW50,PJ
Warmwasser,2028,1.8509150498604314,WWB,KKW50,PJ
Warmwasser,2029,1.8043810535613507,WWB,KKW50,PJ
Warmwasser,2030,1.7601799463661727,WWB,KKW50,PJ
Warmwasser,2031,1.7172336575269802,WWB,KKW50,PJ
Warmwasser,2032,1.675323693803012,WWB,KKW50,PJ
Warmwasser,2033,1.6344247440090034,WWB,KKW50,PJ
Warmwasser,2034,1.5948357846552703,WWB,KKW50,PJ
Warmwasser,2035,1.5566218425280844,WWB,KKW50,PJ
Warmwasser,2036,1.5192738604378415,WWB,KKW50,PJ
Warmwasser,2037,1.48454749331936,WWB,KKW50,PJ
Warmwasser,2038,1.4516134427122258,WWB,KKW50,PJ
Warmwasser,2039,1.420224999128792,WWB,KKW50,PJ
Warmwasser,2040,1.3904453614310606,WWB,KKW50,PJ
Warmwasser,2041,1.361484630735131,WWB,KKW50,PJ
Warmwasser,2042,1.3337226267916382,WWB,KKW50,PJ
Warmwasser,2043,1.3069912530683325,WWB,KKW50,PJ
Warmwasser,2044,1.2811607689106865,WWB,KKW50,PJ
Warmwasser,2045,1.2562217846249717,WWB,KKW50,PJ
Warmwasser,2046,1.2318908831000543,WWB,KKW50,PJ
Warmwasser,2047,1.2083415569668836,WWB,KKW50,PJ
Warmwasser,2048,1.1854555967103364,WWB,KKW50,PJ
Warmwasser,2049,1.1631119080609778,WWB,KKW50,PJ
Warmwasser,2050,1.1413750556516755,WWB,KKW50,PJ
Warmwasser,2051,1.1204053415150208,WWB,KKW50,PJ
Warmwasser,2052,1.100534775743101,WWB,KKW50,PJ
Warmwasser,2053,1.08149533159257,WWB,KKW50,PJ
Warmwasser,2054,1.0631483905356063,WWB,KKW50,PJ
Warmwasser,2055,1.0452558450134204,WWB,KKW50,PJ
Warmwasser,2056,1.0276573311497454,WWB,KKW50,PJ
Warmwasser,2057,1.010131874553298,WWB,KKW50,PJ
Warmwasser,2058,0.9925634499542864,WWB,KKW50,PJ
Warmwasser,2059,0.9747643480953816,WWB,KKW50,PJ
Warmwasser,2060,0.9566032493207755,WWB,KKW50,PJ
Prozesswärme,2000,85.71485653371845,WWB,KKW50,PJ
Prozesswärme,2001,86.75783623379674,WWB,KKW50,PJ
Prozesswärme,2002,84.31705975496897,WWB,KKW50,PJ
Prozesswärme,2003,83.4081373905177,WWB,KKW50,PJ
Prozesswärme,2004,85.57429265130055,WWB,KKW50,PJ
Prozesswärme,2005,86.31018526875533,WWB,KKW50,PJ
Prozesswärme,2006,89.8490123803241,WWB,KKW50,PJ
Prozesswärme,2007,92.9607270923923,WWB,KKW50,PJ
Prozesswärme,2008,91.59255651162563,WWB,KKW50,PJ
Prozesswärme,2009,82.79646618751963,WWB,KKW50,PJ
Prozesswärme,2010,84.11041244859275,WWB,KKW50,PJ
Prozesswärme,2011,86.60000191728146,WWB,KKW50,PJ
Prozesswärme,2012,86.66431795979841,WWB,KKW50,PJ
Prozesswärme,2013,84.10576140298917,WWB,KKW50,PJ
Prozesswärme,2014,87.60593126637673,WWB,KKW50,PJ
Prozesswärme,2015,81.96280034427647,WWB,KKW50,PJ
Prozesswärme,2016,80.35423853337875,WWB,KKW50,PJ
Prozesswärme,2017,81.94175180424952,WWB,KKW50,PJ
Prozesswärme,2018,81.86168696126693,WWB,KKW50,PJ
Prozesswärme,2019,80.16650248011652,WWB,KKW50,PJ
Prozesswärme,2020,80.76190780696817,WWB,KKW50,PJ
Prozesswärme,2021,80.5695746117036,WWB,KKW50,PJ
Prozesswärme,2022,80.38543644783852,WWB,KKW50,PJ
