purpose,year,value,scenario,variant,unit
Raumwärme,2000,0.583856143386294,WWB,KKW50,PJ
Raumwärme,2001,0.7196883083842817,WWB,KKW50,PJ
Raumwärme,2002,0.54935871523073,WWB,KKW50,PJ
Raumwärme,2003,0.715784247925008,WWB,KKW50,PJ
Raumwärme,2004,0.6384277859504051,WWB,KKW50,PJ
Raumwärme,2005,0.6860683551905339,WWB,KKW50,PJ
Raumwärme,2006,0.6531230963835002,WWB,KKW50,PJ
Raumwärme,2007,0.46615453411922786,WWB,KKW50,PJ
Raumwärme,2008,0.5855042687415634,WWB,KKW50,PJ
Raumwärme,2009,0.6344949246626677,WWB,KKW50,PJ
Raumwärme,2010,0.7845432753564283,WWB,KKW50,PJ
Raumwärme,2011,0.47084324109131087,WWB,KKW50,PJ
Raumwärme,2012,0.5643138386643173,WWB,KKW50,PJ
Raumwärme,2013,0.7201095071385899,WWB,KKW50,PJ
Raumwärme,2014,0.3706271871719502,WWB,KKW50,PJ
Raumwärme,2015,0.48946922519136593,WWB,KKW50,PJ
Raumwärme,2016,0.5896714377614709,WWB,KKW50,PJ
Raumwärme,2017,0.5469901363121613,WWB,KKW50,PJ
Raumwärme,2018,0.39768445802958247,WWB,KKW50,PJ
Raumwärme,2019,0.4541249417420407,WWB,KKW50,PJ
Raumwärme,2020,0.4342304478666336,WWB,KKW50,PJ
Raumwärme,2021,0.41916103389300885,WWB,KKW50,PJ
Raumwärme,2022,0.4054397464985963,WWB,KKW50,PJ
Raumwärme,2023,0.3929657749030817,WWB,KKW50,PJ
Raumwärme,2024,0.3813986852757069,WWB,KKW50,PJ
Raumwärme,2025,0.37066569842313196,WWB,KKW50,PJ
Raumwärme,2026,0.3605892937043174,WWB,KKW50,PJ
Raumwärme,2027,0.3510946910040887,WWB,KKW50,PJ
Raumwärme,2028,0.34208245152388594,WWB,KKW50,PJ
Raumwärme,2029,0.33346514941793,WWB,KKW50,PJ
Raumwärme,2030,0.3252752991767549,WWB,KKW50,PJ
Raumwärme,2031,0.317305430730421,WWB,KKW50,PJ
Raumwärme,2032,0.3095194732722165,WWB,KKW50,PJ
Raumwärme,2033,0.30192058056177856,WWB,KKW50,PJ
Raumwärme,2034,0.2945719693568658,WWB,KKW50,PJ
Raumwärme,2035,0.28748301580794816,WWB,KKW50,PJ
Raumwärme,2036,0.28054025068022165,WWB,KKW50,PJ
Raumwärme,2037,0.27409073078262214,WWB,KKW50,PJ
Raumwärme,2038,0.2679744992892829,WWB,KKW50,PJ
Raumwärme,2039,0.2621501443766911,WWB,KKW50,PJ
Raumwärme,2040,0.2566297691642687,WWB,KKW50,PJ
Raumwärme,2041,0.2512633350424125,WWB,KKW50,PJ
