noga,sector,year,value,scenario,variant,unit
C10-C12,"Nahrung, Tabak",2000,16.887571045582337,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2001,17.124460046186922,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2002,16.195760265907044,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2003,15.62465925290166,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2004,16.17525056103312,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2005,16.136473206701922,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2006,17.915557381572334,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2007,17.75387620507948,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2008,18.75671223438784,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2009,21.235806688079577,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2010,22.077323965068498,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2011,20.140404637632642,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2012,20.09129936805631,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2013,22.9668323942678,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2014,22.39686490081709,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2015,21.41816070677553,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2016,20.77681704138232,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2017,21.96766972954592,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2018,19.5501976834169,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2019,20.531018886057357,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2020,20.86954019865086,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2021,20.647664235352945,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2022,20.43884373262152,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2023,20.244599588419593,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2024,20.06347614450427,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2025,19.89275682235468,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2026,19.723409048057704,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2027,19.5543556209701,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2028,19.384571085704593,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2029,19.216864478296245,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2030,19.05723786236813,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2031,18.908322772688564,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2032,18.770429520206125,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2033,18.64283630074844,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2034,18.524498049989308,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2035,18.415468800797683,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2036,18.317277220887,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2037,18.228783292293077,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2038,18.148657316602755,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2039,18.07289193906605,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2040,17.99855651008216,WWB,KKW50,PJ
C10-C12,"Nahrung, Tabak",2041,17.91783878500486,WWB,KKW50,PJ
