temperature,year,value,scenario,variant,unit
Prozesswärme (<200°C),2000,28.571271032122247,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2001,27.95180341999947,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2002,30.060054519757642,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2003,26.805129130651316,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2004,26.982908878352028,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2005,26.68871161153436,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2006,27.863350524679216,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2007,31.474918843002623,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2008,30.009202987307777,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2009,26.31730642227223,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2010,25.086883902436742,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2011,25.499824891996074,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2012,23.22969367587058,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2013,23.020806156803232,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2014,25.62499966533131,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2015,22.417885000635398,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2016,20.462426214662273,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2017,21.76118564022387,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2018,22.453672353154502,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2019,22.447377879834836,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2020,21.842641240725275,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2021,21.566397243042093,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2022,21.287172126245835,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2023,21.007564576360355,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2024,20.731062686160726,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2025,20.458125109219903,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2026,20.170098087893766,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2027,19.8818811355374,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2028,19.593007513082597,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2029,19.305020193449845,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2030,19.020528930645654,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2031,18.73121316886189,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2032,18.45082402959005,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2033,18.18050217197614,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2034,17.921113437697148,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2035,17.672576622276345,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2036,17.42141659154264,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2037,17.18093116120966,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2038,16.94799237804597,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2039,16.72018138623894,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2040,16.494939882511765,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2041,16.263056792001002,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2042,16.031593015546896,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2043,15.800704280594594,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2044,15.571578662413446,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2045,15.345734593144527,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2046,15.117952857615114,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2047,14.894864558574186,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2048,14.676217900347655,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2049,14.462303326284928,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2050,14.25335791292148,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2051,14.045876744019985,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2052,13.844838602435047,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2053,13.65033668063946,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2054,13.462617109411138,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2055,13.281322279835944,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2056,13.104648559703145,ZERO-B,KKW50,PJ
Prozesswärme (<200°C),2057,12.932723872393394,ZERO-B,KKW50,PJ
