noga,sector,year,value,scenario,variant,unit
C10-C12,"Nahrung, Tabak",2000,6.4158250560753745,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2001,6.407863850611875,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2002,5.930602229681311,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2003,5.802882389645201,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2004,5.9032532232384725,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2005,5.873962372328604,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2006,6.387251940531737,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2007,6.510318748693172,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2008,7.395551611622466,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2009,8.254814294774306,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2010,8.342891101134713,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2011,8.187723912804817,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2012,8.374099809552282,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2013,9.38242355174558,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2014,9.258908277771395,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2015,9.206059919612946,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2016,9.185814723662194,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2017,9.628509058896501,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2018,8.04978415936247,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2019,8.16140521748867,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2020,8.157702104668898,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2021,8.046187901671905,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2022,7.937417920790867,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2023,7.831478144934158,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2024,7.728050239499503,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2025,7.627156305447351,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2026,7.526541334062216,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2027,7.427776442689568,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2028,7.330618335657852,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2029,7.234955578125061,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2030,7.1407808883720145,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2031,7.048355377138034,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2032,6.956763619123533,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2033,6.865671756689869,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2034,6.774707029487872,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2035,6.683795616043179,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2036,6.593194739298235,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2037,6.501840611378945,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2038,6.410945664458234,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2039,6.320586523881769,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2040,6.230919168543094,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2041,6.139576343671184,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2042,6.049068104730479,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2043,5.959409358002937,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2044,5.870577532708334,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2045,5.782568229356028,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2046,5.69352359144296,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2047,5.6055337294359155,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2048,5.518603573172524,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2049,5.432752761295756,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2050,5.3479985252349405,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2051,5.263146557349102,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2052,5.179545340354078,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2053,5.097198164601673,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2054,5.016114373360962,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2055,4.936302272599469,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2056,4.8581825526318285,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2057,4.7813107861926785,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2058,4.7056517528888575,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2059,4.631187231953677,ZERO-B,KKW50,PJ
C10-C12,"Nahrung, Tabak",2060,4.55788704023876,ZERO-B,KKW50,PJ
C13-C15,Textilien,2000,1.7153490416748745,ZERO-B,KKW50,PJ
C13-C15,Textilien,2001,1.8041484120554387,ZERO-B,KKW50,PJ
C13-C15,Textilien,2002,1.7183916522556795,ZERO-B,KKW50,PJ
C13-C15,Textilien,2003,1.4900764322525448,ZERO-B,KKW50,PJ
C13-C15,Textilien,2004,1.4550116186542916,ZERO-B,KKW50,PJ
C13-C15,Textilien,2005,1.3771471507700908,ZERO-B,KKW50,PJ
C13-C15,Textilien,2006,1.309607549787685,ZERO-B,KKW50,PJ
C13-C15,Textilien,2007,1.2379217913829441,ZERO-B,KKW50,PJ
C13-C15,Textilien,2008,1.284557153233132,ZERO-B,KKW50,PJ
C13-C15,Textilien,2009,1.0033036713463133,ZERO-B,KKW50,PJ
C13-C15,Textilien,2010,0.9582417769551324,ZERO-B,KKW50,PJ
C13-C15,Textilien,2011,0.9867640646589068,ZERO-B,KKW50,PJ
C13-C15,Textilien,2012,0.9710562590364245,ZERO-B,KKW50,PJ
C13-C15,Textilien,2013,0.9450152199045516,ZERO-B,KKW50,PJ
C13-C15,Textilien,2014,0.8776925161728242,ZERO-B,KKW50,PJ
C13-C15,Textilien,2015,0.8749983416927686,ZERO-B,KKW50,PJ
C13-C15,Textilien,2016,0.6634115733376531,ZERO-B,KKW50,PJ
C13-C15,Textilien,2017,0.6788448771726254,ZERO-B,KKW50,PJ
C13-C15,Textilien,2018,0.7808661941838891,ZERO-B,KKW50,PJ
C13-C15,Textilien,2019,0.7134287370683347,ZERO-B,KKW50,PJ
C13-C15,Textilien,2020,0.6794968579771226,ZERO-B,KKW50,PJ
C13-C15,Textilien,2021,0.642598115679449,ZERO-B,KKW50,PJ
C13-C15,Textilien,2022,0.6029705897087312,ZERO-B,KKW50,PJ
C13-C15,Textilien,2023,0.5650506382678941,ZERO-B,KKW50,PJ
C13-C15,Textilien,2024,0.5314915269652617,ZERO-B,KKW50,PJ
C13-C15,Textilien,2025,0.5024359762802615,ZERO-B,KKW50,PJ
C13-C15,Textilien,2026,0.47545775763399684,ZERO-B,KKW50,PJ
C13-C15,Textilien,2027,0.45041669609478435,ZERO-B,KKW50,PJ
C13-C15,Textilien,2028,0.42674889749396483,ZERO-B,KKW50,PJ
C13-C15,Textilien,2029,0.40466053322726653,ZERO-B,KKW50,PJ
C13-C15,Textilien,2030,0.38447672851510073,ZERO-B,KKW50,PJ
C13-C15,Textilien,2031,0.36570486569302996,ZERO-B,KKW50,PJ
C13-C15,Textilien,2032,0.3486440808316852,ZERO-B,KKW50,PJ
C13-C15,Textilien,2033,0.3324374163134724,ZERO-B,KKW50,PJ
C13-C15,Textilien,2034,0.3165749682912537,ZERO-B,KKW50,PJ
C13-C15,Textilien,2035,0.30086569507861366,ZERO-B,KKW50,PJ
C13-C15,Textilien,2036,0.28640457060854135,ZERO-B,KKW50,PJ
C13-C15,Textilien,2037,0.27079565520425036,ZERO-B,KKW50,PJ
C13-C15,Textilien,2038,0.2547722941692572,ZERO-B,KKW50,PJ
C13-C15,Textilien,2039,0.23880852326996466,ZERO-B,KKW50,PJ
