fuel,year,value,scenario,variant,unit
Total Diesel,2000,55.90766152650842,ZERO-Basis,KKW50,PJ
Total Diesel,2001,56.925126769663734,ZERO-Basis,KKW50,PJ
Total Diesel,2002,58.907712526203944,ZERO-Basis,KKW50,PJ
Total Diesel,2003,62.515243603842016,ZERO-Basis,KKW50,PJ
Total Diesel,2004,67.07824971431204,ZERO-Basis,KKW50,PJ
Total Diesel,2005,73.42916808949435,ZERO-Basis,KKW50,PJ
Total Diesel,2006,79.50828606537965,ZERO-Basis,KKW50,PJ
Total Diesel,2007,85.4542020172191,ZERO-Basis,KKW50,PJ
Total Diesel,2008,93.80031171449006,ZERO-Basis,KKW50,PJ
Total Diesel,2009,95.10279051309972,ZERO-Basis,KKW50,PJ
Total Diesel,2010,98.81225571748463,ZERO-Basis,KKW50,PJ
Total Diesel,2011,101.36143474248578,ZERO-Basis,KKW50,PJ
Total Diesel,2012,107.66454571037892,ZERO-Basis,KKW50,PJ
Total Diesel,2013,112.42394129345993,ZERO-Basis,KKW50,PJ
Total Diesel,2014,115.52868442803471,ZERO-Basis,KKW50,PJ
Total Diesel,2015,114.80649382224476,ZERO-Basis,KKW50,PJ
Total Diesel,2016,117.10210220504895,ZERO-Basis,KKW50,PJ
Total Diesel,2017,118.73094994115097,ZERO-Basis,KKW50,PJ
Total Diesel,2018,121.96547814163587,ZERO-Basis,KKW50,PJ
Total Diesel,2019,122.36445234361456,ZERO-Basis,KKW50,PJ
Total Diesel,2020,121.91048768545856,ZERO-Basis,KKW50,PJ
Total Diesel,2021,122.69391761511997,ZERO-Basis,KKW50,PJ
Total Diesel,2022,122.9938128189537,ZERO-Basis,KKW50,PJ
Total Diesel,2023,122.80689911733529,ZERO-Basis,KKW50,PJ
Total Diesel,2024,122.16895272524387,ZERO-Basis,KKW50,PJ
Total Diesel,2025,121.09893579748996,ZERO-Basis,KKW50,PJ
Total Diesel,2026,119.69886438028614,ZERO-Basis,KKW50,PJ
Total Diesel,2027,117.5323884378892,ZERO-Basis,KKW50,PJ
Total Diesel,2028,114.92114594595947,ZERO-Basis,KKW50,PJ
Total Diesel,2029,111.9203680545575,ZERO-Basis,KKW50,PJ
Total Diesel,2030,108.6058195982402,ZERO-Basis,KKW50,PJ
Total Diesel,2031,105.03269217991581,ZERO-Basis,KKW50,PJ
Total Diesel,2032,101.27245993139564,ZERO-Basis,KKW50,PJ
Total Diesel,2033,97.33556097254927,ZERO-Basis,KKW50,PJ
Total Diesel,2034,93.24926245250657,ZERO-Basis,KKW50,PJ
Total Diesel,2035,89.03882986342822,ZERO-Basis,KKW50,PJ
Total Diesel,2036,84.58542427910518,ZERO-Basis,KKW50,PJ
Total Diesel,2037,79.90216431295877,ZERO-Basis,KKW50,PJ
Total Diesel,2038,75.19135178035411,ZERO-Basis,KKW50,PJ
Total Diesel,2039,70.50438180465292,ZERO-Basis,KKW50,PJ
Total Diesel,2040,65.86571159485071,ZERO-Basis,KKW50,PJ
Total Diesel,2041,61.47446934462639,ZERO-Basis,KKW50,PJ
Total Diesel,2042,57.28845953809471,ZERO-Basis,KKW50,PJ
Total Diesel,2043,53.3083648252618,ZERO-Basis,KKW50,PJ
Total Diesel,2044,49.52892258179246,ZERO-Basis,KKW50,PJ
Total Diesel,2045,46.03732943626707,ZERO-Basis,KKW50,PJ
Total Diesel,2046,42.74050838212055,ZERO-Basis,KKW50,PJ
Total Diesel,2047,39.66227842541002,ZERO-Basis,KKW50,PJ
Total Diesel,2048,36.77464823196523,ZERO-Basis,KKW50,PJ
Total Diesel,2049,34.08514520355348,ZERO-Basis,KKW50,PJ
Total Diesel,2050,31.589455678623487,ZERO-Basis,KKW50,PJ
Total Diesel,2051,29.23595060331424,ZERO-Basis,KKW50,PJ
Total Diesel,2052,27.065491931909317,ZERO-Basis,KKW50,PJ
Total Diesel,2053,25.066777014701234,ZERO-Basis,KKW50,PJ
Total Diesel,2054,23.225425124340283,ZERO-Basis,KKW50,PJ
Total Diesel,2055,21.52665377850598,ZERO-Basis,KKW50,PJ
Total Diesel,2056,19.902717913342606,ZERO-Basis,KKW50,PJ
Total Diesel,2057,18.36496497085445,ZERO-Basis,KKW50,PJ
Total Diesel,2058,16.89711179142292,ZERO-Basis,KKW50,PJ
Total Diesel,2059,15.488193284168332,ZERO-Basis,KKW50,PJ
Total Diesel,2060,14.127986593706396,ZERO-Basis,KKW50,PJ
Diesel,2000,55.84805204733471,ZERO-Basis,KKW50,PJ
Diesel,2001,56.860882844638056,ZERO-Basis,KKW50,PJ
Diesel,2002,58.84746479866668,ZERO-Basis,KKW50,PJ
Diesel,2003,62.43374030868839,ZERO-Basis,KKW50,PJ
Diesel,2004,66.96084319551193,ZERO-Basis,KKW50,PJ
Diesel,2005,73.18428056333715,ZERO-Basis,KKW50,PJ
Diesel,2006,79.16837370399598,ZERO-Basis,KKW50,PJ
Diesel,2007,85.0009108214591,ZERO-Basis,KKW50,PJ
Diesel,2008,93.30679417051476,ZERO-Basis,KKW50,PJ
Diesel,2009,94.7490471074368,ZERO-Basis,KKW50,PJ
Diesel,2010,98.3930687680514,ZERO-Basis,KKW50,PJ
Diesel,2011,101.02292979294359,ZERO-Basis,KKW50,PJ
Diesel,2012,107.27378510546343,ZERO-Basis,KKW50,PJ
Diesel,2013,112.07606428216093,ZERO-Basis,KKW50,PJ
Diesel,2014,114.8700936042358,ZERO-Basis,KKW50,PJ
Diesel,2015,113.36537822030081,ZERO-Basis,KKW50,PJ
Diesel,2016,114.454603167313,ZERO-Basis,KKW50,PJ
Diesel,2017,114.30285953292864,ZERO-Basis,KKW50,PJ
Diesel,2018,115.74802808655853,ZERO-Basis,KKW50,PJ
Diesel,2019,115.84311298184076,ZERO-Basis,KKW50,PJ
Diesel,2020,116.15573351361067,ZERO-Basis,KKW50,PJ
Diesel,2021,118.46067304412122,ZERO-Basis,KKW50,PJ
Diesel,2022,119.12672365026371,ZERO-Basis,KKW50,PJ
Diesel,2023,119.27534249593702,ZERO-Basis,KKW50,PJ
Diesel,2024,118.94202671863823,ZERO-Basis,KKW50,PJ
Diesel,2025,118.14535920103482,ZERO-Basis,KKW50,PJ
Diesel,2026,116.99786708470411,ZERO-Basis,KKW50,PJ
Diesel,2027,115.04332549661707,ZERO-Basis,KKW50,PJ
Diesel,2028,112.61519515371037,ZERO-Basis,KKW50,PJ
Diesel,2029,109.76945244485454,ZERO-Basis,KKW50,PJ
Diesel,2030,106.58351157232741,ZERO-Basis,KKW50,PJ
Diesel,2031,103.08265729667555,ZERO-Basis,KKW50,PJ
Diesel,2032,99.08729907194933,ZERO-Basis,KKW50,PJ
Diesel,2033,94.91284842377722,ZERO-Basis,KKW50,PJ
Diesel,2034,90.58635010404782,ZERO-Basis,KKW50,PJ
Diesel,2035,86.13046639938122,ZERO-Basis,KKW50,PJ
Diesel,2036,81.42855569440879,ZERO-Basis,KKW50,PJ
Diesel,2037,76.48468344616644,ZERO-Basis,KKW50,PJ
Diesel,2038,71.51087701987956,ZERO-Basis,KKW50,PJ
Diesel,2039,66.56082842844448,ZERO-Basis,KKW50,PJ
Diesel,2040,61.65913079028737,ZERO-Basis,KKW50,PJ
Diesel,2041,55.74866762838375,ZERO-Basis,KKW50,PJ
Diesel,2042,50.030392761595245,ZERO-Basis,KKW50,PJ
