fuel,year,value,scenario,variant,unit
Flugpetrol,2000,63.86380901544269,ZERO-Basis,KKW50,PJ
Flugpetrol,2001,60.26667281520467,ZERO-Basis,KKW50,PJ
Flugpetrol,2002,55.648760267554465,ZERO-Basis,KKW50,PJ
Flugpetrol,2003,49.93996179946986,ZERO-Basis,KKW50,PJ
Flugpetrol,2004,47.08964346570859,ZERO-Basis,KKW50,PJ
Flugpetrol,2005,47.86240150510902,ZERO-Basis,KKW50,PJ
Flugpetrol,2006,50.32958051637056,ZERO-Basis,KKW50,PJ
Flugpetrol,2007,53.80149144192872,ZERO-Basis,KKW50,PJ
Flugpetrol,2008,58.12540259493026,ZERO-Basis,KKW50,PJ
Flugpetrol,2009,55.507510281421276,ZERO-Basis,KKW50,PJ
Flugpetrol,2010,58.42484143721866,ZERO-Basis,KKW50,PJ
Flugpetrol,2011,62.651484552140836,ZERO-Basis,KKW50,PJ
Flugpetrol,2012,63.98542787697034,ZERO-Basis,KKW50,PJ
Flugpetrol,2013,64.803826208106,ZERO-Basis,KKW50,PJ
Flugpetrol,2014,65.1121019527423,ZERO-Basis,KKW50,PJ
Flugpetrol,2015,67.4291823186201,ZERO-Basis,KKW50,PJ
Flugpetrol,2016,70.70889184227515,ZERO-Basis,KKW50,PJ
Flugpetrol,2017,72.67107402241975,ZERO-Basis,KKW50,PJ
Flugpetrol,2018,76.8559626040873,ZERO-Basis,KKW50,PJ
Flugpetrol,2019,77.66434431105003,ZERO-Basis,KKW50,PJ
Flugpetrol,2020,75.53223600881854,ZERO-Basis,KKW50,PJ
Flugpetrol,2021,76.39028220987873,ZERO-Basis,KKW50,PJ
Flugpetrol,2022,77.25807581578296,ZERO-Basis,KKW50,PJ
Flugpetrol,2023,78.13572755705023,ZERO-Basis,KKW50,PJ
Flugpetrol,2024,79.02334942209833,ZERO-Basis,KKW50,PJ
Flugpetrol,2025,79.9210546715334,ZERO-Basis,KKW50,PJ
Flugpetrol,2026,80.82895785260199,ZERO-Basis,KKW50,PJ
Flugpetrol,2027,81.79028748391869,ZERO-Basis,KKW50,PJ
Flugpetrol,2028,82.53134482131784,ZERO-Basis,KKW50,PJ
