mode,year,value,scenario,variant,unit
Personenverkehr,2000,161.65255992972394,ZERO-Basis,KKW50,PJ
Personenverkehr,2001,165.99530069658385,ZERO-Basis,KKW50,PJ
Personenverkehr,2002,164.91974278978373,ZERO-Basis,KKW50,PJ
Personenverkehr,2003,165.51378152919114,ZERO-Basis,KKW50,PJ
Personenverkehr,2004,164.915271998071,ZERO-Basis,KKW50,PJ
Personenverkehr,2005,164.15968910908566,ZERO-Basis,KKW50,PJ
Personenverkehr,2006,163.25340054797584,ZERO-Basis,KKW50,PJ
Personenverkehr,2007,163.0626878751461,ZERO-Basis,KKW50,PJ
Personenverkehr,2008,167.24052061644372,ZERO-Basis,KKW50,PJ
Personenverkehr,2009,168.46188757140658,ZERO-Basis,KKW50,PJ
Personenverkehr,2010,169.83377015236766,ZERO-Basis,KKW50,PJ
Personenverkehr,2011,169.47632615502044,ZERO-Basis,KKW50,PJ
Personenverkehr,2012,170.7596894326578,ZERO-Basis,KKW50,PJ
Personenverkehr,2013,169.03914351661248,ZERO-Basis,KKW50,PJ
Personenverkehr,2014,168.31011027185806,ZERO-Basis,KKW50,PJ
Personenverkehr,2015,168.02264530856735,ZERO-Basis,KKW50,PJ
Personenverkehr,2016,168.26792189468935,ZERO-Basis,KKW50,PJ
Personenverkehr,2017,166.82005944462065,ZERO-Basis,KKW50,PJ
Personenverkehr,2018,167.41116913436213,ZERO-Basis,KKW50,PJ
Personenverkehr,2019,167.36329398390154,ZERO-Basis,KKW50,PJ
Personenverkehr,2020,162.63675197691614,ZERO-Basis,KKW50,PJ
Personenverkehr,2021,161.5522279918963,ZERO-Basis,KKW50,PJ
Personenverkehr,2022,160.01495981102596,ZERO-Basis,KKW50,PJ
Personenverkehr,2023,158.1584714598617,ZERO-Basis,KKW50,PJ
Personenverkehr,2024,156.01276115858636,ZERO-Basis,KKW50,PJ
Personenverkehr,2025,153.59377718945163,ZERO-Basis,KKW50,PJ
Personenverkehr,2026,151.40998737913375,ZERO-Basis,KKW50,PJ
Personenverkehr,2027,148.4350378305312,ZERO-Basis,KKW50,PJ
Personenverkehr,2028,145.27948778390126,ZERO-Basis,KKW50,PJ
Personenverkehr,2029,141.99278771787044,ZERO-Basis,KKW50,PJ
Personenverkehr,2030,138.6471203483511,ZERO-Basis,KKW50,PJ
Personenverkehr,2031,135.2879525046662,ZERO-Basis,KKW50,PJ
Personenverkehr,2032,131.9098369131021,ZERO-Basis,KKW50,PJ
Personenverkehr,2033,128.51436235541638,ZERO-Basis,KKW50,PJ
Personenverkehr,2034,125.1217940542443,ZERO-Basis,KKW50,PJ
Personenverkehr,2035,121.7525059822372,ZERO-Basis,KKW50,PJ
Personenverkehr,2036,118.53498413716741,ZERO-Basis,KKW50,PJ
Personenverkehr,2037,115.02370160667303,ZERO-Basis,KKW50,PJ
Personenverkehr,2038,111.60763309333333,ZERO-Basis,KKW50,PJ
Personenverkehr,2039,108.33445740169307,ZERO-Basis,KKW50,PJ
Personenverkehr,2040,105.22067416851256,ZERO-Basis,KKW50,PJ
Personenverkehr,2041,102.35331830782576,ZERO-Basis,KKW50,PJ
Personenverkehr,2042,99.68265602942374,ZERO-Basis,KKW50,PJ
Personenverkehr,2043,97.20519129843413,ZERO-Basis,KKW50,PJ
Personenverkehr,2044,94.91212877010695,ZERO-Basis,KKW50,PJ
Personenverkehr,2045,92.80023117220891,ZERO-Basis,KKW50,PJ
Personenverkehr,2046,90.87785514356716,ZERO-Basis,KKW50,PJ
Personenverkehr,2047,89.07312637844971,ZERO-Basis,KKW50,PJ
Personenverkehr,2048,87.44566503266353,ZERO-Basis,KKW50,PJ
Personenverkehr,2049,85.94800552758022,ZERO-Basis,KKW50,PJ
Personenverkehr,2050,84.57372438659037,ZERO-Basis,KKW50,PJ
Personenverkehr,2051,83.30822932402066,ZERO-Basis,KKW50,PJ
Personenverkehr,2052,82.17117383568521,ZERO-Basis,KKW50,PJ
Personenverkehr,2053,81.15306423098676,ZERO-Basis,KKW50,PJ
Personenverkehr,2054,80.2423577486042,ZERO-Basis,KKW50,PJ
Personenverkehr,2055,79.43027529918035,ZERO-Basis,KKW50,PJ
Personenverkehr,2056,78.65475867792398,ZERO-Basis,KKW50,PJ
Personenverkehr,2057,77.95046607916659,ZERO-Basis,KKW50,PJ
