mode,year,value,scenario,variant,unit
Personenverkehr,2000,6.271223635242884,ZERO-Basis,KKW50,PJ
Personenverkehr,2001,6.401507881819203,ZERO-Basis,KKW50,PJ
Personenverkehr,2002,6.613699253514809,ZERO-Basis,KKW50,PJ
Personenverkehr,2003,7.089749363541895,ZERO-Basis,KKW50,PJ
Personenverkehr,2004,6.5574417611039095,ZERO-Basis,KKW50,PJ
Personenverkehr,2005,6.676530222602271,ZERO-Basis,KKW50,PJ
Personenverkehr,2006,6.98268442549544,ZERO-Basis,KKW50,PJ
Personenverkehr,2007,6.978816307642097,ZERO-Basis,KKW50,PJ
Personenverkehr,2008,7.557765336906254,ZERO-Basis,KKW50,PJ
Personenverkehr,2009,7.645705894828391,ZERO-Basis,KKW50,PJ
Personenverkehr,2010,7.913743705713931,ZERO-Basis,KKW50,PJ
Personenverkehr,2011,7.761292203542008,ZERO-Basis,KKW50,PJ
Personenverkehr,2012,8.045091489811487,ZERO-Basis,KKW50,PJ
Personenverkehr,2013,8.247847853534568,ZERO-Basis,KKW50,PJ
Personenverkehr,2014,8.16436776132183,ZERO-Basis,KKW50,PJ
Personenverkehr,2015,8.510466112621893,ZERO-Basis,KKW50,PJ
Personenverkehr,2016,8.919342161641136,ZERO-Basis,KKW50,PJ
Personenverkehr,2017,8.838172923623398,ZERO-Basis,KKW50,PJ
Personenverkehr,2018,8.656462071404746,ZERO-Basis,KKW50,PJ
Personenverkehr,2019,8.507979038369047,ZERO-Basis,KKW50,PJ
Personenverkehr,2020,9.880545001646816,ZERO-Basis,KKW50,PJ
Personenverkehr,2021,10.131132398255826,ZERO-Basis,KKW50,PJ
Personenverkehr,2022,10.459293661754558,ZERO-Basis,KKW50,PJ
Personenverkehr,2023,10.865036085997756,ZERO-Basis,KKW50,PJ
Personenverkehr,2024,11.350444675217465,ZERO-Basis,KKW50,PJ
Personenverkehr,2025,11.916769666359885,ZERO-Basis,KKW50,PJ
Personenverkehr,2026,12.63152247064555,ZERO-Basis,KKW50,PJ
Personenverkehr,2027,13.487678515208337,ZERO-Basis,KKW50,PJ
Personenverkehr,2028,14.494237990594069,ZERO-Basis,KKW50,PJ
Personenverkehr,2029,15.652470887480474,ZERO-Basis,KKW50,PJ
Personenverkehr,2030,16.963148004502372,ZERO-Basis,KKW50,PJ
Personenverkehr,2031,18.328616500433125,ZERO-Basis,KKW50,PJ
Personenverkehr,2032,19.81038743415611,ZERO-Basis,KKW50,PJ
Personenverkehr,2033,21.404693511197696,ZERO-Basis,KKW50,PJ
Personenverkehr,2034,23.101653047303774,ZERO-Basis,KKW50,PJ
Personenverkehr,2035,24.894250331668882,ZERO-Basis,KKW50,PJ
Personenverkehr,2036,26.826443097049967,ZERO-Basis,KKW50,PJ
Personenverkehr,2037,28.744363592974494,ZERO-Basis,KKW50,PJ
Personenverkehr,2038,30.67848981613465,ZERO-Basis,KKW50,PJ
Personenverkehr,2039,32.61844741586274,ZERO-Basis,KKW50,PJ
Personenverkehr,2040,34.55731842343424,ZERO-Basis,KKW50,PJ
Personenverkehr,2041,36.420180574857575,ZERO-Basis,KKW50,PJ
Personenverkehr,2042,38.20359895754519,ZERO-Basis,KKW50,PJ
Personenverkehr,2043,39.904348712177566,ZERO-Basis,KKW50,PJ
Personenverkehr,2044,41.52053288917943,ZERO-Basis,KKW50,PJ
Personenverkehr,2045,43.05074346738982,ZERO-Basis,KKW50,PJ
Personenverkehr,2046,44.521508729797226,ZERO-Basis,KKW50,PJ
Personenverkehr,2047,45.93177838032656,ZERO-Basis,KKW50,PJ
Personenverkehr,2048,47.231988720675744,ZERO-Basis,KKW50,PJ
Personenverkehr,2049,48.44953254027274,ZERO-Basis,KKW50,PJ
Personenverkehr,2050,49.58596911270621,ZERO-Basis,KKW50,PJ
Personenverkehr,2051,50.59058748404315,ZERO-Basis,KKW50,PJ
Personenverkehr,2052,51.50099645772625,ZERO-Basis,KKW50,PJ
Personenverkehr,2053,52.3221475841899,ZERO-Basis,KKW50,PJ
Personenverkehr,2054,53.059072990319684,ZERO-Basis,KKW50,PJ
Personenverkehr,2055,53.71796947927291,ZERO-Basis,KKW50,PJ
Personenverkehr,2056,54.25855888439323,ZERO-Basis,KKW50,PJ
Personenverkehr,2057,54.73336694013564,ZERO-Basis,KKW50,PJ
Personenverkehr,2058,55.14889030590195,ZERO-Basis,KKW50,PJ
Personenverkehr,2059,55.51030294952212,ZERO-Basis,KKW50,PJ
Personenverkehr,2060,55.823965842955275,ZERO-Basis,KKW50,PJ
Strassenverkehr,2000,0.281656452952733,ZERO-Basis,KKW50,PJ
Strassenverkehr,2001,0.30784036919509866,ZERO-Basis,KKW50,PJ
Strassenverkehr,2002,0.3124296534482012,ZERO-Basis,KKW50,PJ
Strassenverkehr,2003,0.35234477158566246,ZERO-Basis,KKW50,PJ
Strassenverkehr,2004,0.33691424475502174,ZERO-Basis,KKW50,PJ
Strassenverkehr,2005,0.3513928895540108,ZERO-Basis,KKW50,PJ
Strassenverkehr,2006,0.3804931009996767,ZERO-Basis,KKW50,PJ
Strassenverkehr,2007,0.3514737284964658,ZERO-Basis,KKW50,PJ
Strassenverkehr,2008,0.37057952426169527,ZERO-Basis,KKW50,PJ
Strassenverkehr,2009,0.3505604737151754,ZERO-Basis,KKW50,PJ
Strassenverkehr,2010,0.40244774724490345,ZERO-Basis,KKW50,PJ
Strassenverkehr,2011,0.40486273003337003,ZERO-Basis,KKW50,PJ
Strassenverkehr,2012,0.38218181985998234,ZERO-Basis,KKW50,PJ
Strassenverkehr,2013,0.3601921151459455,ZERO-Basis,KKW50,PJ
Strassenverkehr,2014,0.3450316738800714,ZERO-Basis,KKW50,PJ
Strassenverkehr,2015,0.382837890937325,ZERO-Basis,KKW50,PJ
Strassenverkehr,2016,0.4107523489018954,ZERO-Basis,KKW50,PJ
Strassenverkehr,2017,0.46124519978269074,ZERO-Basis,KKW50,PJ
Strassenverkehr,2018,0.5344949292088542,ZERO-Basis,KKW50,PJ
Strassenverkehr,2019,0.6202448984907399,ZERO-Basis,KKW50,PJ
Strassenverkehr,2020,0.8539278905827148,ZERO-Basis,KKW50,PJ
Strassenverkehr,2021,1.0790363285831017,ZERO-Basis,KKW50,PJ
Strassenverkehr,2022,1.3834331885808338,ZERO-Basis,KKW50,PJ
Strassenverkehr,2023,1.767108471762842,ZERO-Basis,KKW50,PJ
Strassenverkehr,2024,2.2321298896933746,ZERO-Basis,KKW50,PJ
Strassenverkehr,2025,2.779730386650831,ZERO-Basis,KKW50,PJ
Strassenverkehr,2026,3.4774040811879363,ZERO-Basis,KKW50,PJ
Strassenverkehr,2027,4.318109107770773,ZERO-Basis,KKW50,PJ
Strassenverkehr,2028,5.310828364277361,ZERO-Basis,KKW50,PJ
Strassenverkehr,2029,6.456814548717622,ZERO-Basis,KKW50,PJ
Strassenverkehr,2030,7.756821167058573,ZERO-Basis,KKW50,PJ
Strassenverkehr,2031,9.1750306181708,ZERO-Basis,KKW50,PJ
Strassenverkehr,2032,10.709558623465815,ZERO-Basis,KKW50,PJ
Strassenverkehr,2033,12.356635563075546,ZERO-Basis,KKW50,PJ
Strassenverkehr,2034,14.106377427351399,ZERO-Basis,KKW50,PJ
Strassenverkehr,2035,15.951766180093438,ZERO-Basis,KKW50,PJ
Strassenverkehr,2036,17.894521989994157,ZERO-Basis,KKW50,PJ
Strassenverkehr,2037,19.823238430890708,ZERO-Basis,KKW50,PJ
Strassenverkehr,2038,21.76839194399394,ZERO-Basis,KKW50,PJ
Strassenverkehr,2039,23.719606623154807,ZERO-Basis,KKW50,PJ
Strassenverkehr,2040,25.669962944167438,ZERO-Basis,KKW50,PJ
Strassenverkehr,2041,27.552246095265037,ZERO-Basis,KKW50,PJ
Strassenverkehr,2042,29.355482341665628,ZERO-Basis,KKW50,PJ
Strassenverkehr,2043,31.076442818583693,ZERO-Basis,KKW50,PJ
Strassenverkehr,2044,32.71322657097795,ZERO-Basis,KKW50,PJ
Strassenverkehr,2045,34.26442157222145,ZERO-Basis,KKW50,PJ
Strassenverkehr,2046,35.730842418055076,ZERO-Basis,KKW50,PJ
Strassenverkehr,2047,37.137167478906285,ZERO-Basis,KKW50,PJ
Strassenverkehr,2048,38.433830679564295,ZERO-Basis,KKW50,PJ
Strassenverkehr,2049,39.64822243254837,ZERO-Basis,KKW50,PJ
Strassenverkehr,2050,40.781899634538505,ZERO-Basis,KKW50,PJ
Strassenverkehr,2051,41.814737971354845,ZERO-Basis,KKW50,PJ
Strassenverkehr,2052,42.753316321992436,ZERO-Basis,KKW50,PJ
Strassenverkehr,2053,43.60258623688566,ZERO-Basis,KKW50,PJ
Strassenverkehr,2054,44.367579842920115,ZERO-Basis,KKW50,PJ
Strassenverkehr,2055,45.05449394325309,ZERO-Basis,KKW50,PJ
Strassenverkehr,2056,45.6695496570421,ZERO-Basis,KKW50,PJ
Strassenverkehr,2057,46.21846428083159,ZERO-Basis,KKW50,PJ
Strassenverkehr,2058,46.707734474023404,ZERO-Basis,KKW50,PJ
Strassenverkehr,2059,47.142534204447486,ZERO-Basis,KKW50,PJ
Strassenverkehr,2060,47.52922444406296,ZERO-Basis,KKW50,PJ
Personenwagen,2000,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2001,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2002,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2003,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2004,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2005,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2006,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2007,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2008,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2009,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2010,0.0,ZERO-Basis,KKW50,PJ
Personenwagen,2011,0.04223502861745559,ZERO-Basis,KKW50,PJ
Personenwagen,2012,0.05156627340261131,ZERO-Basis,KKW50,PJ
Personenwagen,2013,0.02034241768908034,ZERO-Basis,KKW50,PJ
Personenwagen,2014,0.03239386933788558,ZERO-Basis,KKW50,PJ
Personenwagen,2015,0.055684697172605456,ZERO-Basis,KKW50,PJ
Personenwagen,2016,0.08006783815239976,ZERO-Basis,KKW50,PJ
Personenwagen,2017,0.11187699009930381,ZERO-Basis,KKW50,PJ
Personenwagen,2018,0.1924075284188912,ZERO-Basis,KKW50,PJ
Personenwagen,2019,0.2852192592676658,ZERO-Basis,KKW50,PJ
Personenwagen,2020,0.4645752466319784,ZERO-Basis,KKW50,PJ
Personenwagen,2021,0.6790237552412799,ZERO-Basis,KKW50,PJ
Personenwagen,2022,0.9690932796889802,ZERO-Basis,KKW50,PJ
Personenwagen,2023,1.3350698642357985,ZERO-Basis,KKW50,PJ
Personenwagen,2024,1.7785542250001303,ZERO-Basis,KKW50,PJ
Personenwagen,2025,2.3010653458656787,ZERO-Basis,KKW50,PJ
Personenwagen,2026,2.9623709146248816,ZERO-Basis,KKW50,PJ
Personenwagen,2027,3.7572561448231685,ZERO-Basis,KKW50,PJ
Personenwagen,2028,4.693779317691318,ZERO-Basis,KKW50,PJ
Personenwagen,2029,5.77348269426033,ZERO-Basis,KKW50,PJ
Personenwagen,2030,6.9972147972748635,ZERO-Basis,KKW50,PJ
Personenwagen,2031,8.338073244478021,ZERO-Basis,KKW50,PJ
Personenwagen,2032,9.791484936109821,ZERO-Basis,KKW50,PJ
Personenwagen,2033,11.352944455049778,ZERO-Basis,KKW50,PJ
Personenwagen,2034,13.014110293567681,ZERO-Basis,KKW50,PJ
Personenwagen,2035,14.76876587811363,ZERO-Basis,KKW50,PJ
Personenwagen,2036,16.618143733673246,ZERO-Basis,KKW50,PJ
Personenwagen,2037,18.456586044900508,ZERO-Basis,KKW50,PJ
Personenwagen,2038,20.31282466515623,ZERO-Basis,KKW50,PJ
Personenwagen,2039,22.177739550141844,ZERO-Basis,KKW50,PJ
Personenwagen,2040,24.043725009725232,ZERO-Basis,KKW50,PJ
Personenwagen,2041,25.844987378114112,ZERO-Basis,KKW50,PJ
Personenwagen,2042,27.570116036785468,ZERO-Basis,KKW50,PJ
Personenwagen,2043,29.21599592017508,ZERO-Basis,KKW50,PJ
Personenwagen,2044,30.7808593185284,ZERO-Basis,KKW50,PJ
Personenwagen,2045,32.263320275752754,ZERO-Basis,KKW50,PJ
Personenwagen,2046,33.661662626872506,ZERO-Basis,KKW50,PJ
Personenwagen,2047,34.99833940977846,ZERO-Basis,KKW50,PJ
Personenwagen,2048,36.22919893473842,ZERO-Basis,KKW50,PJ
Personenwagen,2049,37.37886714236809,ZERO-Basis,KKW50,PJ
Personenwagen,2050,38.44922217858094,ZERO-Basis,KKW50,PJ
Personenwagen,2051,39.427001306189254,ZERO-Basis,KKW50,PJ
Personenwagen,2052,40.31589789885075,ZERO-Basis,KKW50,PJ
Personenwagen,2053,41.12057636622908,ZERO-Basis,KKW50,PJ
Personenwagen,2054,41.84565206944301,ZERO-Basis,KKW50,PJ
Personenwagen,2055,42.497164352724724,ZERO-Basis,KKW50,PJ
Personenwagen,2056,43.08121286195697,ZERO-Basis,KKW50,PJ
Personenwagen,2057,43.60335990018005,ZERO-Basis,KKW50,PJ
Personenwagen,2058,44.06975928149539,ZERO-Basis,KKW50,PJ
Personenwagen,2059,44.485348734958414,ZERO-Basis,KKW50,PJ
Personenwagen,2060,44.855994860645744,ZERO-Basis,KKW50,PJ
Bus,2000,0.0,ZERO-Basis,KKW50,PJ
Bus,2001,0.0,ZERO-Basis,KKW50,PJ
Bus,2002,0.0,ZERO-Basis,KKW50,PJ
Bus,2003,0.0,ZERO-Basis,KKW50,PJ
Bus,2004,0.0,ZERO-Basis,KKW50,PJ
Bus,2005,0.0,ZERO-Basis,KKW50,PJ
Bus,2006,0.0,ZERO-Basis,KKW50,PJ
Bus,2007,0.0,ZERO-Basis,KKW50,PJ
Bus,2008,0.0,ZERO-Basis,KKW50,PJ
Bus,2009,0.0,ZERO-Basis,KKW50,PJ
Bus,2010,0.0,ZERO-Basis,KKW50,PJ
Bus,2011,0.0,ZERO-Basis,KKW50,PJ
Bus,2012,0.0,ZERO-Basis,KKW50,PJ
Bus,2013,0.0,ZERO-Basis,KKW50,PJ
Bus,2014,0.00851719879990032,ZERO-Basis,KKW50,PJ
Bus,2015,0.008738167439182033,ZERO-Basis,KKW50,PJ
Bus,2016,0.00900067543371728,ZERO-Basis,KKW50,PJ
Bus,2017,0.00886852714705868,ZERO-Basis,KKW50,PJ
Bus,2018,0.008489322872244884,ZERO-Basis,KKW50,PJ
Bus,2019,0.007644425989498269,ZERO-Basis,KKW50,PJ
Bus,2020,0.010110886224286061,ZERO-Basis,KKW50,PJ
Bus,2021,0.01439166128187849,ZERO-Basis,KKW50,PJ
Bus,2022,0.02166282032083447,ZERO-Basis,KKW50,PJ
Bus,2023,0.03161591540804688,ZERO-Basis,KKW50,PJ
Bus,2024,0.04471248594438139,ZERO-Basis,KKW50,PJ
Bus,2025,0.06067191565640885,ZERO-Basis,KKW50,PJ
Bus,2026,0.08736348337485826,ZERO-Basis,KKW50,PJ
Bus,2027,0.12275475544451363,ZERO-Basis,KKW50,PJ
Bus,2028,0.16793042240424563,ZERO-Basis,KKW50,PJ
Bus,2029,0.22266872869580567,ZERO-Basis,KKW50,PJ
Bus,2030,0.2869514723225642,ZERO-Basis,KKW50,PJ
Bus,2031,0.3547387774044441,ZERO-Basis,KKW50,PJ
Bus,2032,0.4250948143885683,ZERO-Basis,KKW50,PJ
Bus,2033,0.4988193492413727,ZERO-Basis,KKW50,PJ
Bus,2034,0.5744538444560564,ZERO-Basis,KKW50,PJ
Bus,2035,0.6516995416590766,ZERO-Basis,KKW50,PJ
Bus,2036,0.7293383270869529,ZERO-Basis,KKW50,PJ
Bus,2037,0.8033065546802778,ZERO-Basis,KKW50,PJ
Bus,2038,0.8750840689562001,ZERO-Basis,KKW50,PJ
Bus,2039,0.9436076617991986,ZERO-Basis,KKW50,PJ
Bus,2040,1.0093630075627946,ZERO-Basis,KKW50,PJ
Bus,2041,1.0703954648365135,ZERO-Basis,KKW50,PJ
Bus,2042,1.1278372815915323,ZERO-Basis,KKW50,PJ
Bus,2043,1.1816397118422395,ZERO-Basis,KKW50,PJ
Bus,2044,1.2317226206389025,ZERO-Basis,KKW50,PJ
Bus,2045,1.2781426148727286,ZERO-Basis,KKW50,PJ
Bus,2046,1.3230065716540855,ZERO-Basis,KKW50,PJ
Bus,2047,1.3661836964071727,ZERO-Basis,KKW50,PJ
Bus,2048,1.4076636950153762,ZERO-Basis,KKW50,PJ
Bus,2049,1.4475433735534793,ZERO-Basis,KKW50,PJ
Bus,2050,1.4860702819889253,ZERO-Basis,KKW50,PJ
Bus,2051,1.5205447449043445,ZERO-Basis,KKW50,PJ
Bus,2052,1.5512583479117734,ZERO-Basis,KKW50,PJ
Bus,2053,1.5784944940244285,ZERO-Basis,KKW50,PJ
Bus,2054,1.6026026777630464,ZERO-Basis,KKW50,PJ
Bus,2055,1.6236993805705113,ZERO-Basis,KKW50,PJ
Bus,2056,1.6418721516174357,ZERO-Basis,KKW50,PJ
Bus,2057,1.657153460763999,ZERO-Basis,KKW50,PJ
Bus,2058,1.6697716419000046,ZERO-Basis,KKW50,PJ
Bus,2059,1.6798097990048584,ZERO-Basis,KKW50,PJ
Bus,2060,1.6876242564669521,ZERO-Basis,KKW50,PJ
Reisebus,2000,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2001,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2002,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2003,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2004,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2005,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2006,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2007,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2008,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2009,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2010,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2011,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2012,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2013,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2014,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2015,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2016,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2017,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2018,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2019,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2020,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2021,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2022,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2023,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2024,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2025,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2026,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2027,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2028,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2029,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2030,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2031,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2032,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2033,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2034,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2035,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2036,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2037,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2038,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2039,0.0,ZERO-Basis,KKW50,PJ
Reisebus,2040,0.0003154065890374816,ZERO-Basis,KKW50,PJ
Reisebus,2041,0.0009426985411477194,ZERO-Basis,KKW50,PJ
Reisebus,2042,0.0018813954782777777,ZERO-Basis,KKW50,PJ
Reisebus,2043,0.0031226357960852293,ZERO-Basis,KKW50,PJ
Reisebus,2044,0.004663706846098765,ZERO-Basis,KKW50,PJ
Reisebus,2045,0.0064952029496072785,ZERO-Basis,KKW50,PJ
Reisebus,2046,0.008609453572887693,ZERO-Basis,KKW50,PJ
Reisebus,2047,0.010998025446976978,ZERO-Basis,KKW50,PJ
Reisebus,2048,0.013639773629696273,ZERO-Basis,KKW50,PJ
Reisebus,2049,0.01651728244220402,ZERO-Basis,KKW50,PJ
Reisebus,2050,0.019294623687222612,ZERO-Basis,KKW50,PJ
Reisebus,2051,0.021966009727274256,ZERO-Basis,KKW50,PJ
