mode,year,value,scenario,variant,unit
Total Diesel,2000,46.094737910134924,ZERO-Basis,KKW50,PJ
Total Diesel,2001,45.7014856860026,ZERO-Basis,KKW50,PJ
Total Diesel,2002,47.41681103718522,ZERO-Basis,KKW50,PJ
Total Diesel,2003,49.51508378744962,ZERO-Basis,KKW50,PJ
Total Diesel,2004,53.33377613372162,ZERO-Basis,KKW50,PJ
Total Diesel,2005,58.77959314830919,ZERO-Basis,KKW50,PJ
Total Diesel,2006,63.940294297300746,ZERO-Basis,KKW50,PJ
Total Diesel,2007,68.2505332778586,ZERO-Basis,KKW50,PJ
Total Diesel,2008,75.76408999628863,ZERO-Basis,KKW50,PJ
Total Diesel,2009,78.05986362494419,ZERO-Basis,KKW50,PJ
Total Diesel,2010,82.72633237926136,ZERO-Basis,KKW50,PJ
Total Diesel,2011,86.33936746046872,ZERO-Basis,KKW50,PJ
Total Diesel,2012,92.18965375058366,ZERO-Basis,KKW50,PJ
Total Diesel,2013,96.50709226014541,ZERO-Basis,KKW50,PJ
Total Diesel,2014,99.8247225187949,ZERO-Basis,KKW50,PJ
Total Diesel,2015,104.02955187473223,ZERO-Basis,KKW50,PJ
Total Diesel,2016,106.46774571747153,ZERO-Basis,KKW50,PJ
Total Diesel,2017,108.0562852192881,ZERO-Basis,KKW50,PJ
Total Diesel,2018,110.99045855996141,ZERO-Basis,KKW50,PJ
Total Diesel,2019,111.44128680864799,ZERO-Basis,KKW50,PJ
Total Diesel,2020,110.9317111441211,ZERO-Basis,KKW50,PJ
Total Diesel,2021,111.56912885896922,ZERO-Basis,KKW50,PJ
Total Diesel,2022,111.73611133555495,ZERO-Basis,KKW50,PJ
Total Diesel,2023,111.42543689890185,ZERO-Basis,KKW50,PJ
Total Diesel,2024,110.67157893829432,ZERO-Basis,KKW50,PJ
Total Diesel,2025,109.492289824237,ZERO-Basis,KKW50,PJ
Total Diesel,2026,108.04266444478809,ZERO-Basis,KKW50,PJ
Total Diesel,2027,105.83399187306158,ZERO-Basis,KKW50,PJ
Total Diesel,2028,103.19296580148588,ZERO-Basis,KKW50,PJ
Total Diesel,2029,100.17403728282913,ZERO-Basis,KKW50,PJ
Total Diesel,2030,96.85271466557442,ZERO-Basis,KKW50,PJ
Total Diesel,2031,93.35937609281497,ZERO-Basis,KKW50,PJ
Total Diesel,2032,89.69406131246211,ZERO-Basis,KKW50,PJ
Total Diesel,2033,85.86671873356106,ZERO-Basis,KKW50,PJ
Total Diesel,2034,81.9039236669351,ZERO-Basis,KKW50,PJ
Total Diesel,2035,77.83285661988468,ZERO-Basis,KKW50,PJ
Total Diesel,2036,73.71224136959125,ZERO-Basis,KKW50,PJ
Total Diesel,2037,69.37345449348949,ZERO-Basis,KKW50,PJ
Total Diesel,2038,65.02057349790324,ZERO-Basis,KKW50,PJ
Total Diesel,2039,60.70075189193048,ZERO-Basis,KKW50,PJ
Total Diesel,2040,56.4363593904626,ZERO-Basis,KKW50,PJ
Total Diesel,2041,52.376235173052855,ZERO-Basis,KKW50,PJ
Total Diesel,2042,48.524425624126195,ZERO-Basis,KKW50,PJ
Total Diesel,2043,44.88009724389496,ZERO-Basis,KKW50,PJ
Total Diesel,2044,41.4362871894141,ZERO-Basis,KKW50,PJ
Total Diesel,2045,38.19193057598845,ZERO-Basis,KKW50,PJ
Total Diesel,2046,35.165132135820386,ZERO-Basis,KKW50,PJ
Total Diesel,2047,32.3612079489312,ZERO-Basis,KKW50,PJ
Total Diesel,2048,29.751280342131736,ZERO-Basis,KKW50,PJ
Total Diesel,2049,27.34270958042512,ZERO-Basis,KKW50,PJ
Total Diesel,2050,25.13097740704106,ZERO-Basis,KKW50,PJ
Total Diesel,2051,23.11310834461281,ZERO-Basis,KKW50,PJ
Total Diesel,2052,21.279922652880533,ZERO-Basis,KKW50,PJ
Total Diesel,2053,19.620198814215577,ZERO-Basis,KKW50,PJ
Total Diesel,2054,18.119963914305643,ZERO-Basis,KKW50,PJ
Total Diesel,2055,16.764017725704882,ZERO-Basis,KKW50,PJ
Total Diesel,2056,15.511148087545635,ZERO-Basis,KKW50,PJ
Total Diesel,2057,14.347702331850961,ZERO-Basis,KKW50,PJ
Total Diesel,2058,13.258826313161855,ZERO-Basis,KKW50,PJ
Total Diesel,2059,12.234326216119387,ZERO-Basis,KKW50,PJ
Total Diesel,2060,11.26533897326263,ZERO-Basis,KKW50,PJ
Diesel,2000,46.04555633806292,ZERO-Basis,KKW50,PJ
Diesel,2001,45.649870588291094,ZERO-Basis,KKW50,PJ
Diesel,2002,47.368283347766976,ZERO-Basis,KKW50,PJ
Diesel,2003,49.450487653445634,ZERO-Basis,KKW50,PJ
Diesel,2004,53.24037313840203,ZERO-Basis,KKW50,PJ
Diesel,2005,58.58346546073998,ZERO-Basis,KKW50,PJ
Diesel,2006,63.666822198204585,ZERO-Basis,KKW50,PJ
Diesel,2007,67.8883638854591,ZERO-Basis,KKW50,PJ
Diesel,2008,75.36534932509127,ZERO-Basis,KKW50,PJ
Diesel,2009,77.76944861004617,ZERO-Basis,KKW50,PJ
Diesel,2010,82.37533311398596,ZERO-Basis,KKW50,PJ
