mode,year,value,scenario,variant,unit
Motorisierter Individualverkehr (MIV),2000,150.9003544887891,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2001,155.21205627216295,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2002,153.84229644830233,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2003,153.88462671504155,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2004,153.72308199870736,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2005,152.44053046747726,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2006,150.9279311909646,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2007,150.75755929689853,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2008,154.24419059070541,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2009,155.34733765202012,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2010,156.40088384434603,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2011,156.12624949725702,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2012,157.1175821774472,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2013,155.07453320102516,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2014,154.46453944486888,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2015,153.7617663074214,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2016,153.55620866498606,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2017,152.25752936835522,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2018,152.92632350407675,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2019,153.10103822840327,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2020,147.17992217404185,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2021,146.03469311499114,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2022,144.43868517772256,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2023,142.52861996331268,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2024,140.33696144840883,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2025,137.8798345440505,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2026,135.6237610564204,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2027,132.64156048270473,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2028,129.49388578382366,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2029,126.22824000505322,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2030,122.9196601050468,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2031,119.67216451612605,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2032,116.4137550777034,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2033,113.14657922300897,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2034,109.88885851395622,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2035,106.65819688946141,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2036,103.52080214747882,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2037,100.10550473411277,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2038,96.78317194145636,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2039,93.60067977775621,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2040,90.57445585681667,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2041,87.80443924295109,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2042,85.22987228424303,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2043,82.84708203088502,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2044,80.64753454315644,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2045,78.6279600123603,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2046,76.77322735516363,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2047,75.03747608513832,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2048,73.48028914167735,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2049,72.0543114625466,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2050,70.75292135805742,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2051,69.5895193215032,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2052,68.55055805608077,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2053,67.62665291234184,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2054,66.8066983071124,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2055,66.08187718845882,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2056,65.43664059230483,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2057,64.85890102913147,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2058,64.33571465822246,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2059,63.86017878835731,ZERO-Basis,KKW50,PJ
Motorisierter Individualverkehr (MIV),2060,63.42707466531805,ZERO-Basis,KKW50,PJ
Motorräder,2000,2.586097475791863,ZERO-Basis,KKW50,PJ
Motorräder,2001,2.7509597918879054,ZERO-Basis,KKW50,PJ
Motorräder,2002,2.785567304924598,ZERO-Basis,KKW50,PJ
Motorräder,2003,2.9557661022489095,ZERO-Basis,KKW50,PJ
Motorräder,2004,2.9961636122434063,ZERO-Basis,KKW50,PJ
Motorräder,2005,2.902587135653701,ZERO-Basis,KKW50,PJ
Motorräder,2006,2.877201039647797,ZERO-Basis,KKW50,PJ
Motorräder,2007,2.85068440229828,ZERO-Basis,KKW50,PJ
Motorräder,2008,2.864757605423081,ZERO-Basis,KKW50,PJ
Motorräder,2009,2.8539769741685825,ZERO-Basis,KKW50,PJ
Motorräder,2010,2.8379090203607977,ZERO-Basis,KKW50,PJ
Motorräder,2011,2.9191533027671768,ZERO-Basis,KKW50,PJ
Motorräder,2012,2.967781142890891,ZERO-Basis,KKW50,PJ
Motorräder,2013,2.895712306155281,ZERO-Basis,KKW50,PJ
Motorräder,2014,3.0136056289393074,ZERO-Basis,KKW50,PJ
Motorräder,2015,3.0997715249456146,ZERO-Basis,KKW50,PJ
Motorräder,2016,3.090253446758191,ZERO-Basis,KKW50,PJ
Motorräder,2017,3.1253047459613565,ZERO-Basis,KKW50,PJ
Motorräder,2018,3.1015266575275033,ZERO-Basis,KKW50,PJ
Motorräder,2019,3.1152107731352263,ZERO-Basis,KKW50,PJ
Motorräder,2020,2.92374049451162,ZERO-Basis,KKW50,PJ
Motorräder,2021,2.8833753190052076,ZERO-Basis,KKW50,PJ
Motorräder,2022,2.8430012010784327,ZERO-Basis,KKW50,PJ
Motorräder,2023,2.803254287829747,ZERO-Basis,KKW50,PJ
Motorräder,2024,2.7623627055145406,ZERO-Basis,KKW50,PJ
Motorräder,2025,2.721444154389577,ZERO-Basis,KKW50,PJ
Motorräder,2026,2.677619532495015,ZERO-Basis,KKW50,PJ
Motorräder,2027,2.6372644928390674,ZERO-Basis,KKW50,PJ
Motorräder,2028,2.5986013658112648,ZERO-Basis,KKW50,PJ
Motorräder,2029,2.5602227357800507,ZERO-Basis,KKW50,PJ
Motorräder,2030,2.52307384213623,ZERO-Basis,KKW50,PJ
Motorräder,2031,2.4858064289569373,ZERO-Basis,KKW50,PJ
Motorräder,2032,2.4465820340416187,ZERO-Basis,KKW50,PJ
Motorräder,2033,2.404744512924513,ZERO-Basis,KKW50,PJ
Motorräder,2034,2.3597013572476797,ZERO-Basis,KKW50,PJ
Motorräder,2035,2.312284432492784,ZERO-Basis,KKW50,PJ
Motorräder,2036,2.273586037061177,ZERO-Basis,KKW50,PJ
Motorräder,2037,2.217446942231561,ZERO-Basis,KKW50,PJ
Motorräder,2038,2.1610945625942213,ZERO-Basis,KKW50,PJ
Motorräder,2039,2.103017238982161,ZERO-Basis,KKW50,PJ
Motorräder,2040,2.0439000215211847,ZERO-Basis,KKW50,PJ
Motorräder,2041,1.9843695441020868,ZERO-Basis,KKW50,PJ
Motorräder,2042,1.9238566056483595,ZERO-Basis,KKW50,PJ
Motorräder,2043,1.8624221133397882,ZERO-Basis,KKW50,PJ
Motorräder,2044,1.8000605433894694,ZERO-Basis,KKW50,PJ
Motorräder,2045,1.737066654375963,ZERO-Basis,KKW50,PJ
Motorräder,2046,1.6726989316657814,ZERO-Basis,KKW50,PJ
Motorräder,2047,1.5933790315808205,ZERO-Basis,KKW50,PJ
Motorräder,2048,1.5260150982090166,ZERO-Basis,KKW50,PJ
Motorräder,2049,1.4573805942815583,ZERO-Basis,KKW50,PJ
Motorräder,2050,1.387983760259788,ZERO-Basis,KKW50,PJ
Motorräder,2051,1.323215133786134,ZERO-Basis,KKW50,PJ
Motorräder,2052,1.2631506827865109,ZERO-Basis,KKW50,PJ
Motorräder,2053,1.2079194967921167,ZERO-Basis,KKW50,PJ
Motorräder,2054,1.1571608527422457,ZERO-Basis,KKW50,PJ
Motorräder,2055,1.1107576682497542,ZERO-Basis,KKW50,PJ
Motorräder,2056,1.0685896116477824,ZERO-Basis,KKW50,PJ
Motorräder,2057,1.0301512849638395,ZERO-Basis,KKW50,PJ
Motorräder,2058,0.9951426179818574,ZERO-Basis,KKW50,PJ
Motorräder,2059,0.9630870282057005,ZERO-Basis,KKW50,PJ
Motorräder,2060,0.9335931996517954,ZERO-Basis,KKW50,PJ
Personenwagen,2000,148.31425701299725,ZERO-Basis,KKW50,PJ
Personenwagen,2001,152.46109648027505,ZERO-Basis,KKW50,PJ
Personenwagen,2002,151.05672914337774,ZERO-Basis,KKW50,PJ
Personenwagen,2003,150.92886061279265,ZERO-Basis,KKW50,PJ
Personenwagen,2004,150.72691838646395,ZERO-Basis,KKW50,PJ
Personenwagen,2005,149.53794333182356,ZERO-Basis,KKW50,PJ
Personenwagen,2006,148.05073015131683,ZERO-Basis,KKW50,PJ
Personenwagen,2007,147.90687489460026,ZERO-Basis,KKW50,PJ
Personenwagen,2008,151.37943298528234,ZERO-Basis,KKW50,PJ
Personenwagen,2009,152.49336067785154,ZERO-Basis,KKW50,PJ
Personenwagen,2010,153.56297482398523,ZERO-Basis,KKW50,PJ
