fuel,year,value,scenario,variant,unit
Kohle,2000,0.09,ZERO-Basis,KKW50,PJ
Kohle,2001,0.0,ZERO-Basis,KKW50,PJ
Kohle,2002,0.0,ZERO-Basis,KKW50,PJ
Kohle,2003,0.0,ZERO-Basis,KKW50,PJ
Kohle,2004,0.0,ZERO-Basis,KKW50,PJ
Kohle,2005,0.0,ZERO-Basis,KKW50,PJ
Kohle,2006,0.0,ZERO-Basis,KKW50,PJ
Kohle,2007,0.0,ZERO-Basis,KKW50,PJ
Kohle,2008,0.0,ZERO-Basis,KKW50,PJ
Kohle,2009,0.0,ZERO-Basis,KKW50,PJ
Kohle,2010,0.0,ZERO-Basis,KKW50,PJ
Kohle,2011,0.0,ZERO-Basis,KKW50,PJ
Kohle,2012,0.0,ZERO-Basis,KKW50,PJ
Kohle,2013,0.0,ZERO-Basis,KKW50,PJ
Kohle,2014,0.0,ZERO-Basis,KKW50,PJ
Kohle,2015,0.0,ZERO-Basis,KKW50,PJ
Kohle,2016,0.0,ZERO-Basis,KKW50,PJ
Kohle,2017,0.0,ZERO-Basis,KKW50,PJ
Kohle,2018,0.0,ZERO-Basis,KKW50,PJ
Kohle,2019,0.0,ZERO-Basis,KKW50,PJ
Kohle,2020,0.000584339139721742,ZERO-Basis,KKW50,PJ
Kohle,2021,0.0005825090312429659,ZERO-Basis,KKW50,PJ
Kohle,2022,0.000580735714238963,ZERO-Basis,KKW50,PJ
Kohle,2023,0.000579019672705143,ZERO-Basis,KKW50,PJ
Kohle,2024,0.0005773613906369199,ZERO-Basis,KKW50,PJ
Kohle,2025,0.000575761352029708,ZERO-Basis,KKW50,PJ
Kohle,2026,0.000574220040878919,ZERO-Basis,KKW50,PJ
Kohle,2027,0.000292198456222171,ZERO-Basis,KKW50,PJ
Kohle,2028,0.00029147277647129593,ZERO-Basis,KKW50,PJ
Kohle,2029,0.00029077779896481,ZERO-Basis,KKW50,PJ
Kohle,2030,0.0,ZERO-Basis,KKW50,PJ
Kohle,2031,0.0,ZERO-Basis,KKW50,PJ
Kohle,2032,0.0,ZERO-Basis,KKW50,PJ
Kohle,2033,0.0,ZERO-Basis,KKW50,PJ
Kohle,2034,0.0,ZERO-Basis,KKW50,PJ
Kohle,2035,0.0,ZERO-Basis,KKW50,PJ
Kohle,2036,0.0,ZERO-Basis,KKW50,PJ
Kohle,2037,0.0,ZERO-Basis,KKW50,PJ
Kohle,2038,0.0,ZERO-Basis,KKW50,PJ
Kohle,2039,0.0,ZERO-Basis,KKW50,PJ
Kohle,2040,0.0,ZERO-Basis,KKW50,PJ
Kohle,2041,0.0,ZERO-Basis,KKW50,PJ
Kohle,2042,0.0,ZERO-Basis,KKW50,PJ
Kohle,2043,0.0,ZERO-Basis,KKW50,PJ
Kohle,2044,0.0,ZERO-Basis,KKW50,PJ
Kohle,2045,0.0,ZERO-Basis,KKW50,PJ
Kohle,2046,0.0,ZERO-Basis,KKW50,PJ
Kohle,2047,0.0,ZERO-Basis,KKW50,PJ
Kohle,2048,0.0,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0,ZERO-Basis,KKW50,PJ
Kohle,2050,0.0,ZERO-Basis,KKW50,PJ
Kohle,2051,0.0,ZERO-Basis,KKW50,PJ
Kohle,2052,0.0,ZERO-Basis,KKW50,PJ
Kohle,2053,0.0,ZERO-Basis,KKW50,PJ
Kohle,2054,0.0,ZERO-Basis,KKW50,PJ
Kohle,2055,0.0,ZERO-Basis,KKW50,PJ
Kohle,2056,0.0,ZERO-Basis,KKW50,PJ
Kohle,2057,0.0,ZERO-Basis,KKW50,PJ
Kohle,2058,0.0,ZERO-Basis,KKW50,PJ
Kohle,2059,0.0,ZERO-Basis,KKW50,PJ
Kohle,2060,0.0,ZERO-Basis,KKW50,PJ
Erdölprodukte,2000,1.18,ZERO-Basis,KKW50,PJ
Erdölprodukte,2001,7.42,ZERO-Basis,KKW50,PJ
Erdölprodukte,2002,3.47,ZERO-Basis,KKW50,PJ
Erdölprodukte,2003,5.150000000000001,ZERO-Basis,KKW50,PJ
Erdölprodukte,2004,5.470000000000001,ZERO-Basis,KKW50,PJ
Erdölprodukte,2005,3.44,ZERO-Basis,KKW50,PJ
Erdölprodukte,2006,3.78,ZERO-Basis,KKW50,PJ
Erdölprodukte,2007,3.7,ZERO-Basis,KKW50,PJ
Erdölprodukte,2008,3.71,ZERO-Basis,KKW50,PJ
Erdölprodukte,2009,3.9500000000000006,ZERO-Basis,KKW50,PJ
Erdölprodukte,2010,3.83,ZERO-Basis,KKW50,PJ
Erdölprodukte,2011,3.2499999999999996,ZERO-Basis,KKW50,PJ
Erdölprodukte,2012,3.3200000000000003,ZERO-Basis,KKW50,PJ
Erdölprodukte,2013,3.55,ZERO-Basis,KKW50,PJ
Erdölprodukte,2014,2.8899999999999997,ZERO-Basis,KKW50,PJ
Erdölprodukte,2015,3.0700000000000003,ZERO-Basis,KKW50,PJ
Erdölprodukte,2016,3.16,ZERO-Basis,KKW50,PJ
Erdölprodukte,2017,2.98,ZERO-Basis,KKW50,PJ
Erdölprodukte,2018,2.7299999999999995,ZERO-Basis,KKW50,PJ
Erdölprodukte,2019,2.59,ZERO-Basis,KKW50,PJ
Erdölprodukte,2020,2.612537394163596,ZERO-Basis,KKW50,PJ
Erdölprodukte,2021,2.5073653585000137,ZERO-Basis,KKW50,PJ
Erdölprodukte,2022,2.420386670232144,ZERO-Basis,KKW50,PJ
Erdölprodukte,2023,2.311589762881547,ZERO-Basis,KKW50,PJ
Erdölprodukte,2024,2.220368886408358,ZERO-Basis,KKW50,PJ
Erdölprodukte,2025,2.1060620676939052,ZERO-Basis,KKW50,PJ
Erdölprodukte,2026,2.0258670679683926,ZERO-Basis,KKW50,PJ
Erdölprodukte,2027,1.9367173923790113,ZERO-Basis,KKW50,PJ
Erdölprodukte,2028,1.846270585927447,ZERO-Basis,KKW50,PJ
Erdölprodukte,2029,1.7775752988853024,ZERO-Basis,KKW50,PJ
Erdölprodukte,2030,1.706355814519259,ZERO-Basis,KKW50,PJ
Erdölprodukte,2031,1.566607585830054,ZERO-Basis,KKW50,PJ
Erdölprodukte,2032,1.5012832689484563,ZERO-Basis,KKW50,PJ
Erdölprodukte,2033,1.434512030813098,ZERO-Basis,KKW50,PJ
Erdölprodukte,2034,1.3624187644949868,ZERO-Basis,KKW50,PJ
Erdölprodukte,2035,1.2966749860757054,ZERO-Basis,KKW50,PJ
Erdölprodukte,2036,1.2282391149829899,ZERO-Basis,KKW50,PJ
Erdölprodukte,2037,1.1623147579447575,ZERO-Basis,KKW50,PJ
Erdölprodukte,2038,1.0963072341762377,ZERO-Basis,KKW50,PJ
Erdölprodukte,2039,1.0333269904479956,ZERO-Basis,KKW50,PJ
Erdölprodukte,2040,0.9711551289926269,ZERO-Basis,KKW50,PJ
Erdölprodukte,2041,0.9066908258836289,ZERO-Basis,KKW50,PJ
Erdölprodukte,2042,0.8379507208050402,ZERO-Basis,KKW50,PJ
Erdölprodukte,2043,0.7777710571794525,ZERO-Basis,KKW50,PJ
Erdölprodukte,2044,0.7144051404725899,ZERO-Basis,KKW50,PJ
Erdölprodukte,2045,0.6489255657856342,ZERO-Basis,KKW50,PJ
Erdölprodukte,2046,0.5894876267075909,ZERO-Basis,KKW50,PJ
Erdölprodukte,2047,0.530450497071082,ZERO-Basis,KKW50,PJ
Erdölprodukte,2048,0.4731632728728611,ZERO-Basis,KKW50,PJ
Erdölprodukte,2049,0.415009797290775,ZERO-Basis,KKW50,PJ
Erdölprodukte,2050,0.3579514797222325,ZERO-Basis,KKW50,PJ
Erdölprodukte,2051,0.34259687671950706,ZERO-Basis,KKW50,PJ
Erdölprodukte,2052,0.32776628006979386,ZERO-Basis,KKW50,PJ
Erdölprodukte,2053,0.3146890707643903,ZERO-Basis,KKW50,PJ
Erdölprodukte,2054,0.30144060841548814,ZERO-Basis,KKW50,PJ
Erdölprodukte,2055,0.28811427803567563,ZERO-Basis,KKW50,PJ
