purpose,year,value,scenario,variant,unit
Raumwärme,2000,0.0,ZERO-A,KKW50,PJ
Raumwärme,2001,0.0,ZERO-A,KKW50,PJ
Raumwärme,2002,0.0,ZERO-A,KKW50,PJ
Raumwärme,2003,0.0,ZERO-A,KKW50,PJ
Raumwärme,2004,0.0,ZERO-A,KKW50,PJ
Raumwärme,2005,0.0,ZERO-A,KKW50,PJ
Raumwärme,2006,0.0,ZERO-A,KKW50,PJ
Raumwärme,2007,0.0,ZERO-A,KKW50,PJ
Raumwärme,2008,0.0,ZERO-A,KKW50,PJ
Raumwärme,2009,0.0,ZERO-A,KKW50,PJ
Raumwärme,2010,0.0,ZERO-A,KKW50,PJ
Raumwärme,2011,0.0,ZERO-A,KKW50,PJ
Raumwärme,2012,0.0,ZERO-A,KKW50,PJ
Raumwärme,2013,0.0,ZERO-A,KKW50,PJ
Raumwärme,2014,0.0,ZERO-A,KKW50,PJ
Raumwärme,2015,0.0,ZERO-A,KKW50,PJ
Raumwärme,2016,0.0,ZERO-A,KKW50,PJ
Raumwärme,2017,0.0,ZERO-A,KKW50,PJ
Raumwärme,2018,0.0,ZERO-A,KKW50,PJ
Raumwärme,2019,0.0,ZERO-A,KKW50,PJ
Raumwärme,2020,0.0,ZERO-A,KKW50,PJ
Raumwärme,2021,0.0,ZERO-A,KKW50,PJ
Raumwärme,2022,0.0,ZERO-A,KKW50,PJ
Raumwärme,2023,0.0,ZERO-A,KKW50,PJ
Raumwärme,2024,0.0,ZERO-A,KKW50,PJ
Raumwärme,2025,0.0,ZERO-A,KKW50,PJ
Raumwärme,2026,0.0,ZERO-A,KKW50,PJ
Raumwärme,2027,0.0,ZERO-A,KKW50,PJ
Raumwärme,2028,0.0,ZERO-A,KKW50,PJ
Raumwärme,2029,0.0,ZERO-A,KKW50,PJ
Raumwärme,2030,0.0,ZERO-A,KKW50,PJ
Raumwärme,2031,0.0,ZERO-A,KKW50,PJ
Raumwärme,2032,0.0,ZERO-A,KKW50,PJ
Raumwärme,2033,0.0,ZERO-A,KKW50,PJ
Raumwärme,2034,0.0,ZERO-A,KKW50,PJ
Raumwärme,2035,0.0,ZERO-A,KKW50,PJ
Raumwärme,2036,0.0,ZERO-A,KKW50,PJ
Raumwärme,2037,0.0,ZERO-A,KKW50,PJ
Raumwärme,2038,0.0,ZERO-A,KKW50,PJ
Raumwärme,2039,0.0,ZERO-A,KKW50,PJ
Raumwärme,2040,0.0,ZERO-A,KKW50,PJ
Raumwärme,2041,0.0,ZERO-A,KKW50,PJ
Raumwärme,2042,0.0,ZERO-A,KKW50,PJ
Raumwärme,2043,0.0,ZERO-A,KKW50,PJ
Raumwärme,2044,0.0,ZERO-A,KKW50,PJ
Raumwärme,2045,0.0,ZERO-A,KKW50,PJ
Raumwärme,2046,0.0,ZERO-A,KKW50,PJ
Raumwärme,2047,0.0,ZERO-A,KKW50,PJ
Raumwärme,2048,0.0,ZERO-A,KKW50,PJ
Raumwärme,2049,0.0,ZERO-A,KKW50,PJ
Raumwärme,2050,0.0,ZERO-A,KKW50,PJ
Raumwärme,2051,0.0,ZERO-A,KKW50,PJ
Raumwärme,2052,0.0,ZERO-A,KKW50,PJ
Raumwärme,2053,0.0,ZERO-A,KKW50,PJ
Raumwärme,2054,0.0,ZERO-A,KKW50,PJ
Raumwärme,2055,0.0,ZERO-A,KKW50,PJ
