fuel,year,value,scenario,variant,unit
Kohle,2000,0.24145044242810185,ZERO-Basis,KKW50,PJ
Kohle,2001,0.29773116373690156,ZERO-Basis,KKW50,PJ
Kohle,2002,0.20390598754809014,ZERO-Basis,KKW50,PJ
Kohle,2003,0.21078545356889383,ZERO-Basis,KKW50,PJ
Kohle,2004,0.47347411546115253,ZERO-Basis,KKW50,PJ
Kohle,2005,0.5598811083959523,ZERO-Basis,KKW50,PJ
Kohle,2006,0.47971034404706264,ZERO-Basis,KKW50,PJ
Kohle,2007,0.46708661187713807,ZERO-Basis,KKW50,PJ
Kohle,2008,0.4786046068403895,ZERO-Basis,KKW50,PJ
Kohle,2009,0.47385145059432676,ZERO-Basis,KKW50,PJ
Kohle,2010,0.4846275803308281,ZERO-Basis,KKW50,PJ
Kohle,2011,0.3578248867380602,ZERO-Basis,KKW50,PJ
Kohle,2012,0.3488633206151374,ZERO-Basis,KKW50,PJ
Kohle,2013,0.354924654666733,ZERO-Basis,KKW50,PJ
Kohle,2014,0.2507879381286833,ZERO-Basis,KKW50,PJ
Kohle,2015,0.2525037599735055,ZERO-Basis,KKW50,PJ
Kohle,2016,0.26327841676865665,ZERO-Basis,KKW50,PJ
Kohle,2017,0.16434873243814255,ZERO-Basis,KKW50,PJ
Kohle,2018,0.14642937338835396,ZERO-Basis,KKW50,PJ
Kohle,2019,0.14772772416693958,ZERO-Basis,KKW50,PJ
Kohle,2020,0.13998410801367706,ZERO-Basis,KKW50,PJ
Kohle,2021,0.13080107856502513,ZERO-Basis,KKW50,PJ
Kohle,2022,0.12252215798724231,ZERO-Basis,KKW50,PJ
Kohle,2023,0.09311173985918172,ZERO-Basis,KKW50,PJ
Kohle,2024,0.08603929911366807,ZERO-Basis,KKW50,PJ
Kohle,2025,0.06359660433014604,ZERO-Basis,KKW50,PJ
Kohle,2026,0.056907598401280624,ZERO-Basis,KKW50,PJ
Kohle,2027,0.04860995142013267,ZERO-Basis,KKW50,PJ
Kohle,2028,0.04243508047308386,ZERO-Basis,KKW50,PJ
Kohle,2029,0.03736513752213515,ZERO-Basis,KKW50,PJ
Kohle,2030,0.032643540414734155,ZERO-Basis,KKW50,PJ
Kohle,2031,0.02825785660191792,ZERO-Basis,KKW50,PJ
Kohle,2032,0.024068579287958643,ZERO-Basis,KKW50,PJ
Kohle,2033,0.019524548635721298,ZERO-Basis,KKW50,PJ
Kohle,2034,0.016433275205891537,ZERO-Basis,KKW50,PJ
Kohle,2035,0.013071249348762085,ZERO-Basis,KKW50,PJ
Kohle,2036,0.011140664478805436,ZERO-Basis,KKW50,PJ
Kohle,2037,0.009577927312127787,ZERO-Basis,KKW50,PJ
Kohle,2038,0.008295165206297816,ZERO-Basis,KKW50,PJ
Kohle,2039,0.005033244620548838,ZERO-Basis,KKW50,PJ
Kohle,2040,0.00412609560121267,ZERO-Basis,KKW50,PJ
Kohle,2041,0.003421025160391014,ZERO-Basis,KKW50,PJ
Kohle,2042,0.0026343265909654166,ZERO-Basis,KKW50,PJ
Kohle,2043,0.0020916507916784333,ZERO-Basis,KKW50,PJ
Kohle,2044,0.0016874514388843917,ZERO-Basis,KKW50,PJ
Kohle,2045,0.001344954010083174,ZERO-Basis,KKW50,PJ
Kohle,2046,0.0010743572771340897,ZERO-Basis,KKW50,PJ
Kohle,2047,0.0008545684300060054,ZERO-Basis,KKW50,PJ
Kohle,2048,0.0006912801576811269,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0005454627338761333,ZERO-Basis,KKW50,PJ
Kohle,2050,0.00044068732862748665,ZERO-Basis,KKW50,PJ
Kohle,2051,0.00035617442528476336,ZERO-Basis,KKW50,PJ
