purpose,year,value,scenario,variant,unit
Raumwärme,2000,258.68024106799425,ZERO-A,KKW50,PJ
Raumwärme,2001,277.87190122973084,ZERO-A,KKW50,PJ
Raumwärme,2002,260.40305803384337,ZERO-A,KKW50,PJ
Raumwärme,2003,280.77578511717894,ZERO-A,KKW50,PJ
Raumwärme,2004,278.681029007519,ZERO-A,KKW50,PJ
Raumwärme,2005,287.71963448069897,ZERO-A,KKW50,PJ
Raumwärme,2006,276.9710407577777,ZERO-A,KKW50,PJ
Raumwärme,2007,243.54212198262456,ZERO-A,KKW50,PJ
Raumwärme,2008,266.7675641611485,ZERO-A,KKW50,PJ
Raumwärme,2009,263.5356475016878,ZERO-A,KKW50,PJ
Raumwärme,2010,294.1129737311743,ZERO-A,KKW50,PJ
Raumwärme,2011,230.15884502905567,ZERO-A,KKW50,PJ
Raumwärme,2012,259.28919361342616,ZERO-A,KKW50,PJ
Raumwärme,2013,284.7328397006147,ZERO-A,KKW50,PJ
Raumwärme,2014,216.26154440773686,ZERO-A,KKW50,PJ
Raumwärme,2015,239.48366276422996,ZERO-A,KKW50,PJ
Raumwärme,2016,255.129226775767,ZERO-A,KKW50,PJ
Raumwärme,2017,247.36643404381678,ZERO-A,KKW50,PJ
Raumwärme,2018,224.9410485177205,ZERO-A,KKW50,PJ
Raumwärme,2019,232.0212513128131,ZERO-A,KKW50,PJ
Raumwärme,2020,241.54668465941657,ZERO-A,KKW50,PJ
Raumwärme,2021,237.91004411218134,ZERO-A,KKW50,PJ
Raumwärme,2022,234.3302803766345,ZERO-A,KKW50,PJ
Raumwärme,2023,230.90688685525265,ZERO-A,KKW50,PJ
Raumwärme,2024,227.60066959389638,ZERO-A,KKW50,PJ
Raumwärme,2025,224.29384989860046,ZERO-A,KKW50,PJ
Raumwärme,2026,221.08103953709048,ZERO-A,KKW50,PJ
Raumwärme,2027,217.98903577555234,ZERO-A,KKW50,PJ
Raumwärme,2028,214.63853762846986,ZERO-A,KKW50,PJ
Raumwärme,2029,211.53896115655084,ZERO-A,KKW50,PJ
Raumwärme,2030,208.55772271707625,ZERO-A,KKW50,PJ
Raumwärme,2031,205.7472703539399,ZERO-A,KKW50,PJ
Raumwärme,2032,202.68789732374387,ZERO-A,KKW50,PJ
Raumwärme,2033,199.9637513461149,ZERO-A,KKW50,PJ
Raumwärme,2034,197.07776737867582,ZERO-A,KKW50,PJ
Raumwärme,2035,194.4420604383038,ZERO-A,KKW50,PJ
Raumwärme,2036,191.5098339605922,ZERO-A,KKW50,PJ
Raumwärme,2037,188.7789668938684,ZERO-A,KKW50,PJ
