sector,year,value,scenario,variant,unit
Haushalte,2000,206.8862938943584,ZERO-A,KKW50,PJ
Haushalte,2001,217.73287902497597,ZERO-A,KKW50,PJ
Haushalte,2002,211.25437521832563,ZERO-A,KKW50,PJ
Haushalte,2003,222.67047479300197,ZERO-A,KKW50,PJ
Haushalte,2004,223.67041139662925,ZERO-A,KKW50,PJ
Haushalte,2005,228.47966962862952,ZERO-A,KKW50,PJ
Haushalte,2006,221.77523709463748,ZERO-A,KKW50,PJ
Haushalte,2007,200.3872458775862,ZERO-A,KKW50,PJ
Haushalte,2008,214.71689925051618,ZERO-A,KKW50,PJ
Haushalte,2009,212.05127620992582,ZERO-A,KKW50,PJ
Haushalte,2010,231.05294460644777,ZERO-A,KKW50,PJ
Haushalte,2011,190.7750309873381,ZERO-A,KKW50,PJ
Haushalte,2012,209.57351864444723,ZERO-A,KKW50,PJ
Haushalte,2013,224.80763323338357,ZERO-A,KKW50,PJ
Haushalte,2014,183.00172359590593,ZERO-A,KKW50,PJ
Haushalte,2015,197.08177910470653,ZERO-A,KKW50,PJ
Haushalte,2016,205.6074571482051,ZERO-A,KKW50,PJ
Haushalte,2017,200.5335238736148,ZERO-A,KKW50,PJ
Haushalte,2018,187.45884704259862,ZERO-A,KKW50,PJ
Haushalte,2019,190.35828853752798,ZERO-A,KKW50,PJ
Haushalte,2020,200.65242866917458,ZERO-A,KKW50,PJ
Haushalte,2021,199.20705173653096,ZERO-A,KKW50,PJ
Haushalte,2022,197.86389199838152,ZERO-A,KKW50,PJ
Haushalte,2023,196.49928644331888,ZERO-A,KKW50,PJ
Haushalte,2024,195.18694703053393,ZERO-A,KKW50,PJ
Haushalte,2025,193.81570047015646,ZERO-A,KKW50,PJ
Haushalte,2026,192.42999514731767,ZERO-A,KKW50,PJ
Haushalte,2027,190.99009184611725,ZERO-A,KKW50,PJ
Haushalte,2028,189.59765941337452,ZERO-A,KKW50,PJ
Haushalte,2029,188.12845713227125,ZERO-A,KKW50,PJ
Haushalte,2030,186.62592683794946,ZERO-A,KKW50,PJ
Haushalte,2031,185.2039966367664,ZERO-A,KKW50,PJ
Haushalte,2032,183.72781779844652,ZERO-A,KKW50,PJ
Haushalte,2033,182.1760098306514,ZERO-A,KKW50,PJ
Haushalte,2034,180.59590348795786,ZERO-A,KKW50,PJ
Haushalte,2035,178.97514360688166,ZERO-A,KKW50,PJ
Haushalte,2036,177.44968207550218,ZERO-A,KKW50,PJ
Haushalte,2037,175.84924776895016,ZERO-A,KKW50,PJ
Haushalte,2038,174.21042465966846,ZERO-A,KKW50,PJ
Haushalte,2039,172.59324346525844,ZERO-A,KKW50,PJ
Haushalte,2040,170.95890920571736,ZERO-A,KKW50,PJ
Haushalte,2041,169.63091545537762,ZERO-A,KKW50,PJ
