purpose,year,value,scenario,variant,unit
Raumwärme,2000,15.314762866020612,ZERO-A,KKW50,PJ
Raumwärme,2001,16.520928865055904,ZERO-A,KKW50,PJ
Raumwärme,2002,15.62678607613552,ZERO-A,KKW50,PJ
Raumwärme,2003,16.884381312377833,ZERO-A,KKW50,PJ
Raumwärme,2004,16.999711476339776,ZERO-A,KKW50,PJ
Raumwärme,2005,17.906935868813523,ZERO-A,KKW50,PJ
Raumwärme,2006,17.661212885333285,ZERO-A,KKW50,PJ
Raumwärme,2007,15.795481064601042,ZERO-A,KKW50,PJ
Raumwärme,2008,17.42562387963514,ZERO-A,KKW50,PJ
Raumwärme,2009,17.13984741902877,ZERO-A,KKW50,PJ
Raumwärme,2010,19.340745469336735,ZERO-A,KKW50,PJ
Raumwärme,2011,15.648939570087114,ZERO-A,KKW50,PJ
Raumwärme,2012,17.764665605224188,ZERO-A,KKW50,PJ
Raumwärme,2013,19.92456636132594,ZERO-A,KKW50,PJ
Raumwärme,2014,15.77110217496455,ZERO-A,KKW50,PJ
Raumwärme,2015,17.64102165421922,ZERO-A,KKW50,PJ
Raumwärme,2016,19.221277757848647,ZERO-A,KKW50,PJ
Raumwärme,2017,19.15959512808875,ZERO-A,KKW50,PJ
Raumwärme,2018,18.089477413890442,ZERO-A,KKW50,PJ
Raumwärme,2019,18.829241163175368,ZERO-A,KKW50,PJ
Raumwärme,2020,20.20928211186777,ZERO-A,KKW50,PJ
Raumwärme,2021,20.590435150870096,ZERO-A,KKW50,PJ
Raumwärme,2022,21.149550529536313,ZERO-A,KKW50,PJ
Raumwärme,2023,21.417829974258638,ZERO-A,KKW50,PJ
Raumwärme,2024,21.91558925868254,ZERO-A,KKW50,PJ
Raumwärme,2025,22.536588173115433,ZERO-A,KKW50,PJ
Raumwärme,2026,23.140444507720257,ZERO-A,KKW50,PJ
Raumwärme,2027,23.713139122409782,ZERO-A,KKW50,PJ
Raumwärme,2028,24.145762109036685,ZERO-A,KKW50,PJ
Raumwärme,2029,24.558372420995507,ZERO-A,KKW50,PJ
Raumwärme,2030,24.790921771936045,ZERO-A,KKW50,PJ
Raumwärme,2031,25.125639217213703,ZERO-A,KKW50,PJ
Raumwärme,2032,25.45292825889595,ZERO-A,KKW50,PJ
Raumwärme,2033,25.64561580117413,ZERO-A,KKW50,PJ
Raumwärme,2034,25.781819997785547,ZERO-A,KKW50,PJ
Raumwärme,2035,25.995229931969792,ZERO-A,KKW50,PJ
Raumwärme,2036,26.027066506542482,ZERO-A,KKW50,PJ
Raumwärme,2037,26.221695713541152,ZERO-A,KKW50,PJ
Raumwärme,2038,26.389613436294013,ZERO-A,KKW50,PJ
Raumwärme,2039,26.531333241680002,ZERO-A,KKW50,PJ
Raumwärme,2040,26.64461077827436,ZERO-A,KKW50,PJ
Raumwärme,2041,26.840898635191767,ZERO-A,KKW50,PJ
Raumwärme,2042,26.976254507610946,ZERO-A,KKW50,PJ
Raumwärme,2043,27.250135480154185,ZERO-A,KKW50,PJ
Raumwärme,2044,27.609834056180024,ZERO-A,KKW50,PJ
