fuel,year,value,scenario,variant,unit
Kohle,2000,0.0,ZERO-Basis,KKW50,PJ
Kohle,2001,0.0,ZERO-Basis,KKW50,PJ
Kohle,2002,0.0,ZERO-Basis,KKW50,PJ
Kohle,2003,0.0,ZERO-Basis,KKW50,PJ
Kohle,2004,0.0,ZERO-Basis,KKW50,PJ
Kohle,2005,0.0,ZERO-Basis,KKW50,PJ
Kohle,2006,0.0,ZERO-Basis,KKW50,PJ
Kohle,2007,0.0,ZERO-Basis,KKW50,PJ
Kohle,2008,0.0,ZERO-Basis,KKW50,PJ
Kohle,2009,0.0,ZERO-Basis,KKW50,PJ
Kohle,2010,0.0,ZERO-Basis,KKW50,PJ
Kohle,2011,0.0,ZERO-Basis,KKW50,PJ
Kohle,2012,0.0,ZERO-Basis,KKW50,PJ
Kohle,2013,0.0,ZERO-Basis,KKW50,PJ
Kohle,2014,0.0,ZERO-Basis,KKW50,PJ
Kohle,2015,0.0,ZERO-Basis,KKW50,PJ
Kohle,2016,0.0,ZERO-Basis,KKW50,PJ
Kohle,2017,0.0,ZERO-Basis,KKW50,PJ
Kohle,2018,0.0,ZERO-Basis,KKW50,PJ
Kohle,2019,0.0,ZERO-Basis,KKW50,PJ
Kohle,2020,0.0,ZERO-Basis,KKW50,PJ
Kohle,2021,0.0,ZERO-Basis,KKW50,PJ
Kohle,2022,0.0,ZERO-Basis,KKW50,PJ
Kohle,2023,0.0,ZERO-Basis,KKW50,PJ
Kohle,2024,0.0,ZERO-Basis,KKW50,PJ
Kohle,2025,0.0,ZERO-Basis,KKW50,PJ
Kohle,2026,0.0,ZERO-Basis,KKW50,PJ
Kohle,2027,0.0,ZERO-Basis,KKW50,PJ
Kohle,2028,0.0,ZERO-Basis,KKW50,PJ
Kohle,2029,0.0,ZERO-Basis,KKW50,PJ
Kohle,2030,0.0,ZERO-Basis,KKW50,PJ
Kohle,2031,0.0,ZERO-Basis,KKW50,PJ
Kohle,2032,0.0,ZERO-Basis,KKW50,PJ
Kohle,2033,0.0,ZERO-Basis,KKW50,PJ
Kohle,2034,0.0,ZERO-Basis,KKW50,PJ
Kohle,2035,0.0,ZERO-Basis,KKW50,PJ
Kohle,2036,0.0,ZERO-Basis,KKW50,PJ
Kohle,2037,0.0,ZERO-Basis,KKW50,PJ
Kohle,2038,0.0,ZERO-Basis,KKW50,PJ
Kohle,2039,0.0,ZERO-Basis,KKW50,PJ
Kohle,2040,0.0,ZERO-Basis,KKW50,PJ
Kohle,2041,0.0,ZERO-Basis,KKW50,PJ
Kohle,2042,0.0,ZERO-Basis,KKW50,PJ
Kohle,2043,0.0,ZERO-Basis,KKW50,PJ
Kohle,2044,0.0,ZERO-Basis,KKW50,PJ
Kohle,2045,0.0,ZERO-Basis,KKW50,PJ
Kohle,2046,0.0,ZERO-Basis,KKW50,PJ
Kohle,2047,0.0,ZERO-Basis,KKW50,PJ
Kohle,2048,0.0,ZERO-Basis,KKW50,PJ
Kohle,2049,0.0,ZERO-Basis,KKW50,PJ
Kohle,2050,0.0,ZERO-Basis,KKW50,PJ
Kohle,2051,0.0,ZERO-Basis,KKW50,PJ
Kohle,2052,0.0,ZERO-Basis,KKW50,PJ
Kohle,2053,0.0,ZERO-Basis,KKW50,PJ
Kohle,2054,0.0,ZERO-Basis,KKW50,PJ
Kohle,2055,0.0,ZERO-Basis,KKW50,PJ
Kohle,2056,0.0,ZERO-Basis,KKW50,PJ
Kohle,2057,0.0,ZERO-Basis,KKW50,PJ
Kohle,2058,0.0,ZERO-Basis,KKW50,PJ
Kohle,2059,0.0,ZERO-Basis,KKW50,PJ
Kohle,2060,0.0,ZERO-Basis,KKW50,PJ
Erdölprodukte,2000,22.35,ZERO-Basis,KKW50,PJ
Erdölprodukte,2001,22.23,ZERO-Basis,KKW50,PJ
Erdölprodukte,2002,21.34,ZERO-Basis,KKW50,PJ
Erdölprodukte,2003,21.580000000000002,ZERO-Basis,KKW50,PJ
Erdölprodukte,2004,23.27,ZERO-Basis,KKW50,PJ
Erdölprodukte,2005,22.79,ZERO-Basis,KKW50,PJ
Erdölprodukte,2006,23.95,ZERO-Basis,KKW50,PJ
Erdölprodukte,2007,22.59,ZERO-Basis,KKW50,PJ
Erdölprodukte,2008,22.91,ZERO-Basis,KKW50,PJ
Erdölprodukte,2009,20.3,ZERO-Basis,KKW50,PJ
Erdölprodukte,2010,22.1,ZERO-Basis,KKW50,PJ
Erdölprodukte,2011,22.95,ZERO-Basis,KKW50,PJ
Erdölprodukte,2012,20.05,ZERO-Basis,KKW50,PJ
Erdölprodukte,2013,20.38,ZERO-Basis,KKW50,PJ
Erdölprodukte,2014,20.78,ZERO-Basis,KKW50,PJ
Erdölprodukte,2015,20.900000000000002,ZERO-Basis,KKW50,PJ
