technology,year,value,scenario,variant,unit
Wasserkraftwerke,2000,136.2636,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2001,152.1396,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2002,131.4468,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2003,131.202,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2004,126.42120000000001,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2005,117.9324,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2006,117.20519999999999,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2007,130.9428,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2008,135.2124,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2009,133.6896,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2010,134.82,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2011,121.662,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2012,143.66160000000002,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2013,142.4592,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2014,141.5088,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2015,142.1496,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2016,130.7736,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2017,131.9976,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2018,140.2112628,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2019,139.90041000000002,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2020,140.6237328,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2021,140.2265664,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2022,143.4839328,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2023,144.437436,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2024,145.4489136,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2025,145.5234444,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2026,146.3898888,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2027,147.513402,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2028,148.9341564,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2029,148.1369148,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2030,149.9928048,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2031,150.85527839999997,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2032,151.9893036,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2033,152.1348984,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2034,151.76707200000004,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2035,150.93477719999998,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2036,153.0925596,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2037,155.06913600000001,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2038,156.233682,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2039,156.6712404,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2040,157.61400840000002,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2041,158.65401960000003,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2042,159.25634639999998,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2043,158.799888,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2044,159.0896196,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2045,159.2535708,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2046,158.94320399999998,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2047,159.4664856,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2048,160.05352320000003,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2049,160.6167756,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2050,160.87034519999997,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2051,160.05134520000001,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2052,160.44550199999998,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2053,159.77097000000003,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2054,159.787152,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2055,158.93584200000004,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2056,158.044914,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2057,158.4284076,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2058,157.7716272,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2059,157.67627399999998,ZERO-Basis,KKW50,PJ
Wasserkraftwerke,2060,157.7286612,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2000,63.2376,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2001,63.903600000000004,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2002,63.45,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2003,55.4328,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2004,57.74040000000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2005,53.992799999999995,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2006,56.9484,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2007,59.5692,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2008,60.0696,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2009,57.996,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2010,57.708000000000006,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2011,53.0388,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2012,64.1952,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2013,63.9324,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2014,62.074799999999996,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2015,59.742,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2016,59.66640000000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2017,57.4056,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2018,64.1612628,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2019,64.33641,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2020,64.4693328,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2021,64.6445664,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2022,64.77353280000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2023,64.90623599999999,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2024,65.0645136,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2025,65.2398444,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2026,65.41508879999999,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2027,65.55220200000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2028,65.7093564,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2029,65.8769148,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2030,65.99040480000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2031,66.15447839999999,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2032,66.3093036,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2033,66.41169839999999,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2034,66.50107200000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2035,66.4751772,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2036,66.5017596,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2037,66.476736,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2038,66.52168199999998,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2039,66.4948404,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2040,66.51960840000001,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2041,66.5480196,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2042,66.3187464,ZERO-Basis,KKW50,PJ
Laufwasserkraftwerke,2043,66.341088,ZERO-Basis,KKW50,PJ
