technology,year,value,scenario,variant,unit
Kernkraftwerke,2000,1.1,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2001,1.1799999999999997,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2002,1.07,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2003,1.12,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2004,1.1500000000000001,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2005,1.1000000000000003,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2006,1.286978408417172,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2007,1.263840286856507,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2008,1.3477476060594518,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2009,1.4411825024266522,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2010,1.444513612953424,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2011,1.4117442871935528,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2012,1.533731989057011,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2013,1.383976899622627,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2014,1.3022196943078053,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2015,1.1942065641042785,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2016,1.4316821137940108,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2017,1.4149355573636229,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2018,1.3726984808631701,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2019,1.4263956830904228,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2020,1.296,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2021,1.296,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2022,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2023,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2024,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2025,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2026,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2027,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2028,0.666,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2029,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2030,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2031,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2032,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2033,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2034,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2035,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2036,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2037,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2038,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2039,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2040,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2041,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2042,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2043,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2044,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2045,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2046,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2047,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2048,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2049,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2050,0.0,ZERO-Basis,KKW50,PJ
Kernkraftwerke,2051,0.0,ZERO-Basis,KKW50,PJ
