cost_type,year,value,scenario,variant,unit
Investitionen (annuisiert),2020,0.029,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2021,0.167,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2022,0.29,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2023,0.442,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2024,0.618,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2025,0.818,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2026,1.031,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2027,1.248,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2028,1.479,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2029,1.701,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2030,1.955,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2031,2.215,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2032,2.503,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2033,2.85,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2034,3.189,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2035,3.512,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2036,3.866,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2037,4.151,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2038,4.431,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2039,4.736,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2040,4.927,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2041,5.153,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2042,5.415,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2043,5.553,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2044,5.8,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2045,6.028,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2046,6.147,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2047,6.372,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2048,6.653,ZERO-Basis,KKW50,Mrd. CHF
Investitionen (annuisiert),2049,7.387,ZERO-Basis,KKW50,Mrd. CHF
