sector,year,value,scenario,variant,unit
Verkehr,2020,0.0,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2021,0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2022,0.03,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2023,0.05,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2024,0.08,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2025,0.11,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2026,0.14,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2027,0.17,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2028,0.2,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2029,0.24,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2030,0.26,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2031,0.27,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2032,0.26,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2033,0.24,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2034,0.21,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2035,0.16,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2036,0.09,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2037,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2038,-0.12,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2039,-0.24,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2040,-0.37,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2041,-0.52,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2042,-0.69,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2043,-0.85,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2044,-1.0,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2045,-1.15,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2046,-1.28,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2047,-1.4,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2048,-1.49,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2049,-1.14,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2050,-1.18,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2051,-1.2,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2052,-1.17,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2053,-1.13,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2054,-1.08,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2055,-1.02,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2056,-0.95,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2057,-0.87,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2058,-0.78,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2059,-0.69,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2060,-0.59,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,kumuliert 2020-50,-8.88,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,kumuliert 2020-60,-18.38,ZERO-Basis,KKW50,Mrd. CHF
Pkw,2020,0.0,ZERO-Basis,KKW50,Mrd. CHF
