sector,year,value,scenario,variant,unit
Verkehr,2020,0.0,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2021,0.0,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2022,0.0,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2023,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2024,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2025,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2026,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2027,-0.01,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2028,-0.02,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2029,-0.02,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2030,-0.02,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2031,-0.03,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2032,-0.03,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2033,-0.03,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2034,-0.04,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2035,-0.05,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2036,-0.06,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2037,-0.06,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2038,-0.07,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2039,-0.08,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2040,-0.09,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2041,-0.11,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2042,-0.12,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2043,-0.13,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2044,-0.14,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2045,-0.16,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2046,-0.18,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2047,-0.2,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2048,-0.22,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2049,-0.24,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2050,-0.27,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2051,-0.29,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2052,-0.32,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2053,-0.34,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2054,-0.36,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2055,-0.38,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2056,-0.4,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2057,-0.42,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2058,-0.44,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2059,-0.46,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,2060,-0.47,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,kumuliert 2020-50,-2.42,ZERO-Basis,KKW50,Mrd. CHF
Verkehr,kumuliert 2020-60,-6.3,ZERO-Basis,KKW50,Mrd. CHF
PkW,2020,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2021,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2022,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2023,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2024,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2025,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2026,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2027,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2028,0.0,ZERO-Basis,KKW50,Mrd. CHF
PkW,2029,-0.01,ZERO-Basis,KKW50,Mrd. CHF
PkW,2030,-0.01,ZERO-Basis,KKW50,Mrd. CHF
PkW,2031,-0.02,ZERO-Basis,KKW50,Mrd. CHF
PkW,2032,-0.03,ZERO-Basis,KKW50,Mrd. CHF
PkW,2033,-0.03,ZERO-Basis,KKW50,Mrd. CHF
PkW,2034,-0.05,ZERO-Basis,KKW50,Mrd. CHF
PkW,2035,-0.06,ZERO-Basis,KKW50,Mrd. CHF
PkW,2036,-0.08,ZERO-Basis,KKW50,Mrd. CHF
PkW,2037,-0.09,ZERO-Basis,KKW50,Mrd. CHF
PkW,2038,-0.11,ZERO-Basis,KKW50,Mrd. CHF
PkW,2039,-0.13,ZERO-Basis,KKW50,Mrd. CHF
PkW,2040,-0.15,ZERO-Basis,KKW50,Mrd. CHF
PkW,2041,-0.17,ZERO-Basis,KKW50,Mrd. CHF
PkW,2042,-0.19,ZERO-Basis,KKW50,Mrd. CHF
PkW,2043,-0.21,ZERO-Basis,KKW50,Mrd. CHF
PkW,2044,-0.23,ZERO-Basis,KKW50,Mrd. CHF
PkW,2045,-0.24,ZERO-Basis,KKW50,Mrd. CHF
PkW,2046,-0.26,ZERO-Basis,KKW50,Mrd. CHF
PkW,2047,-0.28,ZERO-Basis,KKW50,Mrd. CHF
PkW,2048,-0.29,ZERO-Basis,KKW50,Mrd. CHF
PkW,2049,-0.31,ZERO-Basis,KKW50,Mrd. CHF
PkW,2050,-0.32,ZERO-Basis,KKW50,Mrd. CHF
PkW,2051,-0.33,ZERO-Basis,KKW50,Mrd. CHF
PkW,2052,-0.34,ZERO-Basis,KKW50,Mrd. CHF
PkW,2053,-0.34,ZERO-Basis,KKW50,Mrd. CHF
PkW,2054,-0.35,ZERO-Basis,KKW50,Mrd. CHF
